"","de-de"
"info user not found create?","Dieser Benutzer konnte nicht gefunden werden. Möchten Sie diesen Benutzer erstellen?"
"info wait synchronizing tasks","Die Aufgabe kann nicht angezeigt werden während der Postausgang synchronisiert wird. Versuchen Sie es später noch einmal."
"info wizard new user","Die Person, ist bisher bisher nicht im Dalux Feld Projekt erstellt worden. Es wird eine Einladung erstellt, sobald die Erstellung angeklikkt wird. "
"Insert","Einsetzen"
"Insert comment","Kommentieren Sie"
"Insert text","Text einfügen"
"Inspection","Ausfsicht"
"Inspection note","Aufsichtsbericht"
"Instant mails","E-Mail bei neuen Aufgaben"
"Instructions","Anweisung"
"Interval","Zwischenraum"
"Invalid password","Ungültiger Code"
"invalid_flow","Ungültige Handlung"
"invalid_flow_text","Handlung ist nicht zugelassen für diesen Benutzer (wurde Aufgabe geändert?)"
"invalid_user","Ungültiger Benutzer"
"invalid_user_text","Login Daten oder Rechte wurden geändert"
"Invitation","Einladung"
"Invitation accepted (date)","Einladung akzeptiert"
"Invitation sent (date)","Einladung gesendet"
"Invitation to x from y","Einladung bis {0} von {1}"
"Invitations","Einladungen"
"Invite user","Benutzer einladen"
"Invoice e-mail","Rechnung per E-Mail"
"Invoice information","Rechnungs Informationen"
"Invoice note","Rechnungsnotiz"
"Is empty","Ist leer"
"Is not empty","Ist nicht leer"
"is_not_available","Ist nicht zugänglich"
"IT Administrators","IT-Administratoren"
"Landscape","Liegend"
"language","de"
"Language","Sprach"
"language (splash screen)","de"
"language_code","de-de"
"Last editet","Zuletzt bearbeitet"
"Last modified","Zuletzt geändert"
"Last modified by","Letzt geändert von"
"Last name","Nachname"
"Last updated","Zuletzt aktualisiert"
"Last updated by","Zuletzt aktualisiert von"
"Last uploaded by","Zuletzt hochgeladen von"
"last_name","Nachname"
"Less than","Weniger als"
"Less than equals","Weniger oder gleich mit"
"Less than one minute remaining","Weniger als eine Minute zurück"
"Let us know","Geben Sie uns Bescheid"
"lets_know","Geben Sie uns Bescheid"
"Level","Etage"
"Levels","Ebenen"
"List","Liste  "
"loading","Bringe "
"Loading (from disk)","Laden"
"Loading buildings","Holt Gebäude"
"Loading data","Holt Daten"
"Loading drafts...","Holt Kladden"
"Loading list data","Lädt Listendaten"
"Loading list data...","Holt Listendaten…"
"located on plan","Plazierung auf Grundriss"
"located on plan and view","Plazierung auf Grundriss und Ansichten"
"location","Plazierung"
"Location","Plazierung"
"Location changed","Plazierung geändert"
"location:","Plazierung:"
"Location: {0}","Plazierung {0}"
"Log in","Einloggen"
"Log out","Ausloggen"
"log_in","Einloggen"
"log_out","Ausloggen"
"Logged in as","Einloggen als"
"logged_in_as","Einloggen als"
"logged_out","Sie wurden ausgeloggt"
"Login refused text","Benutzer/Code wurde nicht gefunden."
"Login refused title","Ungültiger Benutzer"
"Login revoked text","Login Daten oder Rechte wurden geändert"
"Login revoked title","Ungültiger Benutzer"
"logo","Logo"
"Logo","Logo"
"logo_editor_text","Dieses Logo wird gebraucht werden, beim ausdrucken von Berichten "
"Long","Lang"
"low","Niedrig"
"manage_users","Verwaltet Benutzer"
"Map","Kurz"
"Markers","Curser"
"Memo no.","Hinweisnummer"
"minute","Minute"
"minutes","Minuten"
"Modified","Geändert"
"modified","Geändert"
"Month1","Januar"
"Month10","Oktober"
"Month11","November"
"Month12","Dezember"
"Month2","Februar"
"Month3","Märtz"
"Month4","April"
"Month5","Mai"
"Month6","Juni"
"Month7","Juli"
"Month8","August"
"Month9","September"
"Move down","Abwärts bewegen"
"Move to drafts","Zum Entwurf gehen"
"Move up","Aufwärts bewegen"
"Multiple","Mehrere"
"Multiple filters","Viele Filter"
"Multiple responsible","Mehrere Verantwortliche"
"must accept cookies","Um Dalux Field zu verwenden, muss die Verwendung von Cockies zugelassen werden            "
"must accept terms","Um Dalux Field zu verwenden, sind unsere Nutzungsbedingen zu akzeptieren "
"name","Name"
"Name","Name"
"Network failure. Try again","Netzwerkfehler. Nochmals probieren"
"New","Neu"
"new","Neu"
"New (m)","Erneut"
"New assignee","Neu verantwortlich"
"New building","Neues Gebäude"
"New building model file","Neue Gebäudemodell-Datei"
"New checklist","Neue Checkliste"
"New company","Neue Firma"
"New construction","Neues Gewerk"
"New construction","Neues Gewerk"
"New department","Neue Abteilung"
"New discipline","Neues Baustellenaufsichtgebiet"
"New fictive user","Neuer fiktiver Benutzer"
"New floor","Neue Etage"
"New inspection","Neues Bauaufsichtsprotokol"
"New project","Neues Projekt"
"New registration","Neue Registrierung"
"New site","Neue Baustelle"
"New supervisor area","Neues Baustellenaufsichtgebiet"
"new task","Neue Aufgabe"
"New tasks","Neue Aufgaben"
"New user","Neuer Benutzer"
"New work description","Neue LV- Beschreibung"
"new_building","Neues Gebäude"
"new_demo_site","Neue Demo-Baustelle"
"new_demo_site_details","Neue Demo-Baustelle.\n\nNur kleine Gebäude werden zugelassen"
"new_site_details","Neue unbegrenzte Baustelle"
"new_status","Neuer Status"
"new_task_list","Neue Aufgababenliste"
"new_value","Neuer Wert"
"Next","Nächste"
"No","Nein"
"No available sites","Keine zugänglichen Projekte"
"No building and floors available for this site. GIS can not be placed","Es kann nicht auf GIS platziert werden, da es keine Grundrisse für diese Baustelle gibt."
"No building and floors available for this site. GIS can not be placed","Es kann nicht auf GIS platziert werden, da es keine Grundrisse für diese Baustelle gibt."
"No buildings","Keine Gebäude"
"No checklists","Keine Checkliste"
"No connection","Keine Verbindung…"
"No drafts","Keine Kladde"
"No drawing material available.","Keine Zeichenunterlagen zugänglich"
"No drawing selected","Keine Zeichnung ausgewählt"
"No drawings","Keine Zeichnungen  "
"No permission text","Die gewüschte Handlung  konnte nicht durchgeführt werden"
"No permission title","Unerlaubte Handlung"
"No picture","Kein Bild vorhanden"
"No registrations","Keine Registrierung vorhanden"
"No results","Keine Ergebisse vorhanden"
"No room","(Kein Raum vorhanden)"
"No selection","Nichts herausgewählt"
"no selection","Nichts herausgewählt"
"No sorting","Keine Sortierung"
"No sorting","Keine Sortierung"
"No tasks","Keine Aufgaben"
"No title","Ohne Inhalt"
"No.","Nummer"
"no_building","Kein Gebäude vorhanden"
"no_connection","Keine Verbindung…"
"no_floor","Keine Etage vorhanden"
"no_floors","Keine Etagen vorhanden"
"no_room","(kein Lokal)"
"no_selection","Keine Auswahlmöglichkeit"
"no_title","(Ohne Titel)"
"none","Ohne"
"None","Ohne"
"None (filter)","Nichts"
"normal","Generell "
"Not allowed","Nicht zugelassen"
"Not created","Nicht eingerichtet"
"Not deleted","Nicht gelöscht"
"Not equal","Nicht gleich wie"
"Not logged in","Nicht eingeloggt "
"Not selected","Nicht markiert"
"Not sent (singular)","Nicht versendet"
"Not set","Nicht angegeben"
"Not signed up","Nicht registriert"
"Not synchronized","Nicht synchronisiert"
"not_found","Nicht gefunden"
"not_set","Nicht angegeben"
"Note field on registrations","Hinweise wärend der registrierungen"
"Notes","Notizzen"
"notification","Bescheid"
"Notification","Bescheid"
"number","Nummerierung"
"Number","Nummerierung"
"Number series","Nummernserie"
"object","Bauteil"
"Observations","Beobachtungen"
"Observer","Beobachter"
"Observer (single letter)","O"
"Observers","Beobachter"
"Observers:","Beobachte:"
"of","von"
"Offline","Offline-Modus"
"Offline","Offline-Modus"
"offline_finding_location","Offline<br/>Vervendet nächst verfügbaren Ort"
"offline_minimodel","Offline<br/>Es besteht keine Internetverbindung, das Minimodell ist nicht verfügbar im Offline-Modus."
"offline_minimodel_frame","Offline<br/>Es besteht keine Internetverbindung, dieser Blickwinkel ist nichr verfügbar im Offline-Modus."
"offline_mode_description","<b>Zeichenmaterial</b> Und Aufgaben in Ordnern<b>Posteingang</b>, <b>Abgelehnte</b> og <b>Klargemeldte</b> Kann für die Verwendung im Offline-Modus abgerufen werdenwerden."
"offline_mode_warning","Beachten Sie, dass beim Herunterladen große Datenmengen benötigt werden und es wird daher empfohlen, dass WLAN während dieser Übertragung verwendet wird."
"offline_new_visit_2d","Offline-Modus<br/>Es besteht keine Internetverbindung und Grundrisse sind nicht zugänglich im Offline-Modus."
"offline_new_visit_3d","Offline-Modus<br/>Es besteht keine Internetverbindung und es sind keine Orte zugänglich im Offline-Modus."
"ok","OK "
"Ok","OK "
"OK","OK "
"old_value","Früherer Wert"
"Ongoing (folder)","Ingangwährend"
"Open","Öffne!"
"Open (folder)","Öffnen Sie"
"Open (singular)","Begonnen "
"Open checklist","Öffnen Sie die Checkliste"
"Open dRofus report","Öffne den dRofus-Bericht"
"Open object properties","Öffne die Objekteigenschaften"
"Open project","Projekt öffnen"
"Open site","Projekt öffnen"
"Order","Reihenfolge   "
"Organization","Organisation"
"Orientation (print)","Papierausrichtung"
"Origin","Autor"
"Other","Anderer"
"other_users","Andere Benutzer"
"Others","Andere"
"outbox","Nicht versandte"
"Outbox","Nicht versandte"
"Outbox failed","Nicht synchronisiert"
"Outbox images","Nicht versandte Bilder"
"Outbox images failed","Nicht synchronisierte Bilder"
"outbox_failed","Nicht synchronisiert"
"Overall assessment","Kommentar"
"overview","Übersicht"
"Overview","Übersicht"
"Overview drawing","Übersichtsplan"
"overview on floorplans","Übersicht über Pläne"
"overview, printouts","Übersicht, Ausdruck"
"Own","Eigene laufende"
"Own roles","Eigene  "
"Page","Seite"
"parent","Übergeordnet"
"Passive user","Passiver benutzer"
"password","Passwort"
"Password","Passwort"
"Password again","Passwort wieder"
"Permanent task deletion","Alle Aufgaben werden dauerhaft gelöscht und können nicht wiederhergestellt werden"
"Permissions","Rechte"
"Persons","Personen"
"Phone","Telefon"
"Phone (short)","Tel."
"photo","Bild"
"Photo","Bild"
"Photo taken","Bild gemacht"
"photos","Bilder"
"Photos","Bilder"
"picture","Bild"
"Pie","Kuchen"
"Place action","Plaziere"
"Placement","Plazierung"
"Placement description","Plazierungsbeschreibung"
"Please wait...","Bitte warte…"
"Portrait","Stehend"
"Prefix","Präfix"
"prefix deficiency","M"
"prefix inspection","T"
"Prepare project for offline use","Vorbereiten Sie das Projekt für die Offline-Nutzung"
"Preparing file","Datei wird vorbereitet"
"Preparing project for offline use","Datei wird für die Offline-Nutzung vorbereitet"
"Prev. deadline","Früheste Abgabezeitpunkt"
"Prev. subject","Ehemaliges Thema"
"Preview","Vorschau  "
"Previous","Frühere"
"Print","Exportiert  "
"Print (print)","Drucken"
"Print all","Exportiert alles"
"Print selected","Exportiert ausgewählte"
"Printed","Gedruckt"
"Printing","Drucken"
"printout locations","Ort des Ausdrucks"
"Printouts","Exportiert"
"printouts, list","Druckliste"
"priority","Priorität"
"Priority","Priorität"
"Priority changed","Priorität ändern"
"project","Projekt  "
"Project","Projekt  "
"Project access restricted","Zugangsbeschränkung für den mobilen Einsatz-Gebrauch.\n\nFür den vollwertigen Zugang, kontakte Dalux (support@dalux.com)."
"Project configuration","Projekteinstellung"
"Project expired","Projekt abgelaufen"
"Project info","Stammdaten"
"Project information","Projektinformation"
"Project name","Projektname"
"Project no.","Ref. Nr."
"Project organisation","Bauleitung"
"Project participant","Projektteilnehmer"
"Project prepared for offline use","Projekt ist bereit für die Offline-Nutzung"
"Projects","Projekte"
"Properties","Eigenschaften"
"properties_changed","Geänderte Eigenschaften"
"property","Eigenschaft "
"psc.","Stck."
"Publish","Veröffentliche   "
"Published buildings","Veröffentliche Gebäude"
"Punch Lists","Übersicht"
"q user role","Welche Funktion hat die Person, die Sie erstellen wollen?"
"Quality Assurance","Qualitätsmanagement"
"Quick subjects","Schnell-Themen"
"Quick titles","Schnell-Themen"
"Reason","Ursache"
"Receipt for execution","Beleg für die Ausführung"
"Receives tasks","Erhält Aufgaben"
"Recieves tasks","Verantwortlich für die Reparatur"
"Recorded","Erstellt"
"Recorded by","Erstellt von"
"Red","Rot"
"Refresh","Aktualisiere"
"Registration","Anmeldung"
"Registrations","Anmeldungen"
"Registrations (filename)","Anmeldungen"
"Reject","Ablehnen"
"Rejected","Abgelehnt"
"Rejected (folder)","Abgelehnte"
"Rejected by","Abgelehnt von"
"Related contract","Vergleichbare Gewerke "
"Relation","Beziehung"
"Remaining time","Verbleibende Zeit"
"Remember me","Erinnere dich an mich"
"Remind unsubscribed","Senden Sie Einladungen herraus"
"remove","Entferne"
"Remove","Entferne"
"Remove","Entferne"
"Remove person","Entferne Person"
"Remove work description","Entferne LV Beschreibung"
"removed","Entfernt"
"Removed","Entfernt"
"Rename","Umbenennen"
"Rename building","Gebäude umbenennen"
"rename...","Umbenennen…"
"rename_task_list","Auftragsliste umbenennen"
"Report id","Rapport id"
"Report settings","Berichteinstellung"
"Reports","Berichte"
"Required fields","Obligatorische Felder "
"Reset view","Spalten auf Null stellen"
"Resp. company","Verantwortliches Unternehmen"
"Resp. email","Verantwortlich. E-Mail"
"Responded date","Datum der Zurücksendung "
"Responsible","Verantwortlich"
"retry","Nochmals probieren"
"Retry","Nochmals probieren"
"Revision","Revision"
"role","Funktion"
"Role","Funktion"
"Role has subordinates. Cant delete","Es besteht noch andere Funktionen unter dieser Funkion. Die Funktion kann nicht gelöscht werden."
"Room","Raum"
"Room ID field","Raum ID Felt"
"room updated?","Der Raum wurde nicht gefunden. Der Standort muss aktualisiert werden.<br/><br/>Wurde das Zeichenmaterial geändert?"
"rooms","Raum "
"rotate","Drehe"
"rotate left","Nach links drehen"
"rotate picture save","Kann nur gedreht werden, wenn die rote-Linie gespeichert ist. \n\n Speichern und dann drehen"
"rotate right","Nach rechts drehen"
"Safety report","Sicherheitsbericht"
"Save","Speicher"
"Save","Speicher"
"SAVE","Speicher"
"Save as Draft","Als Kladde speichern "
"Save changes","Änderungen speichern"
"Save checklist","Checkliste speichern"
"Save draft","Entwurf speichern "
"Save view","Anzeige speichern"
"Saved","Gespeichert"
"search","Suche"
"Search","Suche"
"Search","Suche"
"Search (filter)","Die Suche"
"Search criteria","Suchkriterien"
"Search for","Schlüsselwort angeben"
"Section","Schnittzeichnungen"
"Select","Auswählen"
"select","Auswählen"
"Select all","Alle wählen"
"Select all","Alle wählen"
"Select assignee","Verantwortlichen wählen"
"Select construction","Gewerk wählen"
"select construction text","Wähle das Gewerk, in der die Person hinzugefügt werden soll"
"Select drawing","Grundriss wählen"
"Select only one for deletion","Kann nur ein zu einer Zeit zu löschen"
"Select supervisor","Wähle das Bauaufsichtsgebiet"
"select supervisor text","Wähle das Bauaufsichtsgebiet, in der die Person hinzugefügt werden soll"
"Select user","Wähle Benutzer"
"Select user company:","Wähle oder angebe die Firma des Benutzers"
"Select users","Wähle Benutzer"
"Select work descriptions","Wähle die LV-Beschreibung"
"select_a_status","Wähle als erstes einen Status"
"select_an_assignee","Wähle einen Verantwortlichen "
"Selected","Markierten"
"selected area","Wähle ein Gebiet"
"Selected first","Zuerst markierten"
"Selected last","Zuletzt markierten"
"selected tasks","Ausgewählte Aufgaben"
"SelectFilter","Wähle Filterparameter"
"Selection only","Nur ausgewählte"
"selection only","Nur ausgewählte"
"send","Sende "
"Send","Sende "
"Send e-mail","Sende E-Mail"
"Send invitations","Sende Einladungen"
"Send password","Passwort zusenden"
"Send to back","Hinten plazieren"
"Sent (email)","Eingesandt"
"Server","Server"
"Server Error","Serverfehler"
"server_error","Serverfehler"
"server_error_text","Auf dem Server ist ein Fehler aufgetreten"
"Set location","Ort angeben"
"Set selected responsible","Registriere den ausgewählen als verantwortlichen"
"set_to","Angesetzt zu"
"settings","Einstellung"
"Settings","Einstellung"
"Settings (filter)","Anzeige  "
"Several contracts","Mehrere Unternehmer"
"Shared sites","Geteilte Web-Sites"
"shared_sites","Geteilte Web-Sites"
"Short","Karte"
"Show company","Zeige Firma"
"Show drawings","Zeige Zeichnungen"
"Show entire organization","Zeige die gesamte Organisation"
"Show location","Zeige Ort"
"Show work descriptions","Zeige LV-Beschreibung"
"Signature","Unterschrift"
"Signing field","Berichterstattungsfeld"
"Signing field","Berichterstattungsfeld"
"Simple","Einfach"
"Single report","Einzelbericht"
"Single reports","Einzelberichte"
"Single users","Einzelne Benutzer"
"Site data","Baustellendaten"
"Site is already prepared for offline use","Das Projekt ist bereits für die Offline-Nutzung vorbereitet"
"Site management","Bauleitung"
"Site manager assistant","Anzeigen / Bearbeiten"
"Site name","Projektname"
"Site number","Projektnummer"
"site_data","Baustellendaten"
"site_name","Baustellenname"
"Sites","Projekte"
"slow app","Teile des Programms kann langsam sein."
"SorteringAZ","Sortieren von A-Z"
"SorteringZA","Sortieren von Z-A"
"Specify name","Name angeben"
"Specify number","Nummer angeben"
"Specify prefix","Präfix angeben"
"Specify subject","Thema angeben"
"Specify user name","Namen des Benutzers angeben"
"standard","Standard"
"Standard filter","Standard-Filterung"
"StandardFilter","Standard-Filterung"
"Start drawing","Start angeben "
"status","Status"
"Status","Status"
"Status report","Statusbericht"
"Status report (filename)","Statusbericht"
"status_changed_from","Status geändert von"
"Stay here","Bleib hier"
"Stay here","Bleib hier"
"Stop drawing","Beende die Aufzeichnungsarbeit"
"Subcontractor","Subunternehmer"
"Subject","Thema  "
"Subject already exists","Der Text ist bereits vorhanden"
"Substitute for","Stellvertreter für:"
"Substitutes and observers","Delegierte und Beobachter"
"Substitutes and observers","Delegierte und Beobachter"
"Substitutes:","Stellvertreter:"
"Summary","Zusammenfassung"
"Summary","Zusammenfassung"
"Superior role:","Deren Übergeordneten:"
"Supervisor","Bauaufsichtsführender"
"Supervisor role with tasks cant be removed","Aufsichtsfunktionen dessen Aufgaben zugewiesenen wurden, können nicht gelöscht werden."
"support","Hilfe"
"Supported files","Unterstützte Dateien"
"Synchronize now","Jetzt synchroniesieren"
"Synchronized","Synchronisierte"
"synchronizing","Synchronisiert"
"Synchronizing","Synchronisiert"
"Tabel with tasks PDF","Tabelle mit Aufgaben (PDF)"
"Table (Excel)","Tabelle (Excel)"
"Table (PDF)","Tabelle (PDF) "
"Table with tasks excel","Tabelle mit Aufgaben (Excel) "
"Take me to Login","Gehe zum Einloggen "
"Task","Aufgabe"
"Task count","Anzahl Aufgaben"
"Task flow","Aufgaben Ablauf"
"Task folders","Aufgabenordner"
"Task reports (PDF)","Aufgabenberichte (PDF)"
"Task template","Aufgabenvorlage"
"task_list","Aufgabenliste"
"task_list","Aufgabenliste"
"task_list_setup","Aufgabenliste-Einstellung"
"task_lists","Aufgabenlisten"
"tasks","Aufgaben"
"Tasks","Aufgaben"
"Tasks and issues","Aufgaben"
"Tasks associated with role. Cant delete","Es gibt Aufgaben, die zu dieser Rolle angeknüpft sind. Die Rolle kann daher nicht gelöscht werden."
"Tasks on plan drawings","Aufgaben auf dem Grundriss"
"tasks_open","Öffne Projekte"
"tasks_total","Gesamtanzahl von Projekten"
"Templates","Vorlagen"
"Text","Text"
"text","Text"
"The file is ready","Die Datei ist fertig"
"The user will be removed","Der Benutzer wird entfernt "
"The user will be removed from all aspects of the project.","Der Benutzer wird aus allen Bereichen des Projektes entfernt."
"There is an update to the application","Es lieget eine Aktualisierung des Programmes vor"
"Time of invitation","Zeitpunkt der Einladung"
"title","Thema"
"Title","Thema"
"Title (role)","Titel"
"Title changed","Titel geändert"
"title_changed_from","Titel geändert von"
"to","nach"
"to approve","zu genehmigen"
"to assign","zuordnen"
"to report ready","bereitmelden"
"Try Demo Site","Demo testen"
"Type","Typ"
"Type password for user","Gebe das Benutzerkennwort an"
"Type prefix","Präfixtyp"
"Types","Typen"
"unassigned","(nicht zugeordnet)"
"Unassigned","(nicht zugeordnet)"
"unchanged","Ungeändert"
"Unchanged","Ungeändert"
"unhandled_error","Ein unerwarteter Fehler ist aufgetaucht."
"unhandled_error_title","Fehler"
"Unpacking drawings","Extrahieren von digitalen Zeichnungen"
"Unpublished buildings","Unveröffentlichte Gebäude"
"unsent_message","{0} Nachricht wurde nicht gesendet"
"unsent_messages","{0} Nachrichten wurden nicht gesendet"
"Update","Aktualisiere"
"Update checklist","Checkliste aktualisieren"
"Update Dalux Field","Dalux Field aktualisieren"
"Update now","Jetzt aktualisieren"
"Update user","Benutzer aktualisieren"
"update:","Aktualisiere: {0}"
"update_task","Aktualisiere"
"Updated","Aktualisiert"
"Updated {0}","Aktualisiert {0}"
"Updated by","Aktualisiert von"
"updated_by","Aktualisiert von"
"updated_date","Aktualisiert {0}"
"updating","Aktualisiere"
"Updating","Aktualisiere"
"Upload DWG","DWG hochladen"
"Upload DWGs","DWGs hochladen"
"Upload image","Bild hochladen"
"Upload PDF","PDF hochladen"
"upload_company_logo","Firmalogo hochladen"
"Uploaded by","Hochgeladen von"
"Use","Anwende"
"Use automatic publishing","Veröffentlichungsmodus verwenden"
"Use automatic publishing text","Wechseln zu dem automatischen Veröffentlichungs-Modus?\n\nGebäude und Zeichnungen werden automatisch veröffentlicht, wenn diese fertig sind."
"Use building","Gebäude verwenden"
"Use location","Standort verwenden"
"Use manual publishing","Verwende die manuelle Freigabe"
"Use manual publishing text","Wechseln zu der manuellen Freigabe?\n\Sobald die Gebäude und deren Zeichnungen klar sind, sind Diese zu veröffentlichen."
"Use search field below","Es gibt mehr als 500 einzigartige Möglichkeiten.\nVerwende untenstehende Suchfilter."
"user","Benutzer  "
"User","Benutzer  "
"User active","Benutzer überprüft"
"User company","Firma des Benutzers"
"User email settings","Mail-Setup"
"User exists already","Benutzer eksistiert bereits"
"User found","Benutzer gefunden"
"User has signed up","Benutzer ist angemeldet / registriert"
"User name","E-Mail"
"User not found","Benutzer wurde nicht gefunden"
"User not signed up","Benutzer ist nicht angemeldet "
"User not validated","Benutzer ist nicht geprüft"
"User removed","Benutzer entfernt"
"User rights","Benutzerrechte"
"user_defined_flow","Benutzerdefinierter Ablauf"
"Users","Benutzer"
"Users removed","Benutzer entfernt"
"users_that_can_be_managed","Benutzer die administriert werden können"
"users_with access","Benutzer mit Zugang zu dieser Baustelle"
"Value","Wert"
"Values","Werte"
"VATIN","Det centrale virksomhedsregister (dän. Etwa: Handelskammerregistrierung HRA und HRB) "
"View","Siehe"
"View","Siehe"
"View buildings on map","Anzeige Gebäude auf der Karte "
"View case","Zeige "
"View for","Zeige für"
"View user","Zeige"
"View/Edit","Siehe / Bearbeiten"
"View/Edit (responsible)","Siehe / Bearbeiten (verantwortlich)"
"Views","Anzeige"
"wait","Warte…"
"Wait","Warte…"
"Warning","Warnung"
"warning remove user","Sind Sie sich sicher, diesen Benutzer entfernen zu wollen?"
"Warning!","Warnung!"
"Web service rejected your request","Der Server hat Ihre Anfrage abgelehnt"
"Week","Woche"
"Weekly safety report","Wöchentlicher Bericht"
"whatis: construction","Zu jedem einzelnen Gewerk werden Verträge abgeschlossen. Ein Gewerk kan sich über mehrere Aufsichtbereiche erstrecken"
"whatis: discipline","Aufsichtsbereiche sind die zu steuernde Gewerke. Beispiele dafür wären u.a. ""Sanitär"", ""Elektro"" und ""Montage""."
"whois: building owner","Einem Benutzer können sämtliche Aufgaben angezeigt werden, ohne diese redigieren zu können."
"whois: contractor","Eine Person, die innerhalb einer Fachgruppe gegenüber der Bauleitung für die zeitgerechte Durchführung und verabredete Qualität der Aufgaben verantwortlich ist."
"whois: fictive","Ein Benutzer der entweder noch nicht bekannt ist, oder der erst später aufgefordert werden soll, an diesem Projekt teilzunehmen"
"whois: site manager","Der Bauleiter trägt die tägliche Verantwortung der Baustelle und hat darüber hinaus die Verantortung, dass sowohl sämtliche Gewerke zeitgerecht fertig zu sein haben, als auch  die Einhaltung der vereinbarten baulichen Qualität."
"whois: site manager assistant","Ein Benutzer kann Einsicht haben und alle Aufgaben bearbeiten"
"whois: subcontractor","Eine Person, die eine vertragliche Vereinbarung zur Erstellung einer bestimmten Aufgabe mit dem Polier eingegangen ist. "
"whois: supervisor","Eine Person, innerhalb verschiedener Fachgebiete kontrolliert, ob es korrekt durchgeführt wird"
"With date","Mit Datum"
"Without date","Ohne Datum"
"Work description","LV- Beschreibung"
"Work descriptions","LV- Beschreibung"
"Work.Desc","LV- Beschreibung"
"Work.Num","Arb. Nummerierung"
"Worker report","Handwerker-Bericht"
"Yellow","Gelb"
"Yes","Ja"
"You can not delete this control plan because there are tasks associated with it","Sie können diesen Kontrollplan nicht löschen, da es an Aufgaben zugeordnet ist."
"You cannot delete this checklist template because there exists checklists of this type.","Sie können diese Checklistenvorlage nicht löschen, da gibt es Checklisten gibt, die Diesen verwenden."
"You have not been assigned to any projects yet.","Sie sind noch nicht einem Projekt zugeordnet worden."
"You must accept this","Um Dalux Feld zu verwenden, müssen Sie:"
"You must be administrator to add buildings","Sie müssen Administrator sein, um Gebäude hinzuzufügen."
"You must be administrator to change publishing settings","Sie müssen als Administrator angemeldet sein, um Veröffentlichungverfahren zu ändern."
"You must be administrator to delete buildings","Sie müssen als Administrator angemeldet sein, um Gebäude zu löschen."
"You must be administrator to edit buildings","Sie müssen als Administrator angemeldet sein, um Gebäude zu ändern. "
"You must be administrator to rename buildings","Sie müssen als Administrator angemeldet sein, um Gebäude umzubenennen."
"You must be online to log in","Sie müssen Online angemeldet sein, um sich anzumelden "
"you_are_logged_in","Sie sind jetzt Online-angemeldet"
"Your colleagues drafts","Kladde Ihrer Kollegen"
"Your column setup is being reset","Die Spalteauswahl wird zurückversetzt"
"Your drafts","Ihre Kladde"
"Your sites","Ihre Baustellen"
"your_current_role_alter_error","Ihre momentane Funktion erlaubt es nicht, Kommentare mit Status zu ändern:"
"your_current_role_create_error","Ihre jetzige Funktion erlaubt es nicht, neue Kommentare zu erstellen"
"your_sites","Ihre Baustellen"
"Zip code","Postleitzahl:"
"zip_code","Postleitzahl:"
"Zone","Zone"
"Zone name","Zonenname"
"Zones","Zonen"
"Project does not have any checklists","Das Projekt verfügt nicht über Checklisten"
"Search in e-mail addresses","Suche unter E-Mailadressen "
"Add company","Firma hinzufügen"
"Edit company","Firma ändern"
"Remove company","Firmen entfernen"
"Remove quick field","Entferne"
"Edit quick field","Ändere"
"Export quick fields","Export"
"Import quick fields","Importiere"
"Rooms","Raum "
"Upload","Hochladen"
"Area","Fläche"
"From","Von"
"To","An"
