"source"	"target"
"info task altered"	"<p align=""center"">Tarefa modificada<br/>A atualizaусo nсo foi efetuada.<br/>Clique para abrir o relatзrio</p>"
"info task not available"	"<P ALIGN=""center"">Este relatзrio nсo estр disponьvel</P>"
"info task offline"	"<P ALIGN=""center"">Este relatзrio nсo estр disponьvel offline</P>"
"info task sent update checklist"	"A tarefa foi enviada ao servidor. Atualize a checklist para abrir o relatзrio de resultados."
"info too many tasks"	"Nesta рrea: {0} tarefas"
"info unhandled error"	"Um erro inesperado ocorreu"
"info user added mail sent"	"O usuрrio agora estр adicionado e uma mensagem de convite foi enviada ao endereуo de e-mail especificado.nnO usuрrio serр ativado quando o endereуo de e-mail for confirmado pelo link na mensagem de convite."
"info user invitation accepted"	"Usuрrio criado e convite aceito"
"info user not found create?"	"Usuрrio nсo encontrado. Deseja criar este usuрrio?"
"info wait synchronizing tasks"	"A tarefa nсo pode ser aberta enquanto a caixa de saьda ж sincronizada. Tente novamente em alguns minutos."
"info wizard new user"	"A pessoa nсo estр configurada com seu empreendimento DaluxQA. Um convite serр enviado quando vocЖ pressionar Criar."
"Insert"	"Inserir"
"Insert comment"	"Inserir comentрrio"
"Insert text"	"Inserir texto"
"Inspection"	"Supervisсo"
"Inspection note"	"Nota de supervisсo"
"Instant mails"	"Mensagem para cada nova tarefa"
"Instructions"	"Instruушes"
"Interval"	"Intervalo"
"Invalid password"	"Invalid password"
"invalid_flow"	"Aусo invрlida"
"invalid_flow_text"	"Aусo do usuрrio nсo ж vрlida (a tarefa foi modificada?)"
"invalid_user"	"Usuрrio invрlido"
"invalid_user_text"	"As credenciais ou permissшes do usuрrio mudaram."
"Invitation"	"Convite"
"Invitation accepted (date)"	"Invitation accepted"
"Invitation sent (date)"	"Invitation sent"
"Invitation to x from y"	"Invitation to {0} from {1}"
"Invitations"	"Invitations"
"Invite user"	"Convidar usuрrio"
"Invoice e-mail"	"Invoice e-mail"
"Invoice information"	"Invoice information"
"Invoice note"	"Invoice note"
"Is empty"	"Is empty"
"Is not empty"	"Is not empty"
"is_not_available"	"nсo estр disponьvel"
"IT Administrators"	"Administradores de TI"
"Landscape"	"Paisagem"
"language"	"en"
"Language"	"Idioma"
"language (splash screen)"	"en"
"language_code"	"en-us"
"Last editet"	"Editado pela Щltima vez"
"Last edited"	"Editado pela Щltima vez"
"Last modified"	"Modificado pela Щltima vez"
"Last modified by"	"Modificado pela Щltima vez por"
"Last name"	"┌ltimo nome"
"Last updated"	"Atualizado pela Щltima vez"
"Last updated by"	"Atualizado pela Щltima vez por"
"Last uploaded by"	"Enviado pela Щltima vez por"
"last_name"	"┌ltimo nome"
"Less than"	"Less than"
"Less than equals"	"Less than equals"
"Less than one minute remaining"	"Less than one minute remaining"
"Let us know"	"Diga-nos"
"lets_know"	"Diga-nos"
"Level"	"Pavimento"
"Levels"	"Nьveis"
"List"	"Lista"
"loading"	"Carregando"
"Loading (from disk)"	"Carregando"
"Loading buildings"	"Loading buildings"
"Loading data"	"Carregando dados"
"Loading drafts..."	"Carregando rascunhos..."
"Loading list data"	"Carregando lista de dados"
"Loading list data..."	"Carregando lista de dados..."
"located on plan"	"localizado na planta"
"located on plan and view"	"Localizado na planta e visсo"
"location"	"Localizaусo"
"Location"	"Localizaусo"
"Location changed"	"Localizaусo modificada"
"location:"	"Localizaусo:"
"Location: {0}"	"Localixaусo: {0}"
"Log in"	"Logar"
"Log out"	"Deslogar"
"log_in"	"Logar"
"log_out"	"Deslogar"
"Logged in as"	"Logado como"
"logged_in_as"	"Logado como"
"logged_out"	"VocЖ foi deslogado"
"Login refused text"	"Usuрrio/senha nсo encontrado(a)."
"Login refused title"	"Usuрrio invрlido"
"Login revoked text"	"Credenciais ou permissшes do usuрrio foram modificadas"
"Login revoked title"	"Usuрrio invрlido"
"logo"	"Logo"
"Logo"	"Logo"
"Project photo"	"Project photo"
"logo_editor_text"	"Este logo serр usado em relatзrios impressos"
"Long"	"Longo"
"low"	"Baixo"
"manage_users"	"Administrar usuрrios"
"Map"	"Mapa"
"Markers"	"Marcadores"
"Memo no."	"Memo nr."
"minute"	"minuto"
"minutes"	"minutos"
"Modified"	"Modificado"
"modified"	"Modificado"
"Month1"	"Janeiro"
"Month10"	"Outubro"
"Month11"	"Novembro"
"Month12"	"Dezembro"
"Month2"	"Fevereiro"
"Month3"	"Marуo"
"Month4"	"Abril"
"Month5"	"Maio"
"Month6"	"Junho"
"Month7"	"Julho"
"Month8"	"Agosto"
"Month9"	"Setembro"
"Move down"	"Mover para baixo"
"Move to drafts"	"Mover para rascunhos"
"Move up"	"Mover para cima"
"Multiple"	"MЩltiplos"
"Multiple filters"	"Vрrios filtros"
"Multiple responsible"	"Responsрveis mЩltiplos"
"must accept cookies"	"Para usar DaluxQA vocЖ deve permitir o uso de cookies"
"must accept terms"	"Para usar DaluxQA vocЖ deve aceitar nossos termos e condiушes"
"name"	"Nome"
"Name"	"Nome"
"Network failure. Try again"	"Falha de rede. Tente novamente"
"New"	"Novo"
"new"	"Novo"
"New (m)"	"Novo"
"New assignee"	"Novo atribuьdo"
"New building"	"New building"
"New building model file"	"Novo arquivo de modelo de edifьcio"
"New checklist"	"Nova checklist"
"New company"	"Nova empresa"
"New construction"	"Nova construção"
"New construction"	"Novo contrato"
"New department"	"Novo departamento"
"New discipline"	"Nova disciplina"
"New fictive user"	"Novo usuрrio fictьcio"
"New floor"	"Novo pavimento"
"New inspection"	"Nova Nota de Supervisсo"
"New project"	"Novo projeto"
"New registration"	"Novo registro"
"New site"	"Novo local"
"New supervisor area"	"Nova рrea de supervisor"
"new task"	"new task"
"New tasks"	"Novas tarefas"
"New user"	"Novo usuрrio"
"New work description"	"Nova descriусo de trabalho"
"new_building"	"Novo edifьcio"
"new_demo_site"	"Novo local demo"
"new_demo_site_details"	"Novo local demo.nnSз edifьcios pequenos sсo permitidos."
"new_site_details"	"Novo local com tamanho ilimitado."
"new_status"	"Novo status"
"new_task_list"	"Nova lista de tarefas"
"new_value"	"Novo valor"
"Next"	"Prзximo"
"No"	"No"
"No available sites"	"Sem locais disponьveis"
"No building and floors available for this site. GIS can not be placed"	"Sem edifícios e locais disponíveis para este local. O GIS não pode ser localizado"
"No building and floors available for this site. GIS can not be placed"	"Sem edifьcios e locais disponьveis para este local. O GIS nсo pode ser localizado"
"No buildings"	"No buildings"
"No checklists"	"No checklists"
"No connection"	"Sem conexсo..."
"No drafts"	"Nсo rascunhos"
"No drawing material available."	"No drawing material available."
"No drawing selected"	"No drawing selected"
"No drawings"	"No drawings"
"No permission text"	"Operaусo requisitada negada devido a restriушes de funусo"
"No permission title"	"Permissсo negada"
"No picture"	"Sem imagem"
"No registrations"	"Sem registros"
"No results"	"No results"
"No room"	"(Sem espaуo"
"No selection"	"Sem seleусo"
"no selection"	"sem seleусo"
"No sorting"	"Sem ordenação"
"No sorting"	"Sem ordenaусo"
"No tasks"	"No tasks"
"No title"	"Sem tьtulo"
"No."	"Nr."
"no_building"	"(sem edifьcio)"
"no_connection"	"Sem conexсo..."
"no_floor"	"(sem pavimento)"
"no_floors"	"(sem pavimentos)"
"no_room"	"(sem espaуo)"
"no_selection"	"Sem seleусo"
"no_title"	"(Sem tьtulo)"
"none"	"Nenhum"
"None"	"Nenhum"
"None (filter)"	"Nenhum"
"normal"	"Normal"
"Not allowed"	"Nсo permitido"
"Not created"	"Nсo criado"
"Not deleted"	"Nсo deletado"
"Not equal"	"Not equal"
"Not logged in"	"Nсo logado"
"Not selected"	"Not selected"
"Not sent (singular)"	"Nсo enviado"
"Not set"	"Nсo configurado"
"Not signed up"	"Nсo registrado"
"Not synchronized"	"Nсo sincronizado"
"not_found"	"Nсo encontrado"
"not_set"	"(Nсo configurado)"
"Note field on registrations"	"Campo de nota em registros"
"Notes"	"Notas"
"notification"	"Notificaусo"
"Notification"	"Notificaусo"
"number"	"NЩmero"
"Number"	"NЩmero"
"Number series"	"Sжrie de nЩmero"
"object"	"Objeto"
"Observations"	"Observaушes"
"Observer"	"Observador"
"Observer (single letter)"	"Observadores:"
"Observers"	"de"
"Observers:"	"Observadores"
"of"	"Offline"
"Offline"	"Offline"
"Offline"	"Offline<br/>Usando localizaусo disponьvel mais prзxima"
"offline_finding_location"	"Offline<br/>Using nearest available location"
"offline_minimodel"	"Offline<br/>Nсo hр conexсo com a internet e o mini modelo nсo estр disponьvel para uso offline."
"offline_minimodel_frame"	"Offline<br/>Nсo hр conexсo com a internet e o atual Рngulo de visсo nсo estр disponьvel pra uso offline."
"offline_mode_description"	"Desenhos e tarefas em pastas na caixa de entrada, Rejeitados e Relatados prontos estсo baixados para serem usados em modo offline."
"offline_mode_warning"	"Note que grandes quantidades de dados estсo sendo baixadas, portanto ж recomendрvel o uso de Wi-Fi durante a transferЖncia de dados."
"offline_new_visit_2d"	"Offline<br/>Nсo hр conexсo com a internet e a atual planta do pavimento nсo estр disponьvel para uso offline."
"offline_new_visit_3d"	"Offline<br/>Nсo hр conexсo com a internet e nсo hр locais disponьveis para uso offline."
"ok"	"OK"
"Ok"	"OK"
"OK"	"OK"
"old_value"	"Valor antigo"
"Ongoing (folder)"	"Em curso"
"Open"	"Abrir"
"Open (folder)"	"Abrir"
"Open (singular)"	"Started"
"Open checklist"	"Abrir checklist"
"Open dRofus report"	"Open dRofus report"
"Open object properties"	"Open object properties"
"Open project"	"Abrir empreendimento"
"Open site"	"Abrir empreendimento"
"Order"	"Ordenar"
"Organization"	"Organizaусo"
"Orientation (print)"	"Orientaусo"
"Origin"	"Origem"
"Other"	"Outra"
"other_users"	"Outros usuрrios"
"Others"	"Others"
"outbox"	"Nсo enviado"
"Outbox"	"Nсo enviado"
"Outbox failed"	"Nсo sincronizado"
"Outbox images"	"Imagens nсo enviadas"
"Outbox images failed"	"Imagens nсo sincronizadas"
"outbox_failed"	"Nсo sincronizado"
"Overall assessment"	"Comentрrio"
"overview"	"visсo geral"
"Overview"	"Visсo geral"
"Overview drawing"	"Vista geral do desenho"
"overview on floorplans"	"visсo geral nas plantas de pavimento"
"overview, printouts"	"visсo geral, impressшes"
"Own"	"Andamento prзprio"
"Own roles"	"Prзprio"
"Page"	"Pрgina"
"parent"	"Pai"
"Passive user"	"Usuрrio passivo"
"password"	"Senha"
"Password"	"Senha"
"Password again"	"Senha novamente"
"Permanent task deletion"	"Todas as tarefas serсo excluьdos permanentemente e nсo pode ser restaurado"
"Permissions"	"Permissшes"
"Persons"	"Pessoas"
"Phone"	"Telefone"
"Phone (short)"	"Phn"
"photo"	"Foto"
"Photo"	"Foto"
"Photo taken"	"Foto tirada"
"photoJpgCompression"	"60"
"photoJpgQuality"	"60"
"photoMaxHeight"	"1024"
"photoMaxWidth"	"1024"
"photos"	"fotos"
"Photos"	"Fotos"
"picture"	"Imagem"
"Pie"	"Grрfico de pizza"
"Place action"	"Local"
"Placement"	"Localizaусo"
"Placement description"	"Placement description"
"Please wait..."	"Por favor, aguarde..."
"Portrait"	"Retrato"
"Prefix"	"Prefixo"
"prefix deficiency"	"O"
"prefix inspection"	"NS"
"Prepare project for offline use"	"Preparar empreendimento para uso offline"
"Preparing file"	"Preparando arquivo"
"Preparing project for offline use"	"Preparando empreendimento para uso offline"
"Prev. deadline"	"Deadline anterior"
"Prev. subject"	"Assunto anterior"
"Preview"	"Prж-visualizaусo"
"Previous"	"Anterior"
"Print"	"Exportar"
"Print (print)"	"Imprimir"
"Print all"	"Exportar tudo"
"Print selected"	"Exportar selecionado"
"Printed"	"Impresso"
"Printing"	"Imprimindo"
"printout locations"	"Localizaушes impressas"
"Printouts"	"Exportar"
"printouts, list"	"Impressшes, lista"
"priority"	"Prioridade"
"Priority"	"Prioridade"
"Priority changed"	"Prioridade modificada"
"project"	"Projeto"
"Project"	"Projeto"
"Project access restricted"	"Project access limited to mobile use.nnContact Dalux for full access (support@dalux.com)."
"Project configuration"	"Configuraусo de projeto"
"Project expired"	"Project expired"
"Project info"	"Project info"
"Project information"	"Project information"
"Project name"	"Nome do empreendimento"
"Project no."	"Projeto nr."
"Project organisation"	"Gestсo de construусo"
"Project participant"	"Project participant"
"Project prepared for offline use"	"Projeto preparado para uso offline"
"Projects"	"Projetos"
"Properties"	"Propriedades"
"properties_changed"	"Propriedades modificadas"
"property"	"Propriedade"
"psc."	"psc."
"Publish"	"Publish"
"Published buildings"	"Published buildings"
"Punch Lists"	"OcorrЖncias"
"q user role"	"Que funусo tem a pessoa que vocЖ quer criar?"
"QA"	"QA"
"Quality Assurance"	"Quality Control"
"Quick subjects"	"Assuntos rрpidos"
"Quick titles"	"Tьtulos rрpidos"
"R"	"R"
"Reason"	"Motivo"
"Receipt for execution"	"Notas de execuусo"
"Receives tasks"	"Tarefas recebidas"
"Recieves tasks"	"Recebe tarefas"
"Recorded"	"Criado"
"Recorded by"	"Criado por"
"Red"	"Vermelho"
"Refresh"	"Atualizar"
"REG"	"REG"
"Registration"	"Registro"
"Registrations"	"Registros"
"Registrations (filename)"	"Registros"
"Reject"	"Rejeitar"
"Rejected"	"Rejeitado"
"Rejected (folder)"	"Rejeitado"
"Rejected by"	"Rejeitado por"
"Related contract"	"Related contract"
"Relation"	"Relaусo"
"Remaining time"	"Tempo restante"
"Remember me"	"Lembre-me"
"Remind unsubscribed"	"Send invitations"
"remove"	"Remover"
"Remove"	"Remover"
"Remove"	"Remover"
"Remove person"	"Remover pessoa"
"Remove work description"	"Remover descriусo de trabalho"
"removed"	"Removido"
"Removed"	"Removido"
"Rename"	"Renomear"
"Rename building"	"Rename building"
"rename..."	"Renomear..."
"rename_task_list"	"Renomear lista de tarefas"
"Report id"	"Report id"
"Report settings"	"Configuraушes de relatзrio"
"Reports"	"Relatзrios"
"Required fields"	"Campos requisitados"
"Reset view"	"Reset columns"
"Resp. company"	"Empresa responsрvel"
"Resp. email"	"E-mail responsрvel"
"Responded date"	"Responded date"
"Responsible"	"Responsрvel"
"retry"	"Tentar novamente"
"Retry"	"Tentar novamente"
"Revision"	"Revisсo"
"role"	"Funусo"
"Role"	"Funусo"
"Role has subordinates. Cant delete"	"Role has subordinates. Cannot delete role."
"Room"	"CЗmodo"
"Room ID field"	"Room ID field"
"room updated?"	"CЗmodo nсo encontrado. Reposicionamento requisitado. O material de desenho foi atualizado?"
"rooms"	"CЗmodos"
"rotate"	"Girar"
"rotate left"	"Girar para esquerda"
"rotate picture save"	"Rotation only possible when red-lining has been saved.nnSave picture and rotate"
"rotate right"	"Girar para direita"
"S:Substitute, O: Observer"	"S: Substituir, O: Observador"
"Safety report"	"Safety report"
"Save"	"Salvar"
"Save"	"Salvar"
"SAVE"	"SALVAR"
"Save as Draft"	"Salvar como rascunho"
"Save changes"	"Save changes"
"Save checklist"	"Salvar checklist"
"Save draft"	"Salvar rascunho"
"Save view"	"Save view"
"Saved"	"Salvo"
"search"	"Buscar"
"Search"	"Buscar"
"Search"	"Buscar"
"Search (filter)"	"Buscar"
"Search criteria"	"Critжrios de busca"
"Search for"	"Search for"
"Section"	"Sections"
"Select"	"Selecionar"
"select"	"Selecionar"
"Select all"	"Selecionar tudo"
"Select all"	"Selecionar tudo"
"Select assignee"	"Selecionar atribuьdo"
"Select construction"	"Selecionar contrato"
"select construction text"	"Selecionar empreiteiro encarregado"
"Select drawing"	"Selecionar planta de pavimento"
"Select only one for deletion"	"Selecionar sз um para supressсo"
"Select supervisor"	"Selecionar supervisor"
"select supervisor text"	"Selecionar o supervisor da рrea de conrato"
"Select user"	"Selecionar usuрrio"
"Select user company:"	"Selecionar ou especificar empresa usuрria"
"Select users"	"Selecionar usuрrios"
"Select work descriptions"	"Selecionar descriушes de trabalho"
"select_a_status"	"Selecionar um status primeiro"
"select_an_assignee"	"Selecionar um atribuьdo"
"Selected"	"Selected"
"selected area"	"рrea selecionada"
"Selected first"	"Selected first"
"Selected last"	"Selected last"
"selected tasks"	"tarefas selecionadas"
"SelectFilter"	"Selecionar parРmetro de filtro"
"Selection only"	"Apenas seleусo"
"selection only"	"apenas seleусo"
"send"	"Enviar"
"Send"	"Enviar"
"Send e-mail"	"Enviar e-mail"
"Send invitations"	"Send invitations"
"Send password"	"Enviar senha"
"Send to back"	"Send to back"
"Sent (email)"	"Sent"
"Server"	"Server"
"Server Error"	"Erro do servidor"
"server_error"	"Erro do servidor"
"server_error_text"	"Ocorreu um erro no servidor"
"Set location"	"Set location"
"Set selected responsible"	"Configurar selecionado como responsрvel"
"set_to"	"configurar para"
"settings"	"Setup"
"Settings"	"Setup"
"Settings (filter)"	"Configuraушes"
"Several contracts"	"Contratos mЩltiplas"
"Shared sites"	"Locais compartilhados com vocЖ"
"shared_sites"	"Locais compartilhados com vocЖ"
"Short"	"Curto"
"Show company"	"Empresa"
"Show drawings"	"Show drawings"
"Show entire organization"	"Mostrar organizaусo inteira"
"Show location"	"Mostrar localizaусo"
"Show work descriptions"	"Mostrar descriушes de trabalho"
"Signature"	"Assinatura"
"Signing field"	"Campo de assinatura"
"Signing field"	"Campo de assinatura"
"Attachments"	"Attachments"
"Simple"	"Simples"
"Single report"	"Relatзrio simples"
"Single reports"	"Relatзrios simples"
"Single users"	"Usuрrios simples"
"Site data"	"Dados do local"
"Site is already prepared for offline use"	"O empreendimento jр estр preparado para uso offline"
"Site management"	"Gerenciamento da obra"
"Site manager assistant"	"Ver/Editar"
"Site name"	"Nome do empreendimento"
"Site number"	"Project number"
"site_data"	"Dados do local"
"site_name"	"Nome do local"
"Sites"	"Projetos"
"slow app"	"Certas partes da aplicaусo podem reagir mais devagar que o normal"
"SorteringAZ"	"Ordenando de A-Z"
"SorteringZA"	"Ordenando de Z-A"
"Specify name"	"Especificar nome"
"Specify number"	"Especificar nЩmero"
"Specify prefix"	"Specify prefix"
"Specify subject"	"Especificar assunto"
"Specify user name"	"Especificar nome do usuрrio"
"standard"	"Padrсo"
"Standard filter"	"Standard filter"
"StandardFilter"	"Filtro padrсo"
"Start drawing"	"Iniciar desenho"
"status"	"Status"
"Status"	"Status"
"Status report"	"Status report"
"Status report (filename)"	"Status report"
"status_changed_from"	"Status alterado de"
"Stay here"	"Permanecer aqui"
"Stay here"	"Permanecer aqui"
"Stop drawing"	"Parar desenho"
"Subcontractor"	"Subempreiteiro"
"Subject"	"Subject"
"Subject already exists"	"O assunto jр existe"
"Substitute (single letter)"	"S"
"Substitute for"	"Substituir para"
"Substitutes and observers"	"Substitutos e observadores"
"Substitutes and observers"	"Substitutos e observadores"
"Substitutes:"	"Substitutos:"
"Summary"	"Resumo"
"Summary"	"Resumo"
"Superior role:"	"Funусo superior:"
"Supervisor"	"Supervisor"
"Supervisor role with tasks cant be removed"	"Supervisor role with tasks cannot be removed."
"support"	"Ajuda"
"Supported files"	"Arquivos suportados"
"Synchronize now"	"Sincronizar agora"
"Synchronized"	"Sincronizado"
"synchronizing"	"Sincronizando"
"Synchronizing"	"Sincronizando"
"Tabel with tasks PDF"	"Tabela com tarefas (PDF)"
"Table (Excel)"	"Tabela (Excel)"
"Table (PDF)"	"Tabela (PDF)"
"Table with tasks excel"	"Tabela com tarefas (Excel)"
"Take me to Login"	"Leve-me ao login"
"Task"	"Tarea"
"Task count"	"Number of tasks of this type"
"Task flow"	"Fluxo de tarefas"
"Task folders"	"Pastas de tarefas"
"Task reports (PDF)"	"Relatзrios de tarefas (PDF)"
"Task template"	"Template de tarefas"
"task_list"	"Lista de tarefas"
"task_list"	"Lista de tarefas"
"task_list_setup"	"Setup de lista de tarefas"
"task_lists"	"Listas de tarefas"
"tasks"	"Tarefas"
"Tasks"	"Tarefas"
"Tasks and issues"	"Tarefas e ocorrЖncias"
"Tasks associated with role. Cant delete"	"Tasks are associated with role. Cannot delete role."
"Tasks on plan drawings"	"Tarefas em desenhos de plantas"
"tasks_open"	"Tarefas abertas"
"tasks_total"	"Tarefas totalmente"
"Templates"	"Templates"
"Text"	"Texto"
"text"	"Texto"
"The file is ready"	"O arquivo estр pronto"
"The user will be removed"	"O usuрrio ж removido"
"The user will be removed from all aspects of the project."	"The user will be removed from all aspects of the project."
"There is an update to the application"	"Hр uma atualizaусo para a aplicaусo"
"Time of invitation"	"Hora do convite"
"title"	"Assunto"
"Title"	"Tьtulo"
"Title (role)"	"Tьtulo"
"Title changed"	"Tьtulo modificado"
"title_changed_from"	"Tьtulo modificado de"
"to"	"para"
"to approve"	"Aprovar"
"to assign"	"Atribuir"
"to report ready"	"Reportar como pronto"
"Try Demo Site"	"Experimente o site demo"
"Type"	"Tipo"
"Type password for user"	"Type password for user"
"Type prefix"	"Prefixo do tipo"
"Types"	"Tipos"
"unassigned"	"(nсo atribuьdo)"
"Unassigned"	"(nсo atribuьdo)"
"unchanged"	"Nсo modificado"
"Unchanged"	"Nсo modificado"
"unhandled_error"	"Ocorreu um erro inesperado"
"unhandled_error_title"	"Erro"
"Unpacking drawings"	"Desempacotando desenhos"
"Unpublished buildings"	"Unpublished buildings"
"unsent_message"	"{0} mensagem nсo enviada"
"unsent_messages"	"{0} mensagens nсo enviadas"
"Update"	"Atualizar"
"Update checklist"	"Atualizar checklist"
"Update Dalux Field"	"Atualizar campo DaluxQA"
"Update now"	"Atualizar agora"
"Update user"	"Atualizar usuрrio"
"update:"	"Atualizar: {0}"
"update_task"	"Atualizar"
"Updated"	"Atualizado"
"Updated {0}"	"Atualizado {0}"
"Updated by"	"Atualizado por"
"updated_by"	"Atualizado por"
"updated_date"	"Atualizado {0}"
"updating"	"Atualizando"
"Updating"	"Atualizando"
"Upload DWG"	"Subir DWG"
"Upload DWGs"	"Subir DWGs"
"Upload image"	"Subir imagem"
"Upload PDF"	"Subir PDF"
"upload_company_logo"	"Subir logo da empresa"
"Uploaded by"	"Uploaded by"
"url:support"	"http://field.dalux.com/manual/"
"Use"	"Usar"
"Use automatic publishing"	"Use auto publishing"
"Use automatic publishing text"	"Do you want to change to automatic publishing?nnBuildings and drawings will automatically be published when they are ready."
"Use building"	"Use building"
"Use location"	"Usar localizaусo"
"Use manual publishing"	"Use manual publishing"
"Use manual publishing text"	"Do you want to change to manual publishing?nnYou publish buildings and drawings manually when they are ready."
"Use search field below"	"Use search field below"
"user"	"Usuрrio"
"User"	"Usuрrio"
"User active"	"Usuрrio ativo"
"User company"	"Empresa usuрria"
"User email settings"	"Configuraушes de mensagem"
"User exists already"	"O usuрrio jр existe"
"User found"	"Usuрrio encontrado"
"User has signed up"	"User has signed up"
"User name"	"E-mail"
"User not found"	"Usuрrio nсo encontrado"
"User not signed up"	"User not signed up"
"User not validated"	"Usuрrio nсo validado"
"User removed"	"Usuрrio removido"
"User rights"	"Permissшes"
"user_defined_flow"	"Fluxo definido pelo usuрrio"
"Users"	"Usuрrios"
"Users removed"	"Usuрrios removidos"
"users_that_can_be_managed"	"Usuрrios que podem ser geridos"
"users_with access"	"Usuрrios com acesso a este local"
"Value"	"Valor"
"Values"	"Values"
"VATIN"	"CNPJ"
"View"	"Vista"
"View"	"Vista"
"View buildings on map"	"Ver edifьcios no mapa"
"View case"	"Ver caso"
"View for"	"Ver para"
"View user"	"View user"
"View/Edit"	"Ver/Editar"
"View/Edit (responsible)"	"Ver/Editar (responsрvel)"
"Views"	"Vistas"
"wait"	"Aguarde..."
"Wait"	"Aguarde"
"Warning"	"Aviso"
"warning remove user"	"Tem certeza de que deseja remover este usuрrio?"
"Warning!"	"Aviso!"
"Web service rejected your request"	"Web service rejected your request"
"Week"	"Week"
"Weekly safety report"	"Weekly report"
"whatis: construction"	"Contract covers the contract. A contract can span multiple surveillance areas"
"whatis: discipline"	"A disciplina que estр sendo controlada ж a рrea de supervisores. Exemplos de disciplinas sсo 'Encanamento', 'Elжtrica' e 'Acessзrios'"
"whois: building owner"	"Um usuрrio que pode ver todas as tarefas mas nсo pode editр-las"
"whois: contractor"	"Uma pessoa no gerenciamento da obra e que ж responsрvel pela entrega no prazo e cumprimento da qualidade combinada em um contrato e em uma profissсo particulares."
"whois: fictive"	"Um usuрrio que ou ainda ж desconhecido, ou serр convidado mais tarde para participar deste projeto"
"whois: site manager"	"O gerente da obra tem a responsabilidade diрria pela obra e ж responsрvel por todas as obras serem entregues no prazo e estarem de acordo com a qualidade combinada"
"whois: site manager assistant"	"Um usuрrio que pode ver e editar todas as tarefas"
"whois: subcontractor"	"Uma pessoa que se comprometeu com um acordo contratual sobre uma tarefa especьfica com um gerente de obra"
"whois: supervisor"	"Uma pessoa que inspeciona se o contrato ж executado corretamente na sua рrea de responsabilidade"
"With date"	"Com data"
"Without date"	"Sem data"
"Work description"	"Descriусo de trabalho"
"Work descriptions"	"Descriушes de trabalho"
"Work.Desc"	"Descr.Trabalho"
"Work.Num"	"Nr.Trabalho"
"Worker report"	"Relatзrio do operрrio"
"workflow_definition"	"Definiусo do fluxo de trabalho"
"Yellow"	"Amarelo"
"Yes"	"Yes"
"You can not delete this control plan because there are tasks associated with it"	"You can not delete this inspection plan because there are tasks associated with it"
"You cannot delete this checklist template because there exists checklists of this type."	"You cannot delete this checklist template because there exists checklists of this type."
"You have not been assigned to any projects yet."	"You have not been assigned to any projects yet."
"You must accept this"	"Para usar DaluxQA vocЖ deve aceitar:"
"You must be administrator to add buildings"	"Drawings are linked from another project. You do not have permission to alter the drawings."
"You must be administrator to change publishing settings"	"Drawings are linked from another project. You do not have permission to change publishing settings."
"You must be administrator to delete buildings"	"Drawings are linked from another project. You do not have permission to delete buildings."
"You must be administrator to edit buildings"	"Drawings are linked from another project. You do not have permission to edit buildings."
"You must be administrator to rename buildings"	"Drawings are linked from another project. You do not have permission to rename buildings."
"You must be online to log in"	"You must be online to log in"
"you_are_logged_in"	"VocЖ estр logado"
"Your colleagues drafts"	"Rascunhos de seus colegas"
"Your column setup is being reset"	"Your column setup is being reset"
"Your drafts"	"Seus rascunhos"
"Your sites"	"Seus locais"
"your_current_role_alter_error"	"Sua funусo atual nсo permite alterar tarefas com o status:"
"your_current_role_create_error"	"Sua funусo atual nсo permite criar uma nova tarefa."
"your_sites"	"Seus locais"
"Zip code"	"CEP"
"zip_code"	"CEP"
"Zone"	"Zone"
"Zone name"	"Zone name"
"Zones"	"Zones"
"Project does not have any checklists"	"Project does not have any checklists"
"Search in e-mail addresses"	"Search in e-mail addresses"
"Enterprise agreement"	"Enterprise agreement"
"Open properties"	"Open properties"
"Enterprise invoicing info"	"Invoicing information is used for all projects in the company agreement"
"Add '{0}' to the list"	"Add '{0}' to the list"
"Sort by last change"	"Sort by last change"
"Sort by deadline"	"Sort by deadline"
"required"	"required"
"Required"	"Required"
"Safety observations"	"Safety observations"
"Safety observation"	"Safety observation"
"Safety inspections"	"Safety inspections"
"Safety inspection"	"Safety inspection"
"Advanced modules"	"Advanced modules"
"Invoicing information"	"Invoicing information"
"Modules"	"Modules"
"Module"	"Module"
"Safety"	"Safety"
"Activate"	"Activate"
"Deactivate"	"Deactivate"
"Active"	"Active"
"Deactivated"	"Deactivated"
"Recovered task"	"Recovered task"
"A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?"	"A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?"
"Edit task"	"Edit task"
"Delete task"	"Delete task"
"Description of control plan area"	"Description of control plan area"
"Task type has been deleted"	"Task type has been deleted<br/><br/>Choose another task type."
"No responsible, draft not shared"	"No responsible (draft not shared)"
"Deadline today"	"Deadline hoje"
"Continue editing"	"Continue editing"
"Inspection plans unavailable. No task types."	"Inspection plans are unavailable because no task types have been added."
"Tasks with inspection plans"	"Tasks with inspection plans"
"Name of duplicate"	"Name of copy"
"Details"	"Details"
"Are you sure you want to delete the image?"	"Are you sure you want to delete the image?"
"Remove location"	"Remove location"
"Cannot delete contract. Attached checklists or inspection plans"	"Cannot delete contract.nAttached checklists or inspection plans"
"Add attachment"	"Add attachment"
"Send again"	"Send again"
"Max 300 tasks in worker report"	"Max 300 tasks in worker reports"
