"","nl-nl"
"Observer (single letter)","T"
"Observers","Toeschouwers"
"Observers:","Toeschouwers:"
"of","van"
"Offline","Offline"
"Offline","Offline"
"offline_finding_location","Offline<br/>Gebruik maken van dichtsbijzijnde beschikbare locatie"
"offline_minimodel","Offline<br/>Er is geen verbinding met het internet en het kleine model is niet beschikbaar voor offline gebruik"
"offline_minimodel_frame","Offline<br/>Er is geen verbinding met het internet en de huidige kijkhoek is niet beschikbaar voor offline gebruik"
"offline_mode_description","Drawings and tasks in folders Inbox, Rejected and Reported ready are downloaded to be used in offline mode."
"offline_mode_warning","Note that large amounts of data are being downloaded, and it is therefore recommended to use Wi-Fi during the data transfer."
"offline_new_visit_2d","Offline<br/>Er is geen verbinding met het internet en de huidige plattegrond is niet beschikbaar voor offline gebruik"
"offline_new_visit_3d","Offline<br/>Er is geen verbinding met het internet en er zijn geen locaties beschikbaar voor offline gebruik"
"ok","OK"
"Ok","OK"
"old_value","Oude waarde"
"Ongoing (folder)","Lopend"
"Open","Open"
"Open (folder)","Open"
"Open (singular)","Begonnen"
"Open checklist","Open checklist"
"Open project","Open project"
"Open site","Open project"
"Order","Rangschrikken"
"Organization","Organisatie"
"Orientation (print)","Oriëntering"
"Origin","Oorsprong"
"Other","Ander"
"other_users","Andere gebruikers"
"Others","Others"
"outbox","Niet verzonden"
"Outbox","Niet verzonden"
"Outbox failed","Niet gesynchroniseerd"
"Outbox images","Onverzonden afbeeldingen"
"Outbox images failed","Ongesynchroniseerde afbeeldingen"
"outbox_failed","Niet gesynchroniseerd"
"Overall assessment","Commentaar"
"overview","overzicht"
"Overview","Overzicht"
"Overview drawing","Overview drawing"
"overview on floorplans","overzicht van plattegronden"
"overview, printouts","overzicht, afdrukken"
"Own","Eigen lopende"
"Own roles","Eigen"
"Page","Pagina"
"parent","oorzaak"
"Passive user","Passieve gebruiker"
"password","Wachtwoord"
"Password","Wachtwoord"
"Password again","Wachtwoord opnieuw"
"Permanent task deletion","Alle taken zullen permanent worden verwijderd en kan niet worden hersteld"
"Permissions","Machtigingen"
"Persons","Personen"
"Phone","Telefoon"
"Phone (short)","Tel"
"photo","Foto"
"Photo","Foto"
"Photo taken","Genomen foto"
"photos","Foto's"
"Photos","Foto's"
"picture","Afbeelding"
"Pie","Taart"
"Place action","Plaats"
"Placement","Plaatsing"
"Placement description","Placement description"
"Please wait...","Even geduld aub…"
"Portrait","Portret"
"Prefix","Voorvoegsel"
"prefix deficiency","N"
"prefix inspection","T"
"Prepare project for offline use","Bereid uw bouwterrein voor offline gebruik"
"Preparing file","Het bereiden bestand"
"Preparing project for offline use","Voorbereiden van het bouwterrein voor offline gebruik"
"Prev. deadline","Vorige deadline"
"Prev. subject","Vorig onderwerp"
"Preview","Voorbeeld"
"Previous","Vorige"
"Print","Export"
"Print (print)","Print"
"Print all","Exporteer alles"
"Print selected","Exporteer geselecteerde"
"Printed","Afgedrukt"
"Printing","Printen"
"printout locations","afdruk locaties"
"Printouts","Exporteer"
"printouts, list","afdrukken, lijst"
"priority","Prioriteit"
"Priority","prioriteit"
"Priority changed","prioriteit veranderd"
"project","Project"
"Project","Project"
"Project access restricted","Project access limited to mobile use.\n\nContact Dalux for full access (support@dalux.com)."
"Project name","Projectnaam"
"Project no.","Project nr."
"Project organisation","Bouwmanagement"
"Project prepared for offline use","Terrein voorbereid voor offline gebruik"
"Projects","Projecten"
"Properties","Opties"
"properties_changed","Eigenschappen veranderd"
"property","Eigendom"
"psc.","psc."
"Punch Lists","Dashboard"
"q user role","Welke rol moet de persoon die u wilt aanmaken hebben?"
"QA","KB"
"Quality Assurance","Kwaliteitsbewaking"
"Quick subjects","Onderwerpen kort"
"Quick titles","titels kort"
"R","R"
"Reason","Reden"
"Receipt for execution","Aantekeningen uitvoering"
"Receives tasks","Receives tasks"
"Recieves tasks","Verantwoordelijk voor verbeteringen"
"Recorded","Gemaakt"
"Recorded by","Gemaakt door"
"Red","Rood"
"Refresh","Vernieuwen"
"REG","INS"
"Registration","Inschrijving"
"Registrations","Inschrijvingen"
"Registrations (filename)","Inschrijvingen"
"Reject","Verwerpen"
"Rejected","Verworpen"
"Rejected (folder)","Verworpen"
"Rejected by","Verworpen door"
"Related contract","Related contract"
"Relation","Relatie"
"Remaining time","Remaining time"
"Remember me","Onthoud mij"
"remove","Verwijderen"
"Remove","Verwijderen"
"Remove person","Remove person"
"Remove work description","Verwijder werkbeschrijving"
"removed","Verwijderd"
"Removed","Verwijderd"
"Rename","Hernoemen"
"rename...","Hernoemen…"
"rename_task_list","Hernoem takenlijst"
"Report id","Report id"
"Report settings","Rapport instellingen"
"Reports","Rapporten"
"Required fields","Verplichte velden"
"Reset view","Reset columns"
"Resp. company","Resp. company"
"Responded date","Responded date"
"Responsible","Verantwoordelijke"
"retry","Opnieuw proberen"
"Retry","Opnieuw proberen"
"Revision","Herziening"
"role","Functie"
"Role","Functie"
"Role has subordinates. Cant delete","Role has subordinates. Cannot delete role."
"Room","Ruimte"
"Room ID field","Room ID field"
"room updated?","Room not found. Repositioning required. Has the drawing material been updated?"
"rooms","Ruimtes"
"rotate","Draaien"
"rotate left","Draai linksom"
"rotate picture save","Draaien alleen mogelijke wanneer rode-lijnen zijn opgeslagen.\n\nSla afbeelding op en draai"
"rotate right","Draai rechtsom"
"S:Substitute, O: Observer","V: Vervanger, T:Toeschouwer"
"Save","Opslaan"
"Save","Opslaan"
"SAVE","OPSLAAN"
"Save as Draft","Opslaan als concept"
"Save checklist","Sla checklist op"
"Save draft","Concept opslaan"
"Saved","Opgeslagen"
"search","Zoeken"
"Search","Zoeken"
"Search","Zoeken"
"Search (filter)","Search"
"Search criteria","Zoekcriteria"
"Section","Snittegninger"
"Select","KIes"
"select","Kiezen"
"Select all","Select all"
"Select assignee","Kies gevolmachtigde"
"Select construction","Kies bouwwerk"
"select construction text","Selecteer de aannemer in opdracht"
"Select drawing","Kies plattegrond"
"Select only one for deletion","Selecteer slechts één voor verwijdering"
"Select supervisor","Kies toezichthouder"
"select supervisor text","Kies de toezichthouder van het betreffende bouwwerk"
"Select user","Kies gebruiker"
"Select user company:","Kies of specificeer gebruiker bedrijf"
"Select users","Selecteer gebruikers"
"Select work descriptions","Kies werk beschrijvingen"
"select_a_status","Selecteer eerst een status"
"select_an_assignee","Kies een gevolmachtigde"
"selected area","geselecteerd gebied"
"selected tasks","geselecteerd taken"
"SelectFilter","Kiezen filter"
"Selection only","Alleen selectie"
"selection only","Alleen selectie"
"send","Sturen"
"Send","Sturen"
"Send e-mail","Send e-mail"
"Send password","Stuur wachtwoord"
"Server","Server"
"Server Error","Server fout"
"server_error","Server fout"
"server_error_text","Er is een fout opgetreden op de server"
"Set selected responsible","Set selected as responsible"
"set_to","ingesteld op"
"settings","Instellingen"
"Settings","Instellingen"
"Settings (filter)","Instellingen"
"Several contracts","Meerdere bouwwerken"
"Shared sites","Met u gedeelde bouwterreinen "
"shared_sites","Met u gedeelde bouwterreinen "
"Short","Beknopt"
"Show company","Bedrijf"
"Show entire organization","Toon de gehele organisatie"
"Show location","Toon locatie"
"Show work descriptions","Toon werk beschrijvingen"
"Signature","Handtekening"
"Signing field","Ondertekening veld"
"Simple","Eenvoudig"
"Single report","Single report"
"Single reports","Single reports"
"Single users","Single users"
"Site data","Bouwterrein gegevens"
"Site is already prepared for offline use","Terrein is al voorbereid voor offline gebruik"
"Site management","Site management"
"Site manager assistant","Zien/Uitgeven"
"Site name","Projectnaam"
"Site number","Project omgeving"
"site_data","Gegevens bouwterrein"
"site_name","Bouwterrein naam"
"Sites","Projecten"
"SorteringAZ","Sorteren A-Z"
"SorteringZA","Sorteren Z-A"
"Specify name","Geef de naam op"
"Specify number","Geef het aantal op"
"Specify prefix","Geef Voorvoegsel"
"Specify subject","Benoem onderwerp"
"Specify user name","Geef de naam van de gebruiker"
"standard","standaard"
"StandardFilter","Standaardfilter"
"Start drawing","Start drawing"
"status","Status"
"Status","Status"
"Status report","Status report"
"Status report (filename)","Status report"
"status_changed_from","Status gewijzigd van"
"Stay here","Blijf hier"
"Stay here","Blijf hier"
"Stop drawing","Stop drawing"
"Subcontractor","Onderaannemer"
"Subject already exists","Onderwerp bestaat al"
"Substitute (single letter)","V"
"Substitute for","Vervangen voor"
"Substitutes and observers","Plaatsvervangers en waarnemers"
"Substitutes and observers","Vervangers en toeschouwers"
"Substitutes:","Vervangers:"
"Summary","Overzicht"
"Summary","Samenvatting"
"Superior role:","Voorman functie:"
"Supervisor","Opzichter"
"Supervisor role with tasks cant be removed","Supervisor role with tasks cannot be removed."
"support","Help"
"Supported files","Supported files"
"Synchronize now","synchroniseer nu"
"Synchronized","Gesynchroniseerd"
"synchronizing","Sychroniseren"
"Synchronizing","Sychroniseren"
"Tabel with tasks PDF","Tabel met taken (PDF)"
"Table (Excel)","Tabel (Excel)"
"Table (PDF)","Tabel (PDF)"
"Table with tasks excel","Tabel met taken (Excel)"
"Take me to Login","Ga naar Inloggen"
"Task","Taak"
"Task flow","Task flow"
"Task reports (PDF)","Takenrapport (PDF)"
"Task template","Taak sjabloon"
"task_list","Takenlijst"
"task_list","Takenlijst"
"task_list_setup","Takenlijst instellingen"
"task_lists","Takenlijst"
"tasks","Taken"
"Tasks","Taken"
"Tasks associated with role. Cant delete","Tasks are associated with role. Cannot delete role."
"Tasks on plan drawings","Taken op plattegronden"
"tasks_open","Open taken"
"tasks_total","Alle taken"
"Text","Tekst"
"text","Tekst"
"The file is ready","Het bestand is klaar"
"The user will be removed","De gebruiker wordt verwijderd"
"The user will be removed from all aspects of the project.","De gebruiker wordt verwijderd uit alle delen van het project."
"There is an update to the application","An app update is available!"
"Time of invitation","Tijdstip van de uitnodiging"
"title","onderwerp"
"Title","Titel"
"Title (role)","Title"
"Title changed","Titel veranderd"
"title_changed_from","Titel veranderd van"
"to","naar"
"to approve","to approve"
"to assign","to assign"
"to report ready","to report ready"
"Try Demo Site","Probeer demo omgeving"
"Type","Type"
"Type prefix","Type voorvoegsel"
"Types","Types"
"unassigned","(niet toegewezen)"
"Unassigned","(niet toegewezen)"
"unchanged","Onveranderd"
"Unchanged","Onveranderd"
"unhandled_error","Er is een onverwachte fout opgetreden"
"unhandled_error_title","Fout"
"Unpacking drawings","Unpacking drawings"
"unsent_message","{0} onverzonden bericht"
"unsent_messages","{0} onverzonden berichten"
"Update","Bijwerken"
"Update checklist","Update checklist"
"Update Dalux Field","Update Dalux Field"
"Update now","Update now"
"Update user","Bijwerken gebruiker"
"update:","Bijwerken: {0}"
"update_task","Bijwerken"
"Updated","Bijgewerkt"
"Updated {0}","Bijgwerkt {0}"
"Updated by","Bijgewerkt door"
"updated_by","Bijgewerkt door"
"updated_date","Bijgwerkt {0}"
"updating","Actualisering"
"Updating","Actualisering"
"Upload DWG","Upload DWG"
"Upload DWGs","Upload DWGs"
"Upload image","Upload afbeelding"
"Upload PDF","Upload PDF"
"upload_company_logo","Upload bedrijfslogo"
"Use","Gebruik"
"Use location","Use location"
"user","Gebruiker"
"User","Gebruiker"
"User active","Gebruiker werkzaam"
"User company","Gebruiker bedrijf"
"User email settings","Mail settings"
"User exists already","Gebruiker bestaat al"
"User found","Gebruiker gevonden"
"User name","E-mail"
"User not found","Gebruiker niet gevonden"
"User not validated","Gebruiker niet geldig"
"User removed","Gebruiker verwijderd"
"User rights","Gebruikersrechten"
"user_defined_flow","Door de gebruiker gedefinieerde continuiteit"
"Users","Gebruikers"
"Users removed","Gebruikers verwijderd"
"users_that_can_be_managed","Gebruikers die kunnen worden beheerd"
"users_with access","Gebruikers met toegang tot dit bouwterrein"
"Value","Waarde"
"VATIN","Btw-nr"
"View","Zien"
"View","View"
"View buildings on map","View buildings on map"
"View case","Bekijk"
"View for","Bekijk voor"
"View user","Bekijk"
"View/Edit","Zien/Uitgeven"
"View/Edit (responsible)","Zien/Uitgeven (verantwoordelijke)"
"Views","Aanzichten"
"wait","Wacht…"
"Wait","Wacht"
"Warning","Waarschuwing"
"warning remove user","Weet u zeker dat u deze gebruiker wilt verwijderen?"
"Warning!","Waarschuwing"
"whatis: construction","Bouwwerk dekt het contract. Een bouwwerk kan uit meerdere surveillance gebieden bestaan"
"whatis: discipline","Het gebied van de toezichthouders is de discipline welke wordt gecontrolleerd. Voorbeelden van disciplines zijn bijvoorbeeld 'Plumbing', 'Electric' en 'Fitting'."
"whois: building owner","A user that can see all tasks but not edit the tasks"
"whois: contractor","Iemand die zich bezig houdt met het bouwmanagement en verantwoordelijk is voor het op tijd leveren en zorgen dat het bouwwerk voldoet aan de afgesproken kwaliteit binnen de overeenkomst."
"whois: fictive","Een gebruiker die ofwel niet bekend is, of later zal worden uitgenodigd om deel te nemen aan dit project"
"whois: site manager","De beheerder van deze omgeving heeft de dagelijkse verantwoordelijkheid voor de omgeving en is er verantwoordelijk voor dat alle contracten op tijd geleverd worden en voldoen aan de overeengekomen kwaliteit"
"whois: site manager assistant","A users that can see and edit all tasks"
"whois: subcontractor","Een persoon die zicht heeft toegewijd om een contractuele overeenkomst opeen specifieke taak met een gebouwbeheerder"
"whois: supervisor","Iemand die controlleerd of het bouwwerk correct is uitgevoerd op zijn gebied van verantwoordelijkheid"
"With date","Met datum"
"Without date","Zonder datum"
"Work description","Werk beschrijving"
"Work descriptions","Werk beschrijvingen"
"Work.Desc","Work.Desc"
"Work.Num","Work.Num"
"Worker report","Worker report"
"workflow_definition","Workflow definitie"
"Yellow","Geel"
"You must accept this","Om Dalux Field te gebruiken moet u accepteren:"
"You must be online to log in","You must be online to log in"
"you_are_logged_in","U bent ingelogd"
"Your colleagues drafts","Concept van uw collega's"
"Your column setup is being reset","Your column setup is being reset"
"Your drafts","Uw concepten"
"Your sites","Uw bouwterreinen"
"your_current_role_alter_error","Uw huidige functie staat niet toe om taken te veranderen met deze status:"
"your_current_role_create_error","Uw huidige functie staat niet toe om nieuwe taken te maken"
"your_sites","Uw bouwterreinen"
"Zip code","Postcode"
"zip_code","Postcode"
"Deadline today","Deadline vandaag"
"Add company","Bedrijf toevoegen"
"Edit company","Bedrijf aanpassen"
"Remove company","Bedrijf verwijderen"
"Remove quick field","Verwijderen"
"Edit quick field","Bewerken"
"Export quick fields","Exporteer"
"Import quick fields","importeer"
"Rooms","Ruimtes"
"Upload","Upload"
"Area","Oppervlakte"
"From","Van"
"To","Aan"
