"source","target"
"Month10","oktober"
"Month11","november"
"Month12","december"
"Month2","februari"
"Month3","mars"
"Month4","april"
"Month5","maj"
"Month6","juni"
"Month7","juli"
"Month8","augusti"
"Month9","september"
"Move down","Flytta ner"
"Move to drafts","Flytta till utkast"
"Move up","Flytta upp"
"Multiple","Flera"
"Multiple filters","Många filter"
"Multiple responsible","Flera ansvariga"
"must accept cookies","För att använda DaluxQA måste du tillåta användning av cookies"
"must accept terms","För att använda DaluxQA du måste acceptera våra villkor"
"name","Namn"
"Name","Namn"
"Network failure. Try again","Nätverksfel. Prova igen"
"New","Ny"
"new","Ny"
"New (m)","Nytt"
"New assignee","Ny ansvarig"
"New building","Ny byggnad"
"New building model file","Ny byggnadsmodell fil"
"New checklist","Ny checklista"
"New company","Nytt företag"
"New construction","Ny uppbyggnad"
"New construction","Ny entreprenad"
"New department","Ny avdelning"
"New discipline","Ny övervakningsområde"
"New fictive user","Ny fiktiv användare"
"New floor","Ny våning"
"New inspection","Ny tillsynsnotat"
"New project","Nytt projekt"
"New registration","Ny registrering"
"New site","Ny sida"
"New supervisor area","Ny tillsynsområde"
"new task","Ny uppgift"
"New tasks","Nya uppgifter"
"New user","Ny användare"
"New work description","Ny arbetsbeskrivning"
"new_building","Ny byggnad"
"new_demo_site","Ny demo sida"
"new_demo_site_details","Ny demo sidann Endast små byggnader tillåtna."
"new_site_details","Ny sida med obegränsad  storlek."
"new_status","Ny status"
"new_task_list","Ny uppgiftslista"
"new_value","Nytt värde"
"Next","Nästa"
"No","Nej"
"No available sites","Inga projekt"
"No building and floors available for this site. GIS can not be placed","Ingen byggnad och våningar tillgängliga för den här sidan. GIS kan inte placeras."
"No building and floors available for this site. GIS can not be placed","Ingen byggnad och våningar tillgängliga för den här sidan. GIS kan inte placeras."
"No buildings","No buildings"
"No checklists","No checklists"
"No connection","Ingen förbindelse…"
"No drafts","inget utkast"
"No drawing material available.","Ingen ritningsmaterial tillgänglig"
"No drawing selected","Ingen ritning vald"
"No drawings","Inga ritningar"
"No permission text","Den begärda åtgärden kunde inte utföras"
"No permission title","Åtgärden är inte tillåten"
"No picture","Ingen bild"
"No registrations","Inga registreringar"
"No results","Inga resultat"
"No room","(inget utrymme)"
"No selection","Inget val"
"no selection","Inget val"
"No sorting","Ingen sortering"
"No sorting","Ingen sortering"
"No tasks","Inga uppgifter"
"No title","Ingen titel"
"No.","Nr."
"no_building","(ingen byggnad)"
"no_connection","Ingen förbindelse…"
"no_floor","(ingen våning)"
"no_floors","(inga våningar)"
"no_room","(ingen lokal)"
"no_selection","Inget val"
"no_title","Ingen titel"
"none","Inget"
"None","Inget"
"None (filter)","Inget"
"normal","Normal"
"Not allowed","Inte tillåtet"
"Not created","Inte skapat"
"Not deleted","Inte raderad"
"Not equal","Inte lika med"
"Not logged in","Inte loggad in"
"Not selected","Inte vald"
"Not sent (singular)","Inte skickat"
"Not set","Inte satt"
"Not signed up","Inte anmäld"
"Not synchronized","Inte synkroniserad"
"not_found","Hittades inte"
"not_set","(Inte satt)"
"Note field on registrations","Anmärkningsfält på registreringar"
"Notes","Anmärkning"
"notification","Meddelande"
"Notification","Meddelande"
"number","Nummer"
"Number","Nummer"
"Number series","Nummerserie"
"object","Byggnadsdel"
"Observations","Observationer"
"Observer","Observatör"
"Observer (single letter)","O"
"Observers","Observatörer"
"Observers:","Observatörer:"
"of","av"
"Offline","Offline"
"Offline","Offline"
"offline_finding_location","Offline <br/> Använder närmast tillgängliga platsen"
"offline_minimodel","Offline<br/>Det finns ingen anslutning till internet och mini-modellen är inte tillgänglig för användning offline."
"offline_minimodel_frame","Offline<br/>Det finns ingen anslutning till Internet och den aktuella bildvinkeln är inte tillgänglig för användning offline."
"offline_mode_description","<b>Ritningar</b> och uppgifter i mapparna <b>Inkorg</b>, <b>Avslagna</b> och <b>Färdigrapporterade</b> är nerladdade för användning offline"
"offline_mode_warning","Observera att det laddas ner stora mänder data, och det är rekommenderat att använda Wi-Fi under dataöverförseln."
"offline_new_visit_2d","Offline<br/>Det finns ingen anslutning till Internet och den aktuella planritningen är inte tillgänglig för användning offline."
"offline_new_visit_3d","Offline<br/>Det finns ingen anslutning till Internet och inga platser på denna våning är tillgängliga för användning offline."
"ok","OK"
"Ok","OK"
"OK","OK"
"old_value","Föregående värde"
"Ongoing (folder)","Pågående"
"Open","Öppna"
"Open (folder)","Öppna"
"Open (singular)","Börjat"
"Open checklist","Öpnna checklista"
"Open dRofus report","Öppna dRofus rapport"
"Open object properties","Öppna objektegenskaper"
"Open project","Öppna projekt"
"Open site","Öppna projekt"
"Order","Order"
"Organization","Organisation"
"Orientation (print)","Riktning"
"Origin","Ursprung"
"Other","Annan"
"other_users","Andra användare"
"Others","Others"
"outbox","Inte skickat"
"Outbox","Inte skickat"
"Outbox failed","Inte synkroniserad"
"Outbox images","Osända bilder"
"Outbox images failed","Osynkroniserade bilder"
"outbox_failed","Inte synkroniserad"
"Overall assessment","Kommentar"
"overview","Översikt"
"Overview","Översikt"
"Overview drawing","Översiktsplan"
"overview on floorplans","Översikt på planlösning"
"overview, printouts","Översikt, utskrift"
"Own","Egna pågående"
"Own roles","Egna"
"Page","Sida"
"parent","Huvud-"
"Passive user","Passiv användare"
"password","Lösenord"
"Password","Lösenord"
"Password again","Lösenord igen"
"Permanent task deletion","Alla uppgifter kommer att tas bort permanent och kan inte återställas"
"Permissions","Rättigheter"
"Persons","Personer"
"Phone","Telefon"
"Phone (short)","tfn."
"photo","Bild"
"Photo","Bild"
"Photo taken","Bild tagen"
"photos","bilder"
"Photos","Bilder"
"picture","Bild"
"Pie","Kaka"
"Place action","Placera"
"Placement","Placering"
"Placement description","Placeringsbeskrivning"
"Please wait...","Var god vänta…"
"Portrait","Stående"
"Prefix","Prefix"
"prefix deficiency","?"
"prefix inspection","?"
"Prepare project for offline use","Förbered projekt för användning offline"
"Preparing file","Förbereder fil"
"Preparing project for offline use","Förbereerd projekt för användning offline"
"Prev. deadline","Tid. deadline"
"Prev. subject","Tid. Ämne"
"Preview","Förhandsvisning"
"Previous","Tidigare"
"Print","Exportera"
"Print (print)","Skriv ut"
"Print all","Exportera alla"
"Print selected","Exportera valda"
"Printed","Utskriven"
"Printing","Utskiver"
"printout locations","plats av utprint"
"Printouts","Exportera"
"printouts, list","utprint, lista"
"priority","Prioritet"
"Priority","Prioritet"
"Priority changed","Prioritet ändrad"
"project","Projekt"
"Project","Projekt"
"Project access restricted","Tillgång till projekt begränsad till mobil användning.nnKontakta Dalux för full tillgång (support@daluxqa.com)."
"Project configuration","Projekt konfiguration"
"Project expired","Projektet har löpt ut"
"Project info","Projektinfo"
"Project information","Projektinformation"
"Project name","Projektnamn"
"Project no.","Projektnr."
"Project organisation","Byggnadsledning"
"Project participant","Projektdeltagare"
"Project prepared for offline use","Projekt färdigt till använding offline"
"Projects","Projekt"
"Properties","Egenskaper"
"properties_changed","Ändrade egenskaper"
"property","Egenskap"
"psc.","stk."
"Publish","Publicera"
"Published buildings","Publicerade byggnader"
"Punch Lists","Dashboard"
"q user role","Vilken roll har den person som du önskar att skapa?"
"QA",""
"Quality Assurance","Kvalitetssäkring"
"Quick subjects","Snabb-ämnen"
"Quick titles","Snabb-titlar"
"R",""
"Reason","Orsak"
"Receipt for execution","Kvitto för utförande"
"Receives tasks","Mottar uppgifter"
"Recieves tasks","Ansvarig för rättelse"
"Recorded","Skapad"
"Recorded by","Skapad av"
"Red","Röd"
"Refresh","Uppdatera"
"REG",""
"Registration","Registrering"
"Registrations","Registreringar"
"Registrations (filename)","Registreringar"
"Reject","Avvisa"
"Rejected","Avvisad"
"Rejected (folder)","Avvisad"
"Rejected by","Avvisad av"
"Related contract","Relaterade kontrakt"
"Relation","Relation"
"Remaining time","Återstående tid"
"Remember me","Kom ihåg mig"
"Remind unsubscribed","Skicka inbjudningar"
"remove","Avlägsna"
"Remove","Avlägsna"
"Remove","Ta bort"
"Remove person","Avlägsna person"
"Remove work description","Avlägsna arbetsbeskrivning"
"removed","Avlägsnad"
"Removed","Avlägsnad"
"Rename","Döp om"
"Rename building","Döp om byggnad"
"rename...","Döp om"
"rename_task_list","Döp om uppgiftslista"
"Report id","Report id"
"Report settings","Rapport inställningar"
"Reports","Rapporter"
"Required fields","Obligatoriska fält"
"Reset view","Återställ kolumner"
"Resp. company","Ansv. företag"
"Resp. email","Ansv. e-mail"
"Responded date","Svarade datum"
"Responsible","Ansvarig"
"retry","Prova igen"
"Retry","Prova igen"
"Revision","Revision"
"role","Roll"
"Role","Roll"
"Role has subordinates. Cant delete","Rollen har underordnade. Kan inte radera rollen."
"Room","Rum"
"Room ID field","Room ID field"
"room updated?","Rummet blev inte hittad. Platsen skall uppdateras.<br/><br/>Har ritningsmaterialet uppdaterats?"
"rooms","Rum"
"rotate","Rotera"
"rotate left","Rotera åt vänster"
"rotate picture save","Kan endast rotera då red-lining är sparad. nnSpara bild och rotera."
"rotate right","Rotera åt höger"
"S:Substitute, O: Observer","S: Substitut, O: Observerare"
"Safety report","Säkerhetsrapport"
"Save","Spara"
"Save","Spara"
"SAVE","SPARA"
"Save as Draft","Spara som utkast"
"Save changes","Spara ändringar"
"Save checklist","Spara checklista"
"Save draft","Spara utkast"
"Save view","Spara vy"
"Saved","Sparad"
"search","Sök"
"Search","Sök"
"Search","Sök"
"Search (filter)","Sök"
"Search criteria","Sökkriteria"
"Search for","Söka efter"
"Section","Sektioner"
"Select","Välj"
"select","Välj"
"Select all","Välj alla"
"Select all","Välj alla"
"Select assignee","Välj ansvarig"
"Select construction","Välj entreprenad"
"select construction text","Välj entreprenaden som personen skall läggas till under"
"Select drawing","Välj planritning"
"Select only one for deletion","Kan endast radera en åt gången"
"Select supervisor","Välj övervakniningsområde"
"select supervisor text","Välj övervakniningsområde som personen skall läggas till under"
"Select user","Välj användare"
"Select user company:","Välj eller specifiera företag för denna användare:"
"Select users","Välj användare"
"Select work descriptions","Välj arbetsbeskrivning"
"select_a_status","Välj en status först"
"select_an_assignee","Välj en ansvarig"
"Selected","Vald"
"selected area","valt område"
"Selected first","Valda först"
"Selected last","Vald sist"
"selected tasks","valda uppgifter"
"SelectFilter","Välj filter parameter"
"Selection only","Endast valda"
"selection only","Endast valda"
"send","Skicka"
"Send","Skicka"
"Send e-mail","Skicka e-post"
"Send invitations","Skicka inbjudningar"
"Send password","Skicka lösenord"
"Send to back","Flytta bakåt"
"Sent (email)","Skickat"
"Server","Server"
"Server Error","Serverfel"
"server_error","Serverfel"
"server_error_text","Det uppstod ett fel på servern"
"Set location","Ställ plats"
"Set selected responsible","Sätt vald som ansvarig"
"set_to","satt till"
"settings","Inställning"
"Settings","Inställning"
"Settings (filter)","Inställingar"
"Several contracts","Flera entreprenadsavtal"
"Shared sites","Delade sidor"
"shared_sites","Delade sidor"
"Short","Kort"
"Show company","Företag"
"Show drawings","Visa ritningar"
"Show entire organization","Visa hela organisationen"
"Show location","Visa läge"
"Show work descriptions","Visa arbetsbeskrivning"
"Signature","Signatur"
"Signing field","Rapporteringsfält"
"Signing field",""
"Attachments",""
"Simple","Enkel"
"Single report","Enkel rapport"
"Single reports","Enstaka rapporter"
"Single users","Enkel användare"
"Site data","Siddata"
"Site is already prepared for offline use","Projektet är redan förberett för användning offline"
"Site management","Byggledning"
"Site manager assistant","Se/redigera"
"Site name","Projektnamn"
"Site number","Projekt nr."
"site_data","Siddata"
"site_name","Sidnamn"
"Sites","Projekt"
"slow app","Delar av programmet kan vara långsammare"
"SorteringAZ","Sorterar A-Z"
"SorteringZA","Sorterar Z-A"
"Specify name","Ange namn"
"Specify number","Ange nummer"
"Specify prefix","Specifiera prefix"
"Specify subject","Ange ämne"
"Specify user name","Ange användarnamn"
"standard","Standard"
"Standard filter","standardfilter"
"StandardFilter","Standardfiltrering"
"Start drawing","Börja rita"
"status","Status"
"Status","Status"
"Status report","Statusrapport"
"Status report (filename)","Statusrapport"
"status_changed_from","Status ändrad från"
"Stay here","Bli här"
"Stay here","Bli här"
"Stop drawing","Sluta rita"
"Subcontractor","Undeleverantör"
"Subject","Ämne"
"Subject already exists","Texten finns redan"
"Substitute (single letter)","S"
"Substitute for","Substitut för"
"Substitutes and observers","Substitut och observerare"
"Substitutes and observers","Substitut och observerare"
"Substitutes:","Substitut:"
"Summary","Sammanfattning"
"Summary","Sammanfattning"
"Superior role:","Överordnad roll:"
"Supervisor","Förman"
"Supervisor role with tasks cant be removed","Övervakningsroll med uppgifter kan tas bort"
"support","Hjälp"
"Supported files","Understödda filer"
"Synchronize now","Synkronisera nu"
"Synchronized","Synkroniserad"
"synchronizing","Synkroniserar"
"Synchronizing","Synkroniserar"
"Tabel with tasks PDF","Tabell med uppgifter (PDF)"
"Table (Excel)","Tabell (Excel)"
"Table (PDF)","Tabell (PDF)"
"Table with tasks excel","Tabell med uppgifter (Excel)"
"Take me to Login","Gå till login"
"Task","Brist"
"Task count","Antal uppgifter av denna typ"
"Task flow","Uppgiftsflow"
"Task folders","Uppgiftsmapp"
"Task reports (PDF)","Uppgiftsrapport (PDF)"
"Task template","Uppgiftsmall"
"task_list","Uppgiftslista"
"task_list","Uppgiftslista"
"task_list_setup","Uppgiftslista inställning"
"task_lists","Uppgiftslistor"
"tasks","Uppgifter"
"Tasks","Uppgifter"
"Tasks and issues","Uppgifter"
"Tasks associated with role. Cant delete","Uppgifterna tillhör en roll. Kan ej radera roll."
"Tasks on plan drawings","Uppgifter på planritningen"
"tasks_open","Öppna uppgifter"
"tasks_total","Totala antalet uppgifter"
"Templates","Mallar"
"Text","Text"
"text","Text"
"The file is ready","Filen är klar"
"The user will be removed","Användaren tas bort"
"The user will be removed from all aspects of the project.","Användaren kommer att tas bort från alla delar av projektet."
"There is an update to the application","Det finns en uppdatering till applikationen"
"Time of invitation","Inbjudningstidspunkt"
"title","Ämne"
"Title","Ämne"
"Title (role)","Rubrik"
"Title changed","Rubrik ändrad"
"title_changed_from","Rubrik ändrad från"
"to","till"
"to approve","att godkänna"
"to assign","att tilldela"
"to report ready","att rapportera klar"
"Try Demo Site","Prova demo"
"Type","Typ"
"Type password for user","Skriv lösenordet för användaren"
"Type prefix","Typprefix"
"Types","Typer"
"unassigned","(inte tilldelats)"
"Unassigned","(inte tilldelats)"
"unchanged","Oändrad"
"Unchanged","Oändrad"
"unhandled_error","Ett oväntat fel uppstod"
"unhandled_error_title","Fel"
"Unpacking drawings","Packar upp ritningar"
"Unpublished buildings","Opublicerade byggnader"
"unsent_message","{0} oskickat meddelande"
"unsent_messages","{0} oskickade meddelanden"
"Update","Uppdatera"
"Update checklist","Uppdatera checklista"
"Update Dalux Field","Uppdatera Dalux Field "
"Update now","Uppdatera nu"
"Update user","Uppdatera användare"
"update:","Uppdatera:  {0}"
"update_task","Uppdatera"
"Updated","Uppdaterad"
"Updated {0}","Uppdaterad {0}"
"Updated by","Uppdaterad av"
"updated_by","Uppdaterad av"
"updated_date","Uppdaterad {0}"
"updating","Uppdaterar"
"Updating","Uppdaterar"
"Upload DWG","Ladda upp DWG"
"Upload DWGs","Ladda upp DWGna"
"Upload image","Ladda upp bild"
"Upload PDF","Ladda upp PDF"
"upload_company_logo","Ladda upp företagets logo"
"Uploaded by","Uppladdad av"
"Use","Använd"
"Use automatic publishing","Använd automatisk publicering"
"Use automatic publishing text","Byt till automatisk publicering? nn Byggnader och ritningar publiceras automatiskt när de är klara."
"Use building","Använd byggnad"
"Use location","Använd plats"
"Use manual publishing","Använd manuell publicering"
"Use manual publishing text","Byt till manuell publicering? nn Du kan publicera byggnader och ritningar manuellt när de är klara."
"Use search field below","Använd sökfältet nedan"
"user","Användare"
"User","Användare"
"User active","Användare validerat"
"User company","Användarens företag"
"User email settings","E-post inställningar"
"User exists already","Användaren finns redan"
"User found","Användare hittad"
"User has signed up","Användaren har registrerat sig"
"User name","E-post"
"User not found","Användare hittades inte"
"User not signed up","Användaren har inte registrerat sig"
"User not validated","Användare inte validerat"
"User removed","Användare avlägsnad"
"User rights","Användarrättigheter"
"user_defined_flow","Användardefinierad flow"
"Users","Användare"
"Users removed","Användare avlägsnade"
"users_that_can_be_managed","Användare som kan administeras"
"users_with access","Användare med tillgång till denna sida"
"Value","Värde"
"Values","Värden"
"VATIN","Momsnr."
"View","Se"
"View","Vy"
"View buildings on map","Visa byggnader på karta"
"View case","Visa"
"View for","Visa för"
"View user","Vy"
"View/Edit","Se/redigera"
"View/Edit (responsible)","Se/Redigera (ansvarig)"
"Views","Visningar"
"wait","Vänta…"
"Wait","Vänta"
"Warning","Varning"
"warning remove user","Är du säker att du vill avlägsna denna användare?"
"Warning!","Varning"
"Web service rejected your request","Webbtjänsten avvisade förfrågan"
"Week","Vecka"
"Weekly safety report","Veckorapport"
"whatis: construction","Entreprenaden är den kontraktet som ingås. En entreprenad kan spana över fler övervakningsområden."
"whatis: discipline","Övervakningsområdet genomgås av kontroll. Exempel av områden är ' VVS', 'Elektricitet', 'Montering'"
"whois: building owner","En användare kan se alla uppgifter med inte redigera dem"
"whois: contractor","En person som är ansvarig att uppgifterna levereras till byggnadsledningen i tid och uppfyller avtalad kvalitet inom en viss yrkesgrupp"
"whois: fictive","En användare som inte är känd ännu, eller som senare skall inviteras att delta i denna projekt"
"whois: site manager","Byggledaren har det dagliga ansvaret för platsen och har ansvaret att alla entreprenader levereras i tid och uppfyller avtalad kvalitet."
"whois: site manager assistant","En användare kan se alla uppgifter och redigera dem"
"whois: subcontractor","En person som har ingått en kontraktmässig avtal på en bestämd uppgift med en entreprenadledare"
"whois: supervisor","En person som inom olika ämnesområden inspekterar att byggandet har utförts korrekt "
"With date","Med datum"
"Without date","Utan datum"
"Work description","Arbetsbeskrivning"
"Work descriptions","Arbetsbeskrivningar"
"Work.Desc","Arb.Besk"
"Work.Num","Arb. Nr"
"Worker report","Arbetarrapport"
"workflow_definition","Definiton av arbetsflow"
"Yellow","Gul"
"Yes","Ja"
"You can not delete this control plan because there are tasks associated with it","Du kan inte radera denna kontrollplan eftersom det finns uppgifter i samband med den."
"You cannot delete this checklist template because there exists checklists of this type.","Du kan inte radera denna checklista mall eftersom det finns checklistor av denna typ"
"You have not been assigned to any projects yet.","Du har inte tilldelats något projekt ännu."
"You must accept this","För att använda Dalux Field måste du:"
"You must be administrator to add buildings",""
"You must be administrator to change publishing settings",""
"You must be administrator to delete buildings",""
"You must be administrator to edit buildings",""
"You must be administrator to rename buildings",""
"You must be online to log in","Du måste vara online för att logga in"
"you_are_logged_in","Du är nu inloggad"
"Your colleagues drafts","Dina kollegors utkast"
"Your column setup is being reset","Dina kolumninställningar återställs"
"Your drafts","Dina utkast"
"Your sites","Dina sidor"
"your_current_role_alter_error","Din nuvarande roll tilllåter inte att ändra uppgifter med status"
"your_current_role_create_error","Din nuvarande roll tilllåter inte att skapa nya uppgifter"
"your_sites","Dina sidor"
"Zip code","Postnr"
"zip_code","Postnr"
"Zone","Zon"
"Zone name","Zon namn"
"Zones","Zoner"
"Project does not have any checklists",""
"Search in e-mail addresses",""
"Enterprise agreement",""
"Open properties",""
"Enterprise invoicing info",""
"Add '{0}' to the list",""
"Sort by last change",""
"Sort by deadline",""
"required",""
"Required",""
"Safety observations",""
"Safety observation",""
"Safety inspections",""
"Safety inspection",""
"Advanced modules",""
"Invoicing information",""
"Modules",""
"Module",""
"Safety",""
"Activate",""
"Deactivate",""
"Active",""
"Deactivated",""
"Recovered task",""
"A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?",""
"Edit task",""
"Delete task",""
"Description of control plan area",""
"Task type has been deleted",""
"No responsible, draft not shared",""
"Deadline today","Deadline i dag"
"Continue editing",""
"Inspection plans unavailable. No task types.",""
"Tasks with inspection plans",""
"Name of duplicate",""
"Details",""
"Are you sure you want to delete the image?",""
"Remove location",""
"Cannot delete contract. Attached checklists or inspection plans",""
"Add attachment",""
"Send again",""
"Max 300 tasks in worker report",""
"Add company","Lägg företag"
"Edit company","Redigera företag"
"Remove company","Ta bort företag"
"Are you sure you want to remove the user {0}?",""
"Prepare for offline",""
"Disciplines (drawing)",""
"All disciplines",""
"All buildings",""
"Downloading drawings",""
"Delete all offline drawings",""
"Could not get report",""
"Could not retrieve list",""
"Create organisation",""
"Create building",""
"Create organisation info",""
"Create building info",""
"Save and rotate",""
"RGY",""
"WorkDescription",""
"info invited project",""
"Change password",""
"Remove user",""
"Changes",""
"Changed by {0}",""
"History for {0}",""
"Photo added",""
"Value changed",""
"Comment changed",""
"Comment deleted",""
"Value and comment changed",""
"Reply",""
"Coordinates",""
"Activity (report)",""
"Not activated",""
"not activated",""
"Payment",""
"Project data",""
"Licenses",""
"Next payment due",""
"Payer",""
"Quick fields",""
"Quick field",""
"Remove quick field","Avlägsna"
"Edit quick field","Redigera"
"Export quick fields","Exportera"
"Import quick fields","Importera"
"Person",""
"Activated",""
"Rooms","Rum"
"Draw on map",""
"3D preview",""
"Log",""
"Upload","Ladda upp PDF"
"File info",""
"Displayed name",""
"Subdiscipline",""
"Upload date",""
"Article ID field",""
"Room report ID",""
"Article report ID",""
"Report Server",""
"Project ID",""
"Construction site address",""
"Select checklist",""
"Change password",""
"Change password message",""
"Change password ok",""
"confirm remove building",""
"Are you sure you want to delete {0}?",""
"choose file destination alert",""
"uploading file",""
"upload error",""
"drawing processing",""
"delete view text",""
"delete view title",""
"no attribute selected text",""
"link copy error",""
"link copy text",""
"download error",""
"From file",""
"Original elevation",""
"Visible",""
"Level setup",""
"is3DLevel text",""
"drawingsAreLevelCuts text",""
"Place drawing",""
"modelMustBePlaced text",""
"btnRevit text",""
"cannot update file type",""
"Test",""
"Server OK",""
"Total area",""
"Room name",""
"Area","Område"
"Add level",""
"Edit level",""
"drawings drawn to scale",""
"Display 3D on this level",""
"Generate 2D from 3D",""
"GPS active",""
"Message",""
"Project person",""
"Another email",""
"Send link invitation",""
"Other project name",""
"Sharing",""
"Upload to",""
"Finish",""
"Publish following buildings",""
"Publish",""
"Rooms in",""
"Compare drawings",""
"Version",""
"Drawing information",""
"File information",""
"Loading rooms",""
"Isometric cut",""
"Parallel to the axis",""
"Legend",""
"North east",""
"South east",""
"South west",""
"North west",""
"Top",""
"East",""
"North",""
"West",""
"South",""
"Drawing settings",""
"DWG settings",""
"New files",""
"Updated files",""
"Apply new settings to updated files",""
"DWG scale",""
"meter",""
"Use colors",""
"IFC settings",""
"Retrieving level information",""
"IFC level",""
"Dalux level",""
"New level name",""
"Navigation from 2D to 3D",""
"Use 2D drawings as specified in the IFC model",""
"Create cutplanes from the 3D model",""
"Only create levels",""
"Placed drawing",""
"One or more of the updated drawings from PDFs or images are placed on a level",""
"Drawings with placement on levels",""
"I will update the drawings if PDF/Image files have changed scale or position",""
"Choose DWG file and referenced files",""
"File Upload",""
"The unit scale is not a number",""
"ETA",""
"Click to set position manually",""
"Current drawing",""
"Match points for current drawing",""
"Match drawing",""
"Match points for place drawing",""
"Place relative to",""
"Combined display",""
"Reference points not chosen",""
"For validation purposes",""
"Place this level",""
"Start match point",""
"End match point",""
"Rotation",""
"Length",""
"Match points",""
"Click on the drawing to select reference point A",""
"Click on the drawing to select reference point B",""
"This building has been deleted.",""
"Dalux Field Account Manager",""
"Start date",""
"Expiration date",""
"Last activity",""
"Price",""
"Note",""
"Invoices",""
"Invoice",""
"Are you sure you want to delete this role?",""
"From","Från"
"Add filter",""
"To","Till"
"Drawing setup",""
"Show on list",""
"Show on drawing",""
"The work description number is used to enumerate tasks. It must therefore be unique.",""
"You must enter a prefix.",""
"Prefix is used for another template. The prefix must be unique.",""
"You must enter a work description number.",""
"Get started",""
"Action",""
"Get started",""
"Help videos",""
"History",""
"Checklist item",""
"manual_publish_description",""
"auto_publish_description",""
"All checklists",""
"Downloading checklists",""
"The project has been locked. Contact Dalux.",""
"The project has been locked. Contact project administrator.",""
"Account expired (admin)",""
"Account expired (user)",""
"My Dalux Field project has been locked ({0})",""
"Best regards",""
"My Dalux Field project {0} has expired",""
"Trial expired",""
"Trial expires today",""
"Trial expires tomorrow",""
"Trial expires in {0} days",""
"Upgrade",""
"Project has been archived",""
"I would like to upgrade my Dalux Field project {0}",""
"Attachment added",""
"Attachment",""
"View (verb)",""
"Create levels from {0}",""
"Level creation",""
"Create new levels from IFC files",""
"Existing levels",""
"Units",""
"Unit price",""
"Billing",""
"The building does not exist anymore.",""
"Invoice header {projectname}",""
"Case no {projectnumber}",""
"Period {start to end date}",""
"Invoice Att {note}",""
"Invoice Note {note}",""
"Do you want to save the changes?",""
"Don't save",""
"Project number",""
"Project language",""
"Attention to on invoice",""
"Note on invoice",""
"Payment agreement",""
"Company profile",""
"1 license",""
"{0} licenses",""
"Months",""
"months",""
"Month",""
"User licenses",""
"Billing cycle",""
"Next invoice",""
"Project status",""
"Payment information",""
"Invoice history",""
"Company list",""
"Invoice email",""
"Default project language",""
"Unused licenses",""
"Administrators",""
"Template project",""
"Open invoice",""
"Delete license",""
"Delete user",""
"Historical data",""
"Project invoice information",""
"Company profile invoice information",""
"Task creators",""
"Show invoice",""
"Photo removed",""
"Information removed",""
"Information added",""
"Field added",""
"Field removed",""
"Field updated",""
"Information updated",""
"previous value",""
"Connecting to Windows viewer",""
"You can't remove yourself from the project",""
"Remove association",""
"No organization has been set",""
"New trial project",""
"Heading",""
"Level name",""
"Display 3D",""
"References",""
"Edit drawing",""
"Show photo",""
"No additional licenses required",""
"{0} additional licenses required",""
"Usage period",""
"Subscription period",""
"Invoice usage period",""
"Subscriptions",""
"License",""
"License discount",""
"Add to favorites",""
"Remove from favorites",""
"One additional license required",""
"Required field",""
"Please fill the required fields",""
"Show license agreement",""
"Accept license agreement",""
"Users to be activated",""
"Users to be deleted",""
"You must accept the license agreement in order to proceed",""
"Select site manager",""
"Create project",""
"Create a new project",""
"Enter invoice information",""
"License log",""
"Standard project",""
"Identification fields",""
"Edit help text",""
"Has license",""
"Choose standard project",""
"DaluxUpdateText",""
"Licensed users",""
"Unlicensed users",""
"New Dalux Field version",""
"Be aware that non-licensed users will be deleted from the project.",""
"Are you sure you want to delete these users from the project?",""
"Do not show again",""
"Dalux Field is updated",""
"{0} licenses are requested.",""
"{0} users are chosen to be licensed.",""
"Move {0} users to the {1} list in order to proceed.",""
"I accept",""
"the license agreement",""
"Only an IT Administrator can upgrade a project.",""
"Contact IT Administrator",""
"Select timezone",""
"Fixed montly price",""
