"","fr-fr"
"Connecting to Windows viewer",""
"You can't remove yourself from the project",""
"Remove association",""
"No organization has been set",""
"New trial project",""
"Heading",""
"Level name",""
"Display 3D",""
"References",""
"Edit drawing",""
"Show photo",""
"No additional licenses required",""
"{0} additional licenses required",""
"Usage period",""
"Subscription period",""
"Invoice usage period",""
"Subscriptions",""
"License",""
"License discount",""
"Add to favorites",""
"Remove from favorites",""
"One additional license required",""
"Required field",""
"Please fill the required fields",""
"Show license agreement",""
"Accept license agreement",""
"Users to be activated",""
"Users to be deleted",""
"You must accept the license agreement in order to proceed",""
"Select site manager",""
"Create project",""
"Create a new project",""
"Enter invoice information",""
"License log",""
"Standard project",""
"Identification fields",""
"Edit help text",""
"Has license",""
"Choose standard project",""
"DaluxUpdateText",""
"Licensed users",""
"Unlicensed users",""
"New Dalux Field version",""
"Be aware that non-licensed users will be deleted from the project.",""
"Are you sure you want to delete these users from the project?",""
"Do not show again",""
"Dalux Field is updated",""
"{0} licenses are requested.",""
"{0} users are chosen to be licensed.",""
"Move {0} users to the {1} list in order to proceed.",""
"I accept",""
"the license agreement",""
"Only an IT Administrator can upgrade a project.",""
"Contact IT Administrator",""
"Select timezone",""
"Fixed montly price",""
