"source","target"
"manage_users","Administrer brugere"
"Map","Kort"
"Markers","Markører"
"Memo no.","Notenr."
"minute","minut"
"minutes","minutter"
"Modified","Ændret"
"modified","Ændret"
"Month1","januar"
"Month10","oktober"
"Month11","november"
"Month12","december"
"Month2","februar"
"Month3","marts"
"Month4","april"
"Month5","maj"
"Month6","juni"
"Month7","juli"
"Month8","august"
"Month9","september"
"Move down","Flyt ned"
"Move to drafts","Flyt til kladder"
"Move up","Flyt op"
"Multiple","Flere"
"Multiple filters","Mange filtre"
"Multiple responsible","Flere ansvarlige"
"must accept cookies","For at bruge Dalux Field, skal du tillade brug af cookies"
"must accept terms","For at bruge Dalux Field, skal du acceptere vores brugsbetingelser"
"name","Navn"
"Name","Navn"
"Network failure. Try again","Netværksfejl. Prøv igen"
"New","Ny"
"new","Ny"
"New (m)","Nyt"
"New assignee","Ny ansvarlig"
"New building","Ny bygning"
"New building model file","Ny bygningsmodel-fil"
"New checklist","Ny tjekliste"
"New company","Nyt firma"
"New construction","Ny entreprise"
"New construction","Ny entreprise"
"New department","Ny afdeling"
"New discipline","Nyt tilsynsområde"
"New fictive user","Ny fiktiv bruger"
"New floor","Ny etage"
"New inspection","Nyt tilsynsnotat"
"New project","Nyt projekt"
"New registration","Ny registrering"
"New site","Nyt site"
"New supervisor area","Nyt tilsynsområde"
"new task","ny opgave"
"New tasks","Nye opgaver"
"New user","Ny bruger"
"New work description","Ny arbejdsbeskrivelse"
"new_building","Ny bygning"
"new_demo_site","Nyt demosite"
"new_demo_site_details","Nyt demosite.nnKun små bygninger tillades"
"new_site_details","Nyt ubegrænset site."
"new_status","Ny status"
"new_task_list","Ny opgaveliste"
"new_value","Ny værdi"
"Next","Næste"
"No","Nej"
"No available sites","Ingen tilgængelige projekter"
"No building and floors available for this site. GIS can not be placed","Der kan ikke placeres på GIS da der ikke er nogen etageplaner på dette site."
"No building and floors available for this site. GIS can not be placed","Der kan ikke placeres på GIS da der ikke er nogen etageplaner på dette site."
"No buildings","Ingen bygninger"
"No checklists","Ingen tjeklister"
"No connection","Ingen forbindelse..."
"No drafts","Ingen kladder"
"No drawing material available.","Intet tegningsmateriale tilgængeligt."
"No drawing selected","Ingen tegning valgt"
"No drawings","Ingen tegninger"
"No permission text","Den ønskede operation kunne ikke udføres"
"No permission title","Operation ikke tilladt"
"No picture","Intet billede"
"No registrations","Ingen registreringer"
"No results","Ingen resultater"
"No room","(Intet rum)"
"No selection","Intet valgt"
"no selection","intet valgt"
"No sorting","Ingen sortering"
"No sorting","Ingen sortering"
"No tasks","Ingen opgaver"
"No title","Intet emne"
"No.","Nr."
"no_building","(ingen bygning)"
"no_connection","Ingen forbindelse..."
"no_floor","(ingen etage)"
"no_floors","(ingen etager)"
"no_room","(intet lokale)"
"no_selection","Intet valgt"
"no_title","(Ingen titel)"
"none","Ingen"
"None","Ingen"
"None (filter)","Intet"
"normal","Normal"
"Not allowed","Ikke tilladt"
"Not created","Ikke oprettet"
"Not deleted","Ikke slettet"
"Not equal","Ikke lig med"
"Not logged in","Ikke logget ind"
"Not selected","Ikke markeret"
"Not sent (singular)","Ikke sendt"
"Not set","Ikke angivet"
"Not signed up","Ej tilmeldt"
"Not synchronized","Ikke synkroniseret"
"not_found","Ikke fundet"
"not_set","(Ikke angivet)"
"Note field on registrations","Notesfelter på registreringer"
"Notes","Noter"
"notification","Besked"
"Notification","Besked"
"number","Nummer"
"Number","Nummer"
"Number series","Nummerserie"
"object","Bygningsdel"
"Observations","Observationer"
"Observer","Observatør"
"Observer (single letter)","O"
"Observers","Observatører"
"Observers:","Observatører:"
"of","af"
"Offline","Offline"
"Offline","Offline"
"offline_finding_location","Offline<br/>Anvender nærmest tilgængelige lokation"
"offline_minimodel","Offline<br/>Der er ikke forbindelse til internettet, og minimodellen er ikke tilgængelig offline."
"offline_minimodel_frame","Offline<br/>Der er ikke forbindelse til internettet, og denne vinkel er ikke tilgængelig offline."
"offline_mode_description","<b>Tegningsmateriale</b> og opgaver i mapperne <b>Indbakke</b>, <b>Afviste</b> og <b>Klarmeldte</b> hentes til brug i offline tilstand."
"offline_mode_warning","Bemærk at der hentes store mængder data, og det anbefales derfor at man bruger Wi-Fi under overførslen."
"offline_new_visit_2d","Offline<br/>Der er ikke forbindelse til internettet, og plantegningen er ikke tilgængelig offline."
"offline_new_visit_3d","Offline<br/>Der er ikke forbindelse til internettet, og der er ikke nogen lokationer tilgængelige på denne etage."
"ok","OK"
"Ok","OK"
"OK","OK"
"old_value","Tidligere værdi"
"Ongoing (folder)","Igangværende"
"Open","Åbn"
"Open (folder)","Åbne"
"Open (singular)","Påbegyndt"
"Open checklist","Åbn tjekliste"
"Open dRofus report","Åbn dRofus-rapport"
"Open object properties","Åbn objektegenskaber"
"Open project","Åbn projekt"
"Open site","Åbn projekt"
"Order","Rækkefølge"
"Organization","Organisation"
"Orientation (print)","Papirretning"
"Origin","Ophav"
"Other","Anden"
"other_users","Andre brugere"
"Others","Andre"
"outbox","Ikke sendte"
"Outbox","Ikke sendte"
"Outbox failed","Ikke synkroniseret"
"Outbox images","Ikke sendte billeder"
"Outbox images failed","Ikke synkroniserede billeder"
"outbox_failed","Ikke synkroniseret"
"Overall assessment","Kommentar"
"overview","oversigt"
"Overview","Oversigt"
"Overview drawing","Oversigtstegning"
"overview on floorplans","oversigt på planer"
"overview, printouts","oversigt, udprint"
"Own","Egne igangværende"
"Own roles","Egne"
"Page","Side"
"parent","Overordnet"
"Passive user","Passiv bruger"
"password","Adgangskode"
"Password","Adgangskode"
"Password again","Adgangskode igen"
"Permanent task deletion","Alle opgaver vil blive slettet permanent og kan ikke gendannes"
"Permissions","Rettigheder"
"Persons","Personer"
"Phone","Telefon"
"Phone (short)","Tlf"
"photo","Foto"
"Photo","Foto"
"Photo taken","Foto taget"
"photos","billeder"
"Photos","Billeder"
"picture","Billede"
"Pie","Lagkage"
"Place action","Placer"
"Placement","Placering"
"Placement description","Placeringsbeskrivelse"
"Please wait...","Vent venligst..."
"Portrait","Stående"
"Prefix","Præfiks"
"prefix deficiency","M"
"prefix inspection","T"
"Prepare project for offline use","Forbered projekt til offline brug"
"Preparing file","Forbereder fil"
"Preparing project for offline use","Forbereder projekt til offline brug"
"Prev. deadline","Tidl. deadline"
"Prev. subject","Tidl. emne"
"Preview","Forhåndsvisning"
"Previous","Forrige"
"Print","Eksporter"
"Print (print)","Udskriv"
"Print all","Eksporter alle"
"Print selected","Eksporter valgte"
"Printed","Udskrevet"
"Printing","Udskrivning"
"printout locations","lokation af udprint"
"Printouts","Eksporter"
"printouts, list","udprint, liste"
"priority","Prioritet"
"Priority","Prioritet"
"Priority changed","Prioritet ændret"
"project","Projekt"
"Project","Projekt"
"Project access restricted","Projektadgang begrænset til mobil-brug.nnFor fuld adgang, kontakt Dalux (support@dalux.com)."
"Project configuration","Projektopsætning"
"Project expired","Projekt udløbet"
"Project info","Stamdata"
"Project information","Projektinformation"
"Project name","Projektnavn"
"Project no.","Sagsnr."
"Project organisation","Byggeledelse"
"Project participant","Projektdeltager"
"Project prepared for offline use","Projekt er klar til offline brug"
"Projects","Projekter"
"Properties","Egenskaber"
"properties_changed","Ændrede egenskaber"
"property","Egenskab"
"psc.","stk."
"Publish","Publicer"
"Published buildings","Publicerede bygninger"
"Punch Lists","Dashboard"
"q user role","Hvilken rolle har den person som du ønsker at oprette?"
"QA","KS"
"Quality Assurance","Kvalitetssikring"
"Quick subjects","Hurtig-emner"
"Quick titles","Hurtig-emner"
"R","R"
"Reason","Årsag"
"Receipt for execution","Kvittering for udførelse"
"Receives tasks","Modtager opgaver"
"Recieves tasks","Ansvarlig for udbedring"
"Recorded","Oprettet"
"Recorded by","Oprettet af"
"Red","Rød"
"Refresh","Opdater"
"REG","REG"
"Registration","Registrering"
"Registrations","Registreringer"
"Registrations (filename)","Registreringer"
"Reject","Afvis"
"Rejected","Afvist"
"Rejected (folder)","Afviste"
"Rejected by","Afvist af"
"Related contract","Relateret entreprise"
"Relation","Relation"
"Remaining time","Resterende tid"
"Remember me","Husk mig"
"Remind unsubscribed","Send invitationer"
"remove","Fjern"
"Remove","Fjern"
"Remove","Fjern"
"Remove person","Fjern person"
"Remove work description","Fjern arbejdsbeskrivelse"
"removed","Fjernet"
"Removed","Fjernet"
"Rename","Omdøb"
"Rename building","Omdøb bygning"
"rename...","Omdøb..."
"rename_task_list","Omdøb opgaveliste"
"Report id","Rapport id"
"Report settings","Rapportopsætning"
"Reports","Rapporter"
"Required fields","Obligatoriske felter"
"Reset view","Nulstil kolonner"
"Resp. company","Ansv. firma"
"Resp. email","Ansv. e-mail"
"Responded date","Returdato"
"Responsible","Ansvarlig"
"retry","Prøv igen"
"Retry","Prøv igen"
"Revision","Revision"
"role","Rolle"
"Role","Rolle"
"Role has subordinates. Cant delete","Der er andre roller under denne rolle. Rollen kan ikke slettes."
"Room","Rum"
"Room ID field","Rum-id-felt"
"room updated?","Lokalet blev ikke fundet. Lokationen skal opdateres.<br/><br/>Er tegningsmaterialet blevet ændret?"
"rooms","Rum"
"rotate","Roter"
"rotate left","Roter til venstre"
"rotate picture save","Red-lining skal gemmes før billedet kan roteres."
"rotate right","Roter til højre"
"S:Substitute, O: Observer","S: Stedfortræder, O: Observatør"
"Safety report","Sikkerhedsrapport"
"Save","Gem"
"Save","Gem"
"SAVE","GEM"
"Save as Draft","Gem som kladde"
"Save changes","Gem ændringer"
"Save checklist","Gem tjekliste"
"Save draft","Gem kladde"
"Save view","Gem visning"
"Saved","Gemt"
"search","Søg"
"Search","Søg"
"Search","Søg"
"Search (filter)","Søgning"
"Search criteria","Søgekriterier"
"Search for","Indtast søgeord"
"Section","Snittegninger"
"Select","Vælg"
"select","Vælg"
"Select all","Vælg alle"
"Select all","Vælg alle"
"Select assignee","Vælg ansvarlig"
"Select construction","Vælg entreprise"
"select construction text","Vælg entreprisen som personen skal tilføjes under"
"Select drawing","Vælg plantegning"
"Select only one for deletion","Kan kun slette én ad gangen"
"Select supervisor","Vælg tilsynsområde"
"select supervisor text","Vælg tilsynsområde som personen skal tilføjes under"
"Select user","Vælg bruger"
"Select user company:","Vælg eller angiv firma for denne bruger:"
"Select users","Vælg brugere"
"Select work descriptions","Vælg arbejdsbeskrivelser"
"select_a_status","Vælg en status først"
"select_an_assignee","Vælg en ansvarlig"
"Selected","Markeret"
"selected area","valgte område"
"Selected first","Markerede først"
"Selected last","Markerede sidst"
"selected tasks","udvalgte opgaver"
"SelectFilter","Vælg filter parameter"
"Selection only","Kun valgte"
"selection only","kun valgte"
"send","Send"
"Send","Send"
"Send e-mail","Send e-mail"
"Send invitations","Send invitationer"
"Send password","Send kodeord"
"Send to back","Placer bagest"
"Sent (email)","Afsendt"
"Server","Server"
"Server Error","Serverfejl"
"server_error","Serverfejl"
"server_error_text","Der opstod en fejl på serveren"
"Set location","Angiv lokation"
"Set selected responsible","Sæt valgte som ansvarlig"
"set_to","sat til"
"settings","Opsætning"
"Settings","Opsætning"
"Settings (filter)","Visning"
"Several contracts","Flere entrepriser"
"Shared sites","Delte sites"
"shared_sites","Delte sites"
"Short","Kort"
"Show company","Vis firma"
"Show drawings","Vis tegninger"
"Show entire organization","Vis hele organisationen"
"Show location","Vis lokation"
"Show work descriptions","Vis arbejdsbeskrivelser"
"Signature","Signatur"
"Signing field","Afrapporteringsfelt"
"Signing field","Vedhæftede filer"
"Attachments","Vedhæftede filer"
"Simple","Simpel"
"Single report","Enkeltrapport"
"Single reports","Enkeltrapporter"
"Single users","Enkeltbrugere"
"Site data","Sitedata"
"Site is already prepared for offline use","Projektet er allerede forberedt til offline brug"
"Site management","Byggeledelse"
"Site manager assistant","Se/redigere"
"Site name","Projektnavn"
"Site number","Projekt nr."
"site_data","Sitedata"
"site_name","Sitenavn"
"Sites","Projekter"
"slow app","Dele af programmet kan være langsomme."
"SorteringAZ","Sortering A-Z"
"SorteringZA","Sortering Z-A"
"Specify name","Angiv navn"
"Specify number","Angiv nummer"
"Specify prefix","Angiv præfiks"
"Specify subject","Angiv emne"
"Specify user name","Indtast brugerens navn"
"standard","Standard"
"Standard filter","Standardfiltrering"
"StandardFilter","Standardfiltrering"
"Start drawing","Start optegning"
"status","Status"
"Status","Status"
"Status report","Statusrapport"
"Status report (filename)","Statusrapport"
"status_changed_from","Status ændret fra"
"Stay here","Bliv her"
"Stay here","Bliv her"
"Stop drawing","Stop optegning"
"Subcontractor","Underentreprenør"
"Subject","Emne"
"Subject already exists","Teksten eksisterer i forvejen"
"Substitute (single letter)","S"
"Substitute for","Stedfortræder for"
"Substitutes and observers","Stedfortrædere og observatører"
"Substitutes and observers","Stedfortrædere og observatører"
"Substitutes:","Stedfortrædere:"
"Summary","Opsummering"
"Summary","Opsummering"
"Superior role:","Dennes overordnede:"
"Supervisor","Tilsynsførende"
"Supervisor role with tasks cant be removed","Tilsyneroller tilknyttet opgaver kan ikke slettes."
"support","Hjælp"
"Supported files","Understøttede filer"
"Synchronize now","Synkroniser nu"
"Synchronized","Synkroniseret"
"synchronizing","Synkroniserer"
"Synchronizing","Synkroniserer"
"Tabel with tasks PDF","Tabel med opgaver (PDF)"
"Table (Excel)","Tabel (Excel)"
"Table (PDF)","Tabel (PDF)"
"Table with tasks excel","Tabel med opgaver (Excel)"
"Take me to Login","Gå til Login"
"Task","Opgave"
"Task count","Antal opgaver af denne type"
"Task flow","Opgaveflow"
"Task folders","Opgavemapper"
"Task reports (PDF)","Opgaverapporter (PDF)"
"Task template","Opgaveskabelon"
"task_list","Opgaveliste"
"task_list","Opgaveliste"
"task_list_setup","Opgavelisteopsætning"
"task_lists","Opgavelister"
"tasks","opgaver"
"Tasks","Opgaver"
"Tasks and issues","Opgaver"
"Tasks associated with role. Cant delete","Der er opgaver tilknyttet denne rolle. Rollen kan derfor ikke slettes."
"Tasks on plan drawings","Opgaver på plantegning"
"tasks_open","Åbne sager"
"tasks_total","Totalt antal sager"
"Templates","Skabeloner"
"Text","Tekst"
"text","Tekst"
"The file is ready","Filen er klar"
"The user will be removed","Brugeren fjernes"
"The user will be removed from all aspects of the project.","Brugeren vil blive fjernet fra alle områder i projektet."
"There is an update to the application","Der er en opdatering til programmet!"
"Time of invitation","Invitationstidspunkt"
"title","Emne"
"Title","Emne"
"Title (role)","Titel"
"Title changed","Titel ændret"
"title_changed_from","Titel ændret fra"
"to","til"
"to approve","at godkende"
"to assign","at tildele"
"to report ready","at klarmelde"
"Try Demo Site","Prøv demo"
"Type","Type"
"Type password for user","Skriv adgangskoden for brugeren"
"Type prefix","Typepræfiks"
"Types","Typer"
"unassigned","(ikke tildelt)"
"Unassigned","(ikke tildelt)"
"unchanged","Uændret"
"Unchanged","Uændret"
"unhandled_error","Der opstod en uventet fejl."
"unhandled_error_title","Fejl"
"Unpacking drawings","Udpakker tegningsmateriale"
"Unpublished buildings","Ikke-publicerede bygninger"
"unsent_message","{0} besked ikke sendt"
"unsent_messages","{0} beskeder ikke sendt"
"Update","Opdater"
"Update checklist","Opdater tjekliste"
"Update Dalux Field","Opdater Dalux Field"
"Update now","Opdater nu"
"Update user","Opdater bruger"
"update:","Opdater: {0}"
"update_task","Opdater"
"Updated","Opdateret"
"Updated {0}","Opdateret {0}"
"Updated by","Opdateret af"
"updated_by","Opdateret af"
"updated_date","Opdateret {0}"
"updating","Opdaterer"
"Updating","Opdaterer"
"Upload DWG","Upload DWG"
"Upload DWGs","Upload DWGer"
"Upload image","Upload billede"
"Upload PDF","Upload PDF"
"upload_company_logo","Upload firmalogo"
"Uploaded by","Uploadet af"
"Use","Anvend"
"Use automatic publishing","Brug auto-publicering"
"Use automatic publishing text","Vil du skifte til automatisk publicering?nnBygninger og tegninger udgives automatisk når de er klar."
"Use building","Brug bygning"
"Use location","Brug lokation"
"Use manual publishing","Brug manuel publicering"
"Use manual publishing text","Vil du skifte til manuel publicering?nnDu skal manuelt udgive bygninger og tegninger når de er klar."
"Use search field below","Der er mere end 500 unikke muligheder.nBrug søgefilteret nedenfor."
"user","Bruger"
"User","Bruger"
"User active","Bruger valideret"
"User company","Brugerens firma"
"User email settings","Mailopsætning"
"User exists already","Bruger eksisterer allerede"
"User found","Bruger fundet"
"User has signed up","Brugeren er tilmeldt"
"User name","E-mail"
"User not found","Brugeren blev ikke fundet"
"User not signed up","Bruger ikke tilmeldt"
"User not validated","Bruger ikke valideret"
"User removed","Bruger fjernet"
"User rights","Brugerrettigheder"
"user_defined_flow","Brugerdefineret flow"
"Users","Brugere"
"Users removed","Brugere fjernet"
"users_that_can_be_managed","Brugere som kan administreres"
"users_with access","Brugere med adgang til dette site"
"Value","Værdi"
"Values","Værdier"
"VATIN","CVR"
"View","Se"
"View","Visning"
"View buildings on map","Vis bygninger på kort"
"View case","Vis"
"View for","Vis for"
"View user","Vis"
"View/Edit","Se/rediger"
"View/Edit (responsible)","Se/redigere (ansvarlig)"
"Views","Visning"
"wait","Vent..."
"Wait","Vent"
"Warning","Advarsel"
"warning remove user","Er du sikker på at du vil fjerne denne bruger?"
"Warning!","Advarsel!"
"Web service rejected your request","Serveren afviste din forespørgsel"
"Week","Uge"
"Weekly safety report","Ugerapport"
"whatis: construction","Entreprise er den kontrakt der indgåes. En entreprise kan spænde over flere tilsynsområder"
"whatis: discipline","Tilsynsområdet er den fagdisciplin der kontrolleres. Eksempler på fagdiscipliner kan f.eks. være 'VVS', 'El' og 'Aptering'."
"whois: building owner","En bruger der kan se alle opgaver, men ikke har mulighed for at redigere"
"whois: contractor","En person der overfor byggeledelsen er ansvarlig for at opgaver leveres til tiden og overholder den aftalte kvalitet inden for en bestemt faggruppe"
"whois: fictive","En bruger som enten ikke kendes endnu, eller først senere skal inviteres til at deltage i dette projekt"
"whois: site manager","Byggelederen har det daglige ansvar for byggepladsen og har ansvaret for at alle entrepriser afleveres til tiden og overholder den aftalte kvalitet"
"whois: site manager assistant","En bruger der kan se og redigere alle opgaver"
"whois: subcontractor","En person der har indgået en kontraktmæssig aftale på en bestem opgave med en entrepriseleder"
"whois: supervisor","En person der inden for forskellige fagområder efterser at byggeriet udføres korrekt"
"With date","Med dato"
"Without date","Uden dato"
"Work description","Arbejdsbeskrivelse"
"Work descriptions","Arbejdsbeskrivelser"
"Work.Desc","Arb.Besk"
"Work.Num","Arb.Num"
"Worker report","Håndværkerrapport"
"workflow_definition","Definition af wodaily digestrkflow"
"Yellow","Gul"
"Yes","Ja"
"You can not delete this control plan because there are tasks associated with it","Du kan ikke slette denne kontrolplan da der er opgaver forbundet med den."
"You cannot delete this checklist template because there exists checklists of this type.","Du kan ikke slette denne tjeklisteskabelon fordi der eksisterer tjeklister der benytter den."
"You have not been assigned to any projects yet.","Du er ikke blevet tilknyttet et projekt endnu."
"You must accept this","For at bruge Dalux Field, skal du:"
"You must be administrator to add buildings","Tegninger er linket fra et andet projekt. Du har ikke rettigheder til at tilføje bygninger."
"You must be administrator to change publishing settings","Tegninger er linket fra et andet projekt. Du har ikke rettigheder til at ændre publiceringsmetode."
"You must be administrator to delete buildings","Tegninger er linket fra et andet projekt. Du har ikke rettigheder til at slette bygninger."
"You must be administrator to edit buildings","Tegninger er linket fra et andet projekt. Du har ikke rettigheder til at redigere bygninger."
"You must be administrator to rename buildings","Tegninger er linket fra et andet projekt. Du har ikke rettigheder til at omdøbe bygninger."
"You must be online to log in","Du skal være online for at kunne logge ind"
"you_are_logged_in","Du er nu logget ind"
"Your colleagues drafts","Dine kollegers kladder"
"Your column setup is being reset","Dine kolonnevalg nulstilles"
"Your drafts","Dine kladder"
"Your sites","Dine sites"
"your_current_role_alter_error","Din nuværende rolle tillader ikke at ændre kommentarer med status:"
"your_current_role_create_error","Din nuværende rolle tillader ikke at oprette nye kommentarer"
"your_sites","Dine sites"
"Zip code","Postnr."
"zip_code","Postnr."
"Zone","Zone"
"Zone name","Zonenavn"
"Zones","Zoner"
"Project does not have any checklists","Projektet har ingen tjeklister"
"Search in e-mail addresses","Søg i e-mailadresser"
"Enterprise agreement","Firmaaftale"
"Open properties","Åbn egenskaber"
"Enterprise invoicing info","Faktureringsinformationen bruges for alle projekter på firmaaftale"
"Add '{0}' to the list","Tilføj '{0}' til listen"
"Sort by last change","Sorter efter seneste opdatering"
"Sort by deadline","Sorter efter deadline"
"required","skal udfyldes"
"Required","Skal udfyldes"
"Safety observations","Sikkerhedsobservationer"
"Safety observation","Sikkerhedsobservation"
"Safety inspections","Sikkerhedsrunderinger"
"Safety inspection","Sikkerhedsrundering"
"Advanced modules","Avancerede moduler"
"Invoicing information","Faktureringsinformation"
"Modules","Moduler"
"Module","Modul"
"Safety","Sikkerhed"
"Activate","Aktiver"
"Deactivate","Deaktiver"
"Active","Aktiveret"
"Deactivated","Deaktiveret"
"Recovered task","Gendannet opgave"
"A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?","En opgave er blevet gendannet efter en uventet lukning. Vil du åbne den og fortsætte redigering?"
"Edit task","Rediger opgave"
"Delete task","Slet opgave"
"Description of control plan area","Beskrivelse af kontrolpunkt"
"Task type has been deleted","Opgavetypen er blevet slettet.<br/><br/>Vælg en anden opgavetype."
"No responsible, draft not shared","Ingen ansvarlig (kladde deles ikke)"
"Deadline today","Deadline i dag"
"Continue editing","Fortsæt redigering"
"Inspection plans unavailable. No task types.","Kontrolplaner er ikke tilgængelige fordi der ikke er blevet tilføjet nogen opgavetyper."
"Tasks with inspection plans","Opgaver med kontrolplaner"
"Name of duplicate","Kopiens navn"
"Details","Detaljer"
"Are you sure you want to delete the image?","Er du sikker på at du vil slette billedet?"
"Remove location","Fjern lokation"
"Cannot delete contract. Attached checklists or inspection plans","Kan ikke slette entreprisen.nDer er tilknyttede tjeklister eller kontrolplaner"
"Add attachment","Vedhæft fil"
"Send again","Send igen"
"Max 300 tasks in worker report","Der kan maks. være 300 opgaver i en håndværkerrapport."
"Add company","Tilføj firma"
"Edit company","Rediger firma"
"Remove company","Fjern firma"
"Are you sure you want to remove the user {0}?","Er du sikker på at du vil fjerne brugeren {0}?"
"Prepare for offline","Forbered til offline"
"Disciplines (drawing)","Fag"
"All disciplines","Alle fag"
"All buildings","Alle bygninger"
"Downloading drawings","Henter tegninger"
"Delete all offline drawings","Slet alle offline-tegninger"
"Could not get report","Kunne ikke hente rapporten"
"Could not retrieve list","Kunne ikke hente listen"
"Create organisation","Opret organisation"
"Create building","Opret en bygning"
"Create organisation info","Du skal oprette en organisation."
"Create building info","Du skal oprette en bygning og dernæst publicere den."
"Save and rotate",""
"RGY","Rød/gul/grøn"
"WorkDescription","Arbejdsbeskrivelse"
"info invited project","Du er blevet inviteret til projektet {0}."
"Change password","Skift adgangskode"
"Remove user","Fjern bruger"
"Changes","Ændringer"
"Changed by {0}","Ændret af {0}"
"History for {0}","Historik for {0}"
"Photo added","Foto tilføjet"
"Value changed","Værdi ændret"
"Comment changed","Kommentar ændret"
"Comment deleted","Kommentar slettet"
"Value and comment changed","Værdi og kommentar ændret"
"Reply","Besvar"
"Coordinates","Koordinater"
"Activity (report)","Forløb"
"Not activated","Ikke aktiveret"
"not activated","ikke aktiveret"
"Payment","Betaling"
"Project data","Projektdata"
"Licenses","Licenser"
"Next payment due","Betalt indtil"
"Payer","Betaler"
"Quick fields","Hurtig-emner"
"Quick field","Hurtig-emne"
"Remove quick field","Fjern"
"Edit quick field","Rediger"
"Export quick fields","Eksporter"
"Import quick fields","Importer"
"Person","Person"
"Activated","Aktiveret"
"Rooms","Rum"
"Draw on map","Tegn på kort"
"3D preview","Vis i 3D"
"Log","Log"
"Upload","Upload"
"File info","Filinfo"
"Displayed name","Vist navn"
"Subdiscipline","Underfag"
"Upload date","Upload dato"
"Article ID field","Artikel-id-felt"
"Room report ID","Rum-rapport-id"
"Article report ID","Artikel-rapport-id"
"Report Server","Rapportserver"
"Project ID","Projekt-id"
"Construction site address","Byggepladsadresse"
"Select checklist","Vælg tjekliste"
"Change password","Skift kodeord"
"Change password message","Du skal logge ind igen efter at du har skiftet kodeord."
"Change password ok","Om lidt får du tilsendt en e-mail med videre instruktioner."
"confirm remove building","Er du sikker på at du vil slette denne bygning?"
"Are you sure you want to delete {0}?","Er du sikker på at du vil slette {0}?"
"choose file destination alert","Du skal vælge en destinationsmappe for alle filer"
"uploading file","Uploader fil..."
"upload error","Der er opstået en fejl ved upload af filen"
"drawing processing","Tegningerne udarbejdes. Vent venligst."
"delete view text","Er du sikker på at du vil slette denne visning?"
"delete view title","Slet visning"
"no attribute selected text","Der er ikke valgt nogen parameter."
"link copy error","Link kunne ikke kopieres"
"link copy text","Et link til denne kommentar er blevet kopieret til udklipsholderen.nnFor at indsætte, tryk Ctrl + V."
"download error","Der skete en fejl ved download."
"From file","Fra fil"
"Original elevation","Oprindelig elevation"
"Visible","Synlig"
"Level setup","Etageopsætning"
"is3DLevel text","Etagerne er målfaste"
"drawingsAreLevelCuts text","Denne tegning er et horisontalt snit i en 3D-model"
"Place drawing","Placer tegning"
"modelMustBePlaced text","Da denne etage er målfast, skal tegningen placeres i forhold til en anden tegning"
"btnRevit text","Denne fil skal uploades i Revit vha. et plugin"
"cannot update file type","Filtypen kan ikke opdateres"
"Test","Test"
"Server OK","Server OK!"
"Total area","Samlet areal"
"Room name","Rumnavn"
"Area","Areal"
"Add level","Tilføj etage"
"Edit level","Rediger etage"
"drawings drawn to scale","Tegninger på etagen er målfaste"
"Display 3D on this level","Vis 3D på denne etage"
"Generate 2D from 3D","Generer 2D-tegning som et snit i 3D-modellen på denne etage"
"GPS active","GPS aktiv"
"Message","Besked"
"Project person","Projektperson"
"Another email","Anden e-mail"
"Send link invitation","Send link-invitation"
"Other project name","Andet projektnavn"
"Sharing","Deling"
"Upload to","Upload til"
"Finish","Afslut"
"Publish following buildings","Publicér følgende bygninger"
"Publish","Publicér"
"Rooms in","Rum i"
"Compare drawings","Sammenlign tegninger"
"Version","Version"
"Drawing information","Tegningsinformation"
"File information","Filinformation"
"Loading rooms","Henter rum"
"Isometric cut","Isometrisk snit"
"Parallel to the axis","Parallel med aksen"
"Legend","Signatur"
"North east","Nordøst"
"South east","Sydøst"
"South west","Sydvest"
"North west","Nordvest"
"Top","Top"
"East","Øst"
"North","Nord"
"West","Vest"
"South","Syd"
"Drawing settings","Tegningsindstillinger"
"DWG settings","DWG-indstillinger"
"New files","Nye filer"
"Updated files","Opdaterede filer"
"Apply new settings to updated files","Brug nye indstillinger for opdaterede filer"
"DWG scale","DWG-skalering"
"meter","meter"
"Use colors","Brug farver"
"IFC settings","IFC-indstillinger"
"Retrieving level information","Henter etageinformation"
"IFC level","IFC-etage"
"Dalux level","Dalux-etage"
"New level name","Nyt etagenavn"
"Navigation from 2D to 3D","Navigation fra 2D til 3D"
"Use 2D drawings as specified in the IFC model","Brug 2D-tegninger som specifiseret i IFC-modellen (ikke alle IFC-modeller indeholder disse)"
"Create cutplanes from the 3D model","Generer snitplaner fra 3D-modellen (2D-snit igennem al 3D-geometri på den specificerede etage)"
"Only create levels","Generer kun etager (2D DWG eller PDF skal være afbildet for at muliggøre navigering)"
"Placed drawing","Placeret tegning"
"One or more of the updated drawings from PDFs or images are placed on a level","En eller flere af de opdaterede tegninger fra PDF eller billede er placeret på en etage. De opdaterede tegninger skal have de samme positioner for at nye registreringer kan placeres korrekt."
"Drawings with placement on levels","Tegninger placeret på etager"
"I will update the drawings if PDF/Image files have changed scale or position","Jeg sørger for at opdatere tegningerne hvis PDF-/billedfiler ændrer skala eller position"
"Choose DWG file and referenced files","Vælg DWG-fil og referencefiler"
"File Upload","Filupload"
"The unit scale is not a number","Enhedsskalaen er ikke et tal"
"ETA","ETA"
"Click to set position manually","Klik for at sætte position manuelt"
"Current drawing","Nuværende tegning"
"Match points for current drawing","Afstem punkter for nuværende tegning"
"Match drawing","Afstem tegning"
