"","nb-no"
"logged_out","Du ble logget ut"
"Login refused text","Bruker/kode ble ikke funnet."
"Login refused title","Ugyldig bruker"
"Login revoked text","Logindata eller rettigheter har blitt endret"
"Login revoked title","Ugyldig bruker"
"logo","Logo"
"Logo","Logo"
"Project photo",""
"logo_editor_text","Denne logoen vil bli brukt til utskrevne rapporter"
"Long","Lang"
"low","Lav"
"manage_users","Administrer brukere"
"Map","Kart"
"Markers","Markører"
"Memo no.","Notenr."
"minute","minutt"
"minutes","minutter"
"Modified","endret"
"modified","endret"
"Month1","januar"
"Month10","oktober"
"Month11","november"
"Month12","desember"
"Month2","februar"
"Month3","mars"
"Month4","april"
"Month5","mai"
"Month6","juni"
"Month7","juli"
"Month8","august"
"Month9","september"
"Move down","Flytt ned"
"Move to drafts","Flytt til kladder"
"Move up","Flytt opp"
"Multiple","Flere"
"Multiple filters","Mange filtre"
"Multiple responsible","Flere ansvarlige"
"must accept cookies","For å bruke Dalux Field må du tillate bruk av cookies"
"must accept terms","For å bruke Dalux Field må du akseptere våre brukerbetingelser"
"name","Navn"
"Name","Navn"
"Network failure. Try again","Nettverksfeil. Prøv igjen"
"New","Ny"
"new","Ny"
"New (m)","Nytt"
"New assignee","Ny ansvarlig"
"New building","Ny bygning"
"New building model file","Ny bygningsmodell-fil"
"New checklist","Ny sjekkliste"
"New company","Nytt firma"
"New construction","Ny entreprise"
"New construction","Ny entreprise"
"New department","Ny avdeling"
"New discipline","Nytt tilsynsområde"
"New fictive user","Ny fiktiv bruker"
"New floor","Ny etasje"
"New inspection","Nytt tilsynsnotat"
"New project","Nytt Prosjekt"
"New registration","Ny registrering"
"New site","Ny plass"
"New supervisor area","Nytt tilsynsområde"
"new task","ny oppgave"
"New tasks","Nye oppgaver"
"New user","Ny bruker"
"New work description","Ny arbeidsbeskrivelse"
"new_building","Ny bygning"
"new_demo_site","Ny demoplass"
"new_demo_site_details","Ny demoplass.\n\nKun små bygninger tillates"
"new_site_details","Ny ubegrenset plass."
"new_status","Ny status"
"new_task_list","Ny oppgaveliste"
"new_value","Ny verdi"
"Next","Neste"
"No","Nei"
"No available sites","Ingen tilgjengelige prosjekter"
"No building and floors available for this site. GIS can not be placed","Det kan ikke plasseres på GIS da det ikke er noen etasjeplaner på denne plassen."
"No building and floors available for this site. GIS can not be placed","Det kan ikke plasseres på GIS da det ikke er noen etasjeplaner på denne plassen."
"No buildings","Ingen bygninger"
"No checklists","Ingen sjekklister"
"No connection","Ingen forbindelse..."
"No drafts","Ingen kladder"
"No drawing material available.","Intet tegningsmateriale tilgjengelig."
"No drawing selected","Ingen tegning valgt"
"No drawings","Ingen tegninger"
"No permission text","Den ønskede operasjonen kunne ikke utføres"
"No permission title","Operasjon ikke tillatt"
"No picture","Intet bilde"
"No registrations","Ingen registreringer"
"No results","Ingen resultater"
"No room","(Intet rom)"
"No selection","Intet valgt"
"no selection","intet valgt"
"No sorting","Ingen sortering"
"No sorting","Ingen sortering"
"No tasks","Ingen oppgaver"
"No title","Intet emne"
"No.","Nr."
"no_building","(ingen bygning)"
"no_connection","Ingen forbindelse..."
"no_floor","(ingen etasje)"
"no_floors","(ingen etasjer)"
"no_room","(intet lokale)"
"no_selection","Intet valgt"
"no_title","(Ingen tittel)"
"none","Ingen"
"None","Ingen"
"None (filter)","Intet"
"normal","Normal"
"Not allowed","Ikke tillatt"
"Not created","Ikke opprettet"
"Not deleted","Ikke slettet"
"Not equal","Ikke lik med"
"Not logged in","Ikke logget inn"
"Not selected","Ikke markert"
"Not sent (singular)","Ikke sendt"
"Not set","Ikke angitt"
"Not signed up","Ikke tilmeldt"
"Not synchronized","Ikke synkronisert"
"not_found","Ikke funnet"
"not_set","(Ikke angitt)"
"Note field on registrations","Notatfelter på registreringer"
"Notes","Notater"
"notification","Beskjed"
"Notification","Beskjed"
"number","Nummer"
"Number","Nummer"
"Number series","Nummerserie"
"object","Bygningsdel"
"Observations","Observasjoner"
"Observer","Observatør"
"Observer (single letter)","O"
"Observers","Observatører"
"Observers:","Observatører:"
"of","av"
"Offline","Offline"
"Offline","Offline"
"offline_finding_location","Offline<br/>Anvender nærmeste tilgjengelige posisjon"
"offline_minimodel","Offline<br/>Internett er ikke tilkoblet og minimodellen er ikke tilgjengelig offline."
"offline_minimodel_frame","Offline<br/> Internett er ikke tilkoblet og denne vinkelen er ikke tilgjengelig offline."
"offline_mode_description","<b>Tegningsmateriale</b> og oppgaver i mappene <b>Innboks</b>, <b>Avviste</b> og <b>Klarmeldte</b> hentes til bruk i offline tilstand."
"offline_mode_warning","Merk at det hentes store mengder data og det anbefales derfor at man bruker Wi-Fi under overføringen."
"offline_new_visit_2d","Offline<br/>Det er ikke forbindelse til Internett og plantegningen er ikke tilgjengelig offline."
"offline_new_visit_3d","Offline<br/>Det er ikke forbindelse til Internett og det er ikke noen posisjoner tilgjengelige på denne etasjen."
"ok","OK"
"Ok","OK"
"OK","OK"
"old_value","Tidligere verdi"
"Ongoing (folder)","Pågående"
"Open","Åpne"
"Open (folder)","Åpne"
"Open (singular)","Påbegynt"
"Open checklist","Åpne sjekkliste"
"Open dRofus report","Åpne dRofus-rapport"
"Open object properties","Åpne objektegenskaper"
"Open project","Åpne prosjekt"
"Open site","Åpne prosjekt"
"Order","Rekkefølge"
"Organization","Organisasjon"
"Orientation (print)","Papirretning"
"Origin","Opphav"
"Other","Annen"
"other_users","Andre brukere"
"Others","Andre"
"outbox","Ikke sendte"
"Outbox","Ikke sendte"
"Outbox failed","Ikke synkronisert"
"Outbox images","Ikke sendte bilder"
"Outbox images failed","Ikke synkroniserte bilder"
"outbox_failed","Ikke synkronisert"
"Overall assessment","Kommentar"
"overview","oversikt"
"Overview","Oversikt"
"Overview drawing","Oversiktstegning"
"overview on floorplans","oversikt på planer"
"overview, printouts","oversikt, utskrift"
"Own","Egne pågående"
"Own roles","Egne"
"Page","Side"
"parent","Overordnet"
"Passive user","Passiv bruker"
"password","Passord"
"Password","Passord"
"Password again","Passord på nytt"
"Permanent task deletion","Alle oppgaver vil bli slettet permanent og kan ikke gjendannes"
"Permissions","Rettigheter"
"Persons","Personer"
"Phone","Telefon"
"Phone (short)","Tlf"
"photo","Bilde"
"Photo","Bilde"
"Photo taken","Bilde tatt"
"photos","bilder"
"Photos","Bilder"
"picture","Bilde"
"Pie","- "
"Place action","Plasser"
"Placement","Plassering"
"Placement description","Plasseringsbeskrivelse"
"Please wait...","Vennligst vent ..."
"Portrait","Stående"
"Prefix","Prefiks"
"prefix deficiency","M"
"prefix inspection","T"
"Prepare project for offline use","Forbered Prosjekt til offline bruk"
"Preparing file","Forbereder fil"
"Preparing project for offline use","Forbereder Prosjekt til offline bruk"
"Prev. deadline","Tidl. deadline"
"Prev. subject","Tidl. emne"
"Preview","Forhåndsvisning"
"Previous","Forrige"
"Print","Eksporter"
"Print (print)","Skriv ut"
"Print all","Eksporter alle"
"Print selected","Eksporter valgte"
"Printed","Utskrevet"
"Printing","Utskrivning"
"printout locations","lokasjon av utskrift"
"Printouts","Eksporter"
"printouts, list","Utskrifter, liste"
"priority","Prioritet"
"Priority","Prioritet"
"Priority changed","Prioritet endret"
"project","Prosjekt"
"Project","Prosjekt"
"Project access restricted","Prosjektadgang begrenset til mobil-bruk.\n\nFor full adgang, kontakt Dalux (support@dalux.com)."
"Project configuration","Prosjektoppsett"
"Project expired","Prosjekt utløpt"
"Project info","Stamdata"
"Project information","Prosjektinformasjon"
"Project name","Prosjektnavn"
"Project no.","Saksnr."
"Project organisation","Byggeledelse"
"Project participant","Prosjektdeltaker"
"Project prepared for offline use","Prosjekt er klar til offline bruk"
"Projects","Prosjekter"
"Properties","Egenskaper"
"properties_changed","Endrede egenskaper"
"property","Egenskap"
"psc.","stk."
"Publish","Publiser"
"Published buildings","Publiserte bygninger"
"Punch Lists","Dashboard"
"q user role","Hvilken rolle har den personen som du ønsker å opprette?"
"QA",""
"Quality Assurance","Kvalitetssikring"
"Quick subjects","Hurtig-overskrifter"
"Quick titles","Hurtig-overskrifter"
"R",""
"Reason","Årsak"
"Receipt for execution","Kvittering for utførelse"
"Receives tasks","Mottar oppgaver"
"Recieves tasks","Ansvarlig for utbedring"
"Recorded","Opprettet"
"Recorded by","Opprettet av"
"Red","Rød"
"Refresh","Oppdater"
"REG",""
"Registration","Registrering"
"Registrations","Registreringer"
"Registrations (filename)","Registreringer"
"Reject","Avvis"
"Rejected","Avvist"
"Rejected (folder)","Avviste"
"Rejected by","Avvist av"
"Related contract","Relatert entreprise"
"Relation","Relasjon"
"Remaining time","Resterende tid"
"Remember me","Husk meg"
"Remind unsubscribed","Send invitasjoner"
"remove","Fjern"
"Remove","Fjern"
"Remove","Fjern"
"Remove person","Fjern person"
"Remove work description","Fjern arbeidsbeskrivelse"
"removed","Fjernet"
"Removed","Fjernet"
"Rename","Døp om"
"Rename building","Døp om bygning"
"rename...","Døp om ..."
"rename_task_list","Døp om oppgaveliste"
"Report id","Rapport-id"
"Report settings","Rapportoppsetning"
"Reports","Rapporter"
"Required fields","Obligatoriske felter"
"Reset view","Nullstill kolonner"
"Resp. company","Ansv. firma"
"Resp. email","Ansv. e-mail"
"Responded date","Returdato"
"Responsible","Ansvarlig"
"retry","Prøv igjen"
"Retry","Prøv igjen"
"Revision","Revisjon"
"role","Rolle"
"Role","Rolle"
"Role has subordinates. Cant delete","Det er andre roller under denne rollen. Rollen kan ikke slettes."
"Room","Rom"
"Room ID field","Rom ID-felt"
"room updated?","Lokalet ble ikke funnet. Posisjonen må oppdateres.<br/><br/>Har tegningsmaterialet blitt endret?"
"rooms","Rom"
"rotate","Roter"
"rotate left","Roter til venstre"
"rotate picture save","Kan kun rotere når red-lining er lagret.\n\nLagre bilde og roter"
"rotate right","Roter til høyre"
"S:Substitute, O: Observer",""
"Safety report","Sikkerhetsrapport"
"Save","Lagre"
"Save","Lagre"
"SAVE","LAGRE"
"Save as Draft","Lagre som kladd"
"Save changes","Lagre endringer"
"Save checklist","Lagre sjekkliste"
"Save draft","Lagre kladd"
"Save view","Lagre visning"
"Saved","Lagret"
"search","Søk"
"Search","Søk"
"Search","Søk"
"Search (filter)","Søking"
"Search criteria","Søkekriterier"
"Search for","Skriv inn søkeord"
"Section","Snittegninger"
"Select","Velg"
"select","Velg"
"Select all","Velg alle"
"Select all","Velg alle"
"Select assignee","Velg ansvarlig"
"Select construction","Velg entreprise"
"select construction text","Velg entreprisen som personen skal tilføyes under"
"Select drawing","Velg plantegning"
"Select only one for deletion","Kan kun slette én om gangen"
"Select supervisor","Velg tilsynsområde"
"select supervisor text","Velg tilsynsområdet som personen skal tilføyes under"
"Select user","Velg bruker"
"Select user company:","Velg eller angi firma for denne brukeren:"
"Select users","Velg brukere"
"Select work descriptions","Velg arbeidsbeskrivelser"
"select_a_status","Velg en status først"
"select_an_assignee","Velg en ansvarlig"
"Selected","Markert"
"selected area","valgte område"
"Selected first","Markerte først"
"Selected last","Markerte sist"
"selected tasks","utvalgte oppgaver"
"SelectFilter","Velg filter parameter"
"Selection only","Kun valgte"
"selection only","kun valgte"
"send","Send"
"Send","Send"
"Send e-mail","Send e-mail"
"Send invitations","Send invitasjoner"
"Send password","Send passord"
"Send to back","Plasser bakerst"
"Sent (email)","Sendt"
"Server","Server"
"Server Error","Serverfeil"
"server_error","Serverfeil"
"server_error_text","Det oppstod en feil på serveren"
"Set location","Angi posisjon"
"Set selected responsible","Sett valgte som ansvarlig"
"set_to",""
"settings","Innstillinger"
"Settings","Innstillinger"
"Settings (filter)","Visning"
"Several contracts","Flere entrepriser"
"Shared sites","Delte plasser"
"shared_sites","Delte plasser"
"Short","Kart"
"Show company","Vis firma"
"Show drawings","Vis tegninger"
"Show entire organization","Vis hele organisasjonen"
"Show location","Vis posisjon"
"Show work descriptions","Vis arbeidsbeskrivelser"
"Signature","Signatur"
"Signing field","Rapporteringsfelt"
"Signing field",""
"Attachments",""
"Simple","Enkel"
"Single report","Enkeltrapport"
"Single reports","Enkeltrapporter"
"Single users","Enkeltbrukere"
"Site data","Plassdata"
"Site is already prepared for offline use","Prosjektet er allerede forberedt til offline bruk"
"Site management","Byggeledelse"
"Site manager assistant","Se/redigere"
"Site name","Prosjektnavn"
"Site number","Prosjekt-nr."
"site_data","Plassdata"
"site_name","Plassnavn"
"Sites","Prosjekter"
"slow app","Deler av programmet kan være langsomt"
"SorteringAZ","Sortering A-Z"
"SorteringZA","Sortering Z-A"
"Specify name","Angi navn"
"Specify number","Angi nummer"
"Specify prefix","Angi prefiks"
"Specify subject","Angi emne"
"Specify user name","Skriv inn brukerens navn"
"standard","Standard"
"Standard filter","Standardfiltrering"
"StandardFilter","Standardfiltrering"
"Start drawing","Start opptegning"
"status","Status"
"Status","Status"
"Status report","Statusrapport"
"Status report (filename)","Statusrapport"
"status_changed_from","Status endret fra"
"Stay here","Bli her"
"Stay here","Bli her"
"Stop drawing","Stopp opptegning"
"Subcontractor","Underentreprenør"
"Subject","Emne"
"Subject already exists","Teksten eksisterer allerede"
"Substitute (single letter)",""
"Substitute for","Stedfortreder for"
"Substitutes and observers","Stedfortredere og observatører"
"Substitutes and observers","Stedfortredere og observatører"
"Substitutes:","Stedfortredere:"
"Summary","Oppsummering"
"Summary","Oppsummering"
"Superior role:","Dennes overordnede:"
"Supervisor","Tilsynsførende"
"Supervisor role with tasks cant be removed","Tilsynsroller tilknyttet oppgaver kan ikke slettes."
"support","Hjelp"
"Supported files","Understøttede filer"
"Synchronize now","Synkroniser nå"
"Synchronized","Synkronisert"
"synchronizing","Synkroniserer"
"Synchronizing","Synkroniserer"
"Tabel with tasks PDF","Tabell med oppgaver (PDF)"
"Table (Excel)","Tabell (Excel)"
"Table (PDF)","Tabell (PDF)"
"Table with tasks excel","Tabell med oppgaver (Excel)"
"Take me to Login","Gå til Login"
"Task","Oppgave"
"Task count","Antall oppgaver av denne typen"
"Task flow","Oppgaveflow"
"Task folders","Oppgavemapper"
"Task reports (PDF)","Oppgaverapporter (PDF)"
"Task template","Oppgavemal"
"task_list","Oppgaveliste"
"task_list","Oppgaveliste"
"task_list_setup","Oppgavelisteoppsett"
"task_lists","Oppgavelister"
"tasks","oppgaver"
"Tasks","Oppgaver"
"Tasks and issues","Oppgaver"
"Tasks associated with role. Cant delete","Det er oppgaver tilknyttet denne rollen. Rollen kan derfor ikke slettes."
"Tasks on plan drawings","Oppgaver på plantegning"
"tasks_open","Åpne saker"
"tasks_total","Totalt antall saker"
"Templates","Maler"
"Text","Tekst"
"text","Tekst"
"The file is ready","Filen er klar"
"The user will be removed","Brukeren fjernes"
"The user will be removed from all aspects of the project.","Brukeren vil bli fjernet fra alle områder i prosjektet."
"There is an update to the application","Det er en oppdatering til programmet!"
"Time of invitation","Invitasjonstidspunkt"
"title","Emne"
"Title","Emne"
"Title (role)","Tittel"
"Title changed","Tittel endret"
"title_changed_from","Tittel endret fra"
"to","til"
"to approve","å godkjenne"
"to assign","å tildele"
"to report ready","å klarmelde"
"Try Demo Site","Prøv demo"
"Type","Type"
"Type password for user","Skriv passordet for brukeren"
"Type prefix","Typeprefiks"
"Types","Typer"
"unassigned","(ikke tildelt)"
"Unassigned","(ikke tildelt)"
"unchanged","Uendret"
"Unchanged","Uendret"
"unhandled_error","Det oppstod en uventet feil."
"unhandled_error_title","Feil"
"Unpacking drawings","Pakker ut tegningsmateriale"
"Unpublished buildings","Upubliserte bygninger"
"unsent_message","{0} beskjed ikke sendt"
"unsent_messages","{0} beskjeder ikke sendt"
"Update","Oppdater"
"Update checklist","Oppdater sjekkliste"
"Update Dalux Field","Oppdater Dalux Field"
"Update now","Oppdater nå"
"Update user","Oppdater bruker"
"update:","Oppdater: {0}"
"update_task","Oppdater"
"Updated","Oppdatert"
"Updated {0}","Oppdatert {0}"
"Updated by","Oppdatert av"
"updated_by","Oppdatert av"
"updated_date","Oppdatert {0}"
"updating","Oppdaterer"
"Updating","Oppdaterer"
"Upload DWG","Last opp DWG"
"Upload DWGs","Last opp DWGer"
"Upload image","Last opp bilde"
"Upload PDF","Last opp PDF"
"upload_company_logo","Last opp firmalogo"
"Uploaded by","Lastet opp av"
"Use","Bruk"
"Use automatic publishing","Bruk auto-publisering"
"Use automatic publishing text","Skift til automatisk publisering?\n\nBygninger og tegninger utgis automatisk når de er klare."
"Use building","Bruk bygning"
"Use location","Bruk posisjon"
"Use manual publishing","Bruk manuell publisering"
"Use manual publishing text","Skift til manuell publisering?\n\nDu skal manuelt utgi bygninger og tegninger når de er klare."
"Use search field below","Det er mer enn 500 unike muligheter.\nBruk søkefilteret nedenfor."
"user","Bruker"
"User","Bruker"
"User active","Bruker validert"
"User company","Brukerens firma"
"User email settings","Mailoppsett"
"User exists already","Bruker eksisterer allerede"
"User found","Bruker funnet"
"User has signed up","Brukeren er påmeldt"
"User name","E-mail"
"User not found","Brukeren ble ikke funnet."
"User not signed up","Bruker ikke påmeldt"
"User not validated","Bruker ikke validert"
"User removed","Bruker fjernet"
"User rights","Brukerrettigheter"
"user_defined_flow","Brukerdefinert flow"
"Users","Brukere"
"Users removed","Brukere fjernet"
"users_that_can_be_managed","Brukere som kan administreres"
"users_with access","Brukere med adgang til denne plassen"
"Value","Verdi"
"Values","Verdier"
"VATIN","Organisasjonsnr."
"View","Se"
"View","Visning"
"View buildings on map","Vis bygninger på kart"
"View case","Vis"
"View for","Vis for"
"View user","Vis"
"View/Edit","Se/redigere"
"View/Edit (responsible)","Se/redigere (ansvarlig)"
"Views","Visning"
"wait","Vent..."
"Wait","Vent"
"Warning","Advarsel"
"warning remove user","Er du sikker på at du vil fjerne denne brukeren?"
"Warning!","Advarsel!"
"Web service rejected your request","Serveren avviste din forespørsel"
"Week","Uke"
"Weekly safety report","Ukerapport"
"whatis: construction","Entreprise er den kontrakten som inngås. En entreprise kan gjelde for flere tilsynsområder"
"whatis: discipline","Tilsynsområdet er den fagdisiplinen som kontrolleres. Eksempler på fagdisipliner kan f.eks. være 'VVS', 'El' og 'Aptering'."
"whois: building owner","En bruker som kan se alle oppgaver, men ikke har mulighet for å redigere"
"whois: contractor","En person som overfor byggeledelsen er ansvarlig for at oppgaver leveres til tiden og overholder avtalt kvalitet innen en bestemt faggruppe"
"whois: fictive","En bruker som enten ikke kjennes ennå, eller først senere skal inviteres til å delta i dette prosjektet"
"whois: site manager","Byggelederen har som daglige ansvar for byggeplassen og har ansvaret for at alle entrepriser leveres til tiden og overholder avtalt kvalitet"
"whois: site manager assistant","En bruker som kan se og redigere alle oppgaver"
"whois: subcontractor","En person som har inngått en kontraktmessig avtale på en bestemt oppgave med en entrepriseleder"
"whois: supervisor","En person som innenfor forskjellige fagområder etterser at bygget utføres korrekt"
"With date","Med dato"
"Without date","Uten dato"
"Work description","Arbeidsbeskrivelse"
"Work descriptions","Arbeidsbeskrivelser"
"Work.Desc","Arb.Besk"
"Work.Num","Arb.Num"
"Worker report","Håndverkerrapport"
"workflow_definition",""
"Yellow","Gul"
"Yes","Ja"
"You can not delete this control plan because there are tasks associated with it","Du kan ikke slette denne kontrollplanen da det er oppgaver forbundet med den."
"You cannot delete this checklist template because there exists checklists of this type.","Du kan ikke slette denne sjekklistemalen fordi det eksisterer sjekklister som benytter den."
"You have not been assigned to any projects yet.","Du er ikke tilknyttet et prosjekt ennå."
"You must accept this","For å bruke Dalux Field må du:"
"You must be administrator to add buildings","Tegninger er linket fra et annet prosjekt. Du har ikke rettigheter til å tilføye bygninger."
"You must be administrator to change publishing settings","Tegninger er linket fra et annet prosjekt. Du har ikke rettigheter til å endre publiseringsmetode."
"You must be administrator to delete buildings","Tegninger er linket fra et annet prosjekt. Du har ikke rettigheter til å slette bygninger."
"You must be administrator to edit buildings","Tegninger er linket fra et annet prosjekt. Du har ikke rettigheter til å redigere bygninger."
"You must be administrator to rename buildings","Tegninger er linket fra et annet prosjekt. Du har ikke rettigheter til å døpe om bygninger."
"You must be online to log in","Du må være online for å kunne logge inn"
"you_are_logged_in","Du er nå logget inn"
"Your colleagues drafts","Dine kollegaers kladder"
"Your column setup is being reset","Dine kolonnevalg nullstilles"
"Your drafts","Dine kladder"
"Your sites","Dine sites"
"your_current_role_alter_error","Din nåværende rolle tillater ikke å endre kommentarer med status:"
"your_current_role_create_error","Din nåværende rolle tillater ikke å opprette nye kommentarer"
"your_sites","Dine plasser"
"Zip code","Postnr."
"zip_code","Postnr."
"Zone","Sone"
"Zone name","Sonenavn"
"Zones","Soner"
"Project does not have any checklists","Prosjektet har ingen sjekklister"
"Search in e-mail addresses","Søk i e-mailadresser"
"Enterprise agreement","Firmaavtale"
"Open properties",""
"Enterprise invoicing info",""
"Add '{0}' to the list",""
"Sort by last change",""
"Sort by deadline",""
"required",""
"Required",""
"Safety observations",""
"Safety observation",""
"Safety inspections",""
"Safety inspection",""
"Advanced modules",""
"Invoicing information",""
"Modules",""
"Module",""
"Safety",""
"Activate",""
"Deactivate",""
"Active",""
"Deactivated",""
"Recovered task",""
"A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?",""
"Edit task",""
"Delete task",""
"Description of control plan area",""
"Task type has been deleted",""
"No responsible, draft not shared",""
"Deadline today","Deadline i dag"
"Continue editing",""
"Inspection plans unavailable. No task types.",""
"Tasks with inspection plans",""
"Name of duplicate",""
"Details",""
"Are you sure you want to delete the image?",""
"Remove location",""
"Cannot delete contract. Attached checklists or inspection plans",""
"Add attachment",""
"Send again",""
"Max 300 tasks in worker report",""
"Add company","Legg selskap"
"Edit company","Rediger selskap"
"Remove company","Fjern selskap"
"Are you sure you want to remove the user {0}?",""
"Prepare for offline",""
"Disciplines (drawing)",""
"All disciplines",""
"All buildings",""
"Downloading drawings",""
"Delete all offline drawings",""
"Could not get report",""
"Could not retrieve list",""
"Create organisation",""
"Create building",""
"Create organisation info",""
"Create building info",""
"Save and rotate",""
"RGY",""
"WorkDescription",""
"info invited project",""
"Change password",""
"Remove user",""
"Changes",""
"Changed by {0}",""
"History for {0}",""
"Photo added",""
"Value changed",""
"Comment changed",""
"Comment deleted",""
"Value and comment changed",""
"Reply",""
"Coordinates",""
"Activity (report)",""
"Not activated","Ikke aktivert"
"not activated","ikke aktivert"
"Payment","Betaling"
"Project data","Prosjektdata"
"Licenses","Lisenser"
"Next payment due","Betalt for inntil"
"Payer","Betaler"
"Quick fields","Hurtig-emner"
"Quick field","Hurtig-emne"
"Remove quick field","Fjern"
"Edit quick field","Rediger"
"Export quick fields","Eksporter"
"Import quick fields","Importer"
"Person","Person"
"Activated","Aktivert"
"Rooms","Rom"
"Draw on map","Tegn på kart"
"3D preview","Vis i 3D"
"Log","Logg"
"Upload","Last opp"
"File info","Fil info"
"Displayed name",""
"Subdiscipline",""
"Upload date",""
"Article ID field",""
"Room report ID",""
"Article report ID",""
"Report Server","Rapport server"
"Project ID","Prosjekt ID"
"Construction site address",""
"Select checklist",""
"Change password",""
"Change password message",""
"Change password ok",""
"confirm remove building",""
"Are you sure you want to delete {0}?",""
"choose file destination alert",""
"uploading file",""
"upload error",""
"drawing processing",""
"delete view text",""
"delete view title",""
"no attribute selected text",""
"link copy error",""
"link copy text",""
"download error",""
"From file",""
"Original elevation",""
"Visible",""
"Level setup",""
"is3DLevel text",""
"drawingsAreLevelCuts text",""
"Place drawing",""
"modelMustBePlaced text",""
"btnRevit text",""
"cannot update file type",""
"Test",""
"Server OK",""
"Total area",""
"Room name",""
"Area","Areal"
"Add level",""
"Edit level",""
"drawings drawn to scale",""
"Display 3D on this level",""
"Generate 2D from 3D",""
"GPS active",""
"Message",""
"Project person",""
"Another email",""
"Send link invitation",""
"Other project name",""
"Sharing",""
"Upload to",""
"Finish",""
"Publish following buildings",""
"Publish",""
"Rooms in",""
"Compare drawings",""
"Version",""
"Drawing information",""
"File information",""
"Loading rooms",""
"Isometric cut",""
"Parallel to the axis",""
"Legend",""
"North east",""
"South east",""
"South west",""
"North west",""
"Top",""
"East",""
"North",""
"West",""
"South",""
"Drawing settings",""
"DWG settings",""
"New files",""
"Updated files",""
"Apply new settings to updated files",""
"DWG scale",""
"meter",""
"Use colors",""
"IFC settings",""
"Retrieving level information",""
"IFC level",""
"Dalux level",""
"New level name",""
"Navigation from 2D to 3D",""
"Use 2D drawings as specified in the IFC model",""
"Create cutplanes from the 3D model",""
"Only create levels",""
"Placed drawing",""
"One or more of the updated drawings from PDFs or images are placed on a level",""
"Drawings with placement on levels",""
"I will update the drawings if PDF/Image files have changed scale or position",""
"Choose DWG file and referenced files",""
"File Upload",""
"The unit scale is not a number",""
"ETA",""
"Click to set position manually",""
"Current drawing",""
"Match points for current drawing",""
"Match drawing",""
"Match points for place drawing",""
"Place relative to",""
"Combined display",""
"Reference points not chosen",""
"For validation purposes",""
"Place this level",""
"Start match point",""
"End match point",""
"Rotation",""
"Length",""
"Match points",""
"Click on the drawing to select reference point A",""
"Click on the drawing to select reference point B",""
"This building has been deleted.",""
"Dalux Field Account Manager",""
"Start date",""
"Expiration date",""
"Last activity",""
"Price",""
"Note",""
"Invoices",""
"Invoice",""
"Are you sure you want to delete this role?","Er du sikker på at du vil slette denne rollen?"
"From","Fra"
"Add filter",""
"To","Til"
"Drawing setup",""
"Show on list",""
"Show on drawing",""
"The work description number is used to enumerate tasks. It must therefore be unique.",""
"You must enter a prefix.",""
"Prefix is used for another template. The prefix must be unique.",""
"You must enter a work description number.",""
"Get started",""
"Action",""
"Get started",""
"Help videos",""
"History",""
"Checklist item",""
"manual_publish_description",""
"auto_publish_description",""
"All checklists",""
"Downloading checklists",""
"The project has been locked. Contact Dalux.",""
"The project has been locked. Contact project administrator.",""
"Account expired (admin)",""
"Account expired (user)",""
"My Dalux Field project has been locked ({0})",""
"Best regards",""
"My Dalux Field project {0} has expired",""
"Trial expired",""
"Trial expires today",""
"Trial expires tomorrow",""
"Trial expires in {0} days",""
"Upgrade",""
"Project has been archived",""
"I would like to upgrade my Dalux Field project {0}",""
"Attachment added",""
"Attachment",""
"View (verb)",""
"Create levels from {0}",""
"Level creation",""
"Create new levels from IFC files",""
"Existing levels",""
"Units",""
"Unit price",""
"Billing",""
"The building does not exist anymore.",""
"Invoice header {projectname}",""
"Case no {projectnumber}",""
"Period {start to end date}",""
"Invoice Att {note}",""
"Invoice Note {note}",""
"Do you want to save the changes?",""
"Don't save",""
"Project number",""
"Project language",""
"Attention to on invoice",""
"Note on invoice",""
"Payment agreement",""
"Company profile",""
"1 license",""
"{0} licenses",""
"Months",""
"months",""
"Month",""
"User licenses",""
"Billing cycle",""
"Next invoice",""
"Project status",""
"Payment information",""
"Invoice history",""
"Company list",""
"Invoice email",""
"Default project language",""
"Unused licenses",""
"Administrators",""
"Template project",""
"Open invoice",""
"Delete license",""
"Delete user",""
"Historical data",""
"Project invoice information",""
"Company profile invoice information",""
"Task creators",""
"Show invoice",""
"Photo removed",""
"Information removed",""
"Information added",""
"Field added",""
"Field removed",""
"Field updated",""
"Information updated",""
"previous value",""
"Connecting to Windows viewer",""
"You can't remove yourself from the project",""
"Remove association",""
"No organization has been set",""
"New trial project",""
"Heading",""
"Level name",""
"Display 3D",""
"References",""
"Edit drawing",""
"Show photo",""
"No additional licenses required",""
"{0} additional licenses required",""
"Usage period",""
"Subscription period",""
"Invoice usage period",""
"Subscriptions",""
"License",""
"License discount",""
"Add to favorites",""
"Remove from favorites",""
"One additional license required",""
"Required field",""
"Please fill the required fields",""
"Show license agreement",""
"Accept license agreement",""
"Users to be activated",""
"Users to be deleted",""
"You must accept the license agreement in order to proceed",""
"Select site manager",""
"Create project",""
"Create a new project",""
"Enter invoice information",""
"License log",""
"Standard project",""
"Identification fields",""
"Edit help text",""
"Has license",""
"Choose standard project",""
"DaluxUpdateText",""
"Licensed users",""
"Unlicensed users",""
"New Dalux Field version",""
"Be aware that non-licensed users will be deleted from the project.",""
