#	0xc3c3c3
of	/
Less than one minute remaining	Alle minuutti jäljellä
Let us know	Kerro meille
lets_know	Kerro meille
Level	Kerros
Levels	Tasot
List	Lista
loading	Lataa
Loading (from disk)	Lataa
Loading buildings	Lataa rakennuksia
Loading data	Lataa tietoja
Loading drafts...	Lataa luonnoksia…
Loading list data	Lataa listatietoja
Loading list data...	Lataa listatietoja…
located on plan	Sijainti suunnitelmassa
located on plan and view	Sijainti suunnitelmassa ja näkymässä
location	Sijainti
Location	Sijainti
Location changed	Sijaintia muutettu
location:	Sijainti:
Location: {0}	Sijainti: {0}
Log in	Kirjaudu sisään
Log out	Kirjaudu ulos
log_in	Kirjaudu sisään
log_out	Kirjaudu ulos
Logged in as	Kirjautunut sisään
logged_in_as	Kirjautunut sisään
logged_out	Kirjautunut ulos
Login refused text	Käyttäjä / salasana ei löytynyt.
Login refused title	Virheellinen käyttäjä
Login revoked text	Käyttäjätiedot tai käyttöoikeudet ovat muuttuneet.
Login revoked title	Virheellinen käyttäjä
logo	Logo
Logo	Logo
Project photo	Project photo
logo_editor_text	Tätä logoa käytetään tulostetuiissa raporteissa
Long	Pitkä
low	Matala
manage_users	Hallitse käyttäjiä
Map	Kartta
Markers	Merkit
Memo no.	Muistio nr.
minute	minuutti
minutes	minuuttia
Modified	Muokattu
modified	Muokattu
Month1	tammikuu
Month10	lokakuu
Month11	marraskuu
Month12	joulukuu
Month2	helmikuu
Month3	maaliskuu
Month4	huhtikuu
Month5	toukokuu
Month6	kesäkuu
Month7	heinäkuu
Month8	elokuu
Month9	syyskuu
Move down	Siirrä alemmas
Move to drafts	Siirrä luonnoksiin
Move up	Siirrä ylös
Multiple	Useita
Multiple filters	Useita suodattimia
Multiple responsible	Useita vastuuhenkilöitä
must accept cookies	Sinun sallittava evästeiden käyttö käyttääksesi DaluxQA:ta 
must accept terms	Sinun hyväksyttävä käyttöehdot käyttääksesi DaluxQA:ta 
name	Nimi
Name	Nimi
Network failure. Try again	Verkkovirhe. Yritä uudelleen
New	Uusi
new	Uusi
New (m)	Uutta
New assignee	Uusi vastuuhenkilö
New building	Uusi rakennus
New building model file	Uusi rakennusmalli tiedosto
New checklist	Uusi tarkistuslista
New company	Uusi yritys
New construction	Uusi rakentaminen
New construction	Uusi urakka
New department	Uusi osasto
New discipline	Uusi valvonta-alue
New fictive user	Uusi fiktiviinen käyttäjä
New floor	Uusi kerros
New inspection	Uusi valvontamuistio
New project	Uusi projekti
New registration	Uusi rekisteröinti
New site	Uusi sivusto
New supervisor area	Uusi valvonta-alue
new task	Uusi tehtävä
New tasks	Uusia tehtäviä
New user	Uusi käyttäjä
New work description	Uusi työnkuva
new_building	Uusi rakennus
new_demo_site	Uusi demo sivu
new_demo_site_details	Uusi demo sivu\n\n  Ainoastaan pienet rakennukset sallitaan.
new_site_details	Uusi sivu rajattomalla koolla.
new_status	Uusi tila
new_task_list	Uusi tehtävälista
new_value	Uusi arvo
Next	Seuraava
No	Ei
No available sites	Ei hankkeita
No building and floors available for this site. GIS can not be placed	Rakennuksia ja kerroksia ei saatavana  tälle sivulle. GIS:ia ei voida sijoittaa
No building and floors available for this site. GIS can not be placed	Rakennuksia ja kerroksia ei saatavana tälle sivulle. GIS:ia ei voida sijoittaa
No buildings	Inga byggander
No checklists	Inga checklistor
No connection	Ei yhteyttä…
No drafts	Ei luonnokset
No drawing material available.	Ei piirrustusmateriaalia saatavilla
No drawing selected	Ei valittuja piirrustuksia
No drawings	Ei piirrustuksia
No permission text	Pyydettyä toimintoa ei voi suorittaa
No permission title	Toiminto ei sallittu
No picture	Ei kuvaa
No registrations	Ei rekisteröintejä
No results	Ei tuloksia
No room	(ei tilaa)
No selection	Ei valintaa
no selection	Ei valintaa
No sorting	Ei lajittelua
No sorting	Ei lajittelua
No tasks	Ei tehtäviä
No title	Ei otsikkoa
No.	No.
no_building	(ei rakennusta)
no_connection	Ei yhteyttä…
no_floor	(ei kerrosta)
no_floors	(ei kerroksia)
no_room	(ei tilaa)
no_selection	Ei valintaa
no_title	Ei otsikkoa
none	Ei mitään
None	Ei mitään
None (filter)	Ei mitään
normal	Normaali
Not allowed	Ei sallittu
Not created	Ei luotu
Not deleted	Ei poistettu
Not equal	Ei vastaa
Not logged in	Ei kirjautunut sisään
Not selected	Ei valittu
Not sent (singular)	Ei lähetetty
Not set	Ei määritetty
Not signed up	Ei rekisteröitynyt
Not synchronized	Ei synkronoitu
not_found	Ei löytynyt
not_set	(Ei määritetty)
Note field on registrations	Merkintäkenttä rekisteröinneille
Notes	Merkintä
notification	Ilmoitus
Notification	Ilmoitus
number	Numero
Number	Numero
Number series	Numerosarja
object	Rakennusosa
Observations	Huomautukset
Observer	Tarkkailija
Observer (single letter)	O
Observers	Tarkkailijat
Observers:	Tarkkailijat:
of	of
Offline	Offline
Offline	Offline
offline_finding_location	Offline <br/> Käyttää lähintä mahdollista sijaintia
offline_minimodel	Offline<br/> Internet-yhteyttä ei ole ja mini-malli ei ole käytettävissä offline-tilassa.
offline_minimodel_frame	Offline<br/> Internet-yhteyttä ei ole ja nykyinen kuvakulma ei ole käytettävissä offline-tilassa.
offline_mode_description	<b>Piirrustukset</b> ja tehtävät kansioissa <b>Saapuneet</b>, <b>Hylätyt</b> ja <b>Valmiiksi raportoidut</b> ovat ladatut offline-käyttöä varten.
offline_mode_warning	Huomaa että suuria määriä tietoja ladataan, ja on suositeltavaa käyttää Wi-Fi yhteyttä tiedostojen lataukseen.
offline_new_visit_2d	Offline<br/> Internet-yhteyttä ei ole ja nykyinen pohjapiirros ei ole käytettävissä offline-tilassa.
offline_new_visit_3d	Offline<br/> Internet-yhteyttä ei ole ja kerroksen sijainnit eivät ole käytettävissä offline-tilassa.
ok	OK
Ok	OK
OK	OK
old_value	Edellinen arvo
Ongoing (folder)	Jatkuva
Open	Avaa
Open (folder)	Avaa
Open (singular)	Aloitettu
Open checklist	Avaa tarkistuslista
Open dRofus report	Avaa dRofus raportti
Open object properties	Avaa kohteen ominaisuudet
Open project	Avaa projekti
Open site	Avaa projekti
Order	Järjestys
Organization	Organisaatio
Orientation (print)	Suunta
Origin	Alkuperä
Other	Muu
other_users	Muut käyttäjät
Others	Others
outbox	Ei lähetetty
Outbox	Ei lähetetty
Outbox failed	Ei synkronoitu
Outbox images	Lähettämättömät kuvat
Outbox images failed	Ei synkronoidut kuvat
outbox_failed	Ei synkronoitu
Overall assessment	Kommentti
overview	Yleiskatsaus
Overview	Yleiskatsaus
Overview drawing	Yleissuunnitelma
overview on floorplans	Pohjapiirroksen yleiskatsaus
overview, printouts	Yleiskatsaus, tulosteet
Own	Omat käynnissä olevat
Own roles	Omat
Page	Sivu
parent	Pää-
Passive user	Passiivinen käyttäjä
password	Salasana
Password	Salasana
Password again	Salasana uudelleen
Permanent task deletion	Kaikki tehtävät poistetaan pysyvästi eikä sitä voida palauttaa
Permissions	Oikeudet
Persons	Henkilöt
Phone	Puhelin
Phone (short)	Puh.
photo	Kuva
Photo	Kuva
Photo taken	Kuva otettu
photoJpgCompression	60
photoJpgQuality	60
photoMaxHeight	1024
photoMaxWidth	1024
photos	kuvat
Photos	Kuvat
picture	Kuva
Pie	Kakku
Place action	Sijoita
Placement	Sijoitus
Placement description	Sijoituksen kuvaus
Please wait...	Odota…
Portrait	Seisova
Prefix	Etuliite
prefix deficiency	?
prefix inspection	?
Prepare project for offline use	Valmistele projekti offline-käyttöä varten
Preparing file	Valmistelee tiedostoa
Preparing project for offline use	Valmistelee projektia offline-käyttöä varten
Prev. deadline	Aik. deadline
Prev. subject	Aik. Aihe
Preview	Esikatselu
Previous	Edellinen
Print	Vie
Print (print)	Tulosta
Print all	Vie kaikki
Print selected	Vie valitut
Printed	Tulostettu
Printing	Tulostaa
printout locations	tulosteiden sijainti
Printouts	Vie
printouts, list	tuloste, lista
priority	Prioriteetti
Priority	Prioriteetti
Priority changed	Prioriteetti muutettu
project	Projekti
Project	Projekti
Project access restricted	Projektiin pääsy rajattu mobiilikäyttöön.\n\nOta yhteyttä Daluxiin saadaksesi täyden käyttöoikeuden (support@daluxqa.com).
Project configuration	Hankkeen kokoonpano
Project expired	Projekti vanhentunut
Project info	Projektitiedot
Project information	Projektin tiedot
Project name	Projektinimi
Project no.	Projekti no.
Project organisation	Rakennusjohto
Project participant	Projektin osallistuja
Project prepared for offline use	Projekti on valmis offline -käyttöön
Projects	Projektit
Properties	Ominaisuudet
properties_changed	Ominaisuudet muutettu
property	Ominaisuus
psc.	kpl.
Publish	Julkaise
Published buildings	Julkaistut rakennukset
Punch Lists	Dashboard
q user role	Millainen rooli on henkilöllä jonka haluat luoda?
QA	QA
Quality Assurance	Laatuvakuutus
Quick subjects	Nopeat aiheet
Quick titles	Nopeat otsikot
R	R
Reason	Syy
Receipt for execution	Kuitti suorituksesta
Receives tasks	Vastaanottaa tehtäviä
Recieves tasks	Vastuussa oikaisusta
Recorded	Luotu
Recorded by	Luotu
Red	Punainen
Refresh	Päivitä
REG	REG
Registration	Rekisteröinti
Registrations	Rekisteröinnit
Registrations (filename)	Rekisteröinnit
Reject	Hylkää
Rejected	Hylätty
Rejected (folder)	Hylätty
Rejected by	Hylätty
Related contract	Liittyvät sopimukset
Relation	Suhde
Remaining time	Jäljellä oleva aika
Remember me	Muista minut
Remind unsubscribed	Lähetä kutsut
remove	Poista
Remove	Poista
Remove	Poista
Remove person	Poista henkilö
Remove work description	Poista työnkuvaus
removed	Poistettu
Removed	Poistettu
Rename	Nimeä uudelleen
Rename building	Nimea rakennus uudelleen
rename...	Nimeä uudelleen
rename_task_list	Nimeä uudelleen tehtävälista
Report id	Report id
Report settings	Raportin asetukset
Reports	Raportit
Required fields	Pakolliset kentät
Reset view	Tyhjennä sarakkeet
Resp. company	Vast. yritys
Resp. email	Vast. sähköposti
Responded date	Vastattu päivämäärä
Responsible	Vastaava
retry	Yritä uudelleen
Retry	Yritä uudelleen
Revision	Tarkistus
role	Rooli
Role	Rooli
Role has subordinates. Cant delete	Roolilla on alaisia. Ei voida poistaa roolia.
Room	Huone
Room ID field	Room ID field
room updated?	Huonetta ei löytynyt. Sijainti on päivitettävä.<br/><br/> Onko piirrustusmateriaalit päivitetty?
rooms	Huoneet
rotate	Kierrä
rotate left	Kierrä vasempaan
rotate picture save	Voidaan ainoastaan kiertää kun red-lining on tallennettu. \n\nTallenna kuva ja kierrä.
rotate right	Kierrä oikeaan
S:Substitute, O: Observer	S: Sijainen, T:Tarkkailija
Safety report	Turvallisuusselvitys
Save	Tallenna
Save	Tallenna
SAVE	TALLENNA
Save as Draft	Tallenna luonnoksena
Save changes	Tallenna muutokset
Save checklist	Tallenna tarkastuslista
Save draft	Tallenna luonnos
Save view	Tallenna näkymä
Saved	Tallennettu
search	Hae
Search	Hae
Search	Hae
Search (filter)	Haku
Search criteria	Hakukriteeri
Search for	Etsi
Section	Osiot
Select	Valitse
select	Valitse
Select all	Valitse kaikki
Select all	Valitse kaikki
Select assignee	Valitse vastuuhenkilö
Select construction	Valitse urakka
select construction text	Valitse urakka jonka alle henkilö tallennetaan
Select drawing	Valitse pohjapiirros
Select only one for deletion	Voidaan ainoastaan poistaa yksi kerrallaan
Select supervisor	Valitse valvonta-alue
select supervisor text	Valitse valvonta-alue jonka alle henkilö lisätään
Select user	Valitse käyttäjä
Select user company:	Valitse tai täsmennä käyttäjän yritys:
Select users	Valitse käyttäjät
Select work descriptions	Valitse työnkuvaus
select_a_status	Valitse ensin tila
select_an_assignee	Valitse vastuuhenkilö
Selected	Valittu
selected area	valittu alue
Selected first	Valittu ensin
Selected last	Valittu viimeiseksi
selected tasks	valitut tehtävät
SelectFilter	Valitse suodatinparametri
Selection only	Vain valitut
selection only	Vain valitut
send	Lähetä
Send	Lähetä
Send e-mail	Lähetä sähköpostia
Send invitations	Lähetä kutsut
Send password	Lähetä salasana
Send to back	Vie taakse
Sent (email)	Lähetetty
Server	Server
Server Error	Palvelinvirhe
server_error	Palvelinvirhe
server_error_text	Palvelimessa tapahtui virhe
Set location	Aseta sijainti
Set selected responsible	Aseta valittu vastuuhenkilöksi
set_to	asettu
settings	Asetus
Settings	Asetus
Settings (filter)	Asetukset
Several contracts	Useita urakkasopimukset
Shared sites	Jaetut sivustot
shared_sites	Jaetut sivustot
Short	Lyhyt
Show company	Yritys
Show drawings	Näytä piirrustukset
Show entire organization	Näytä koko organisaatio
Show location	Näytä sijainti
Show work descriptions	Näytä työnkuvaus
Signature	Allekirjoitus
Signing field	Raportointikenttä
Signing field	Attachments
Attachments	Attachments
Simple	Yksinkertainen
Single report	Yksittäinen raportti
Single reports	Yksittäiset raportit
Single users	Yksittäinen käyttäjä
Site data	Sivuston tiedot
Site is already prepared for offline use	Projekti on jo valmisteltu offline-käyttöä varten
Site management	Työmaajohto
Site manager assistant	Katso/Muokkaa
Site name	Projektinimi
Site number	Projekti no.
site_data	Sivuston tiedot
site_name	Sivuston nimi
Sites	Projektit
slow app	Ohjelman osiot voivat olla normaalia hitaammat
SorteringAZ	Lajittelee A-Z
SorteringZA	Lajittelee Z-A
Specify name	Määritä nimi
Specify number	Määritä numero
Specify prefix	Määritä etuliite
Specify subject	Määritä otsikko
Specify user name	Anna käyttäjätunnus
standard	Standardi
Standard filter	vakiosuodatin
StandardFilter	Standartisuodatus
Start drawing	Aloita piirtäminen
status	Tila
Status	Tila
Status report	Tilaraportti
Status report (filename)	Tilaraportti
status_changed_from	Tila muutettu
Stay here	Pysy tässä
Stay here	Pysy tässä
Stop drawing	Lopeta piirtäminen
Subcontractor	Aliurakoitsija
Subject	Aihe
Subject already exists	Teksti on jo olemassa
Substitute (single letter)	S
Substitute for	Sijainen
Substitutes and observers	Sijainen ja tarkkailija
Substitutes and observers	Sijainen ja tarkkailija
Substitutes:	Sijainen:
Summary	Yhteenveto
Summary	Yhteenveto
Superior role:	Ylempi rooli:
Supervisor	Esimies
Supervisor role with tasks cant be removed	Valvontarooli tehtävillä voidaan poistaa
support	Apua
Supported files	Tuetut tiedostot
Synchronize now	Synkronoi nyt
Synchronized	Synkronoitu
synchronizing	Synkronoi
Synchronizing	Synkronoi
Tabel with tasks PDF	Tehtävätaulukko (PDF)
Table (Excel)	Taulukko (Excel)
Table (PDF)	Taulukko (PDF
Table with tasks excel	Tehtävätaulukko (Excel)
Take me to Login	Mene sisäänkirjautumiseen
Task	Puute
Task count	Number of tasks of this type
Task flow	Tehtäväflow
Task folders	Tehtäväkansio
Task reports (PDF)	Tehtäväraportti (PDF)
Task template	Tehtävämalli
task_list	Tehtävälista
task_list	Tehtävälista
task_list_setup	Tehtävälistan asetukset
task_lists	Tehtävälistat
tasks	Tehtävät
Tasks	Tehtävät
Tasks and issues	Tehtävät
Tasks associated with role. Cant delete	Tehtävät liittyvät rooliin. Ei voida poistaa roolia.
Tasks on plan drawings	Tehtävät pohjapiirroksessa
tasks_open	Avoimet tehtävät
tasks_total	Tehtävien kokonaismäärä
Templates	Mallit
Text	Teksti
text	Teksti
The file is ready	Tiedosto on valmis
The user will be removed	Käyttäjä poistetaan
The user will be removed from all aspects of the project.	Käyttäjä poistetaan kaikista projektin osista.
There is an update to the application	Sovellukseen on saatavalla päivitys
Time of invitation	Kutsun ajankohta
title	Aihe
Title	Aihe
Title (role)	Otsikko
Title changed	Otsikko muutettu
title_changed_from	Otsikko muutettu
to	to
to approve	hyväksyä
to assign	antaa
to report ready	raportoida valmis
Try Demo Site	Kokeile demoa
Type	Tyyppi
Type password for user	Kirjoita salasana käyttäjälle
Type prefix	Tyypin etuliite
Types	Tyyppejä
unassigned	(ei määritetty)
Unassigned	(ei määritetty)
unchanged	Muuttumaton
Unchanged	Muuttumaton
unhandled_error	Tapahtui odottamaton virhe
unhandled_error_title	Virhe
Unpacking drawings	Purkaa piirrustuksia
Unpublished buildings	Julkaisemattomat rakennukset
unsent_message	{0} lähettämätön viesti
unsent_messages	{0} lähettämättömiä viestiä
Update	Päivitä
Update checklist	Päivitä tehtävälista
Update Dalux Field	Päivitä Dalux Field 
Update now	Päivitä nyt
Update user	Päivitä käyttäjä
update:	Päivitä: {0}
update_task	Päivitä
Updated	Päivitetty
Updated {0}	Päivitetty {0}
Updated by	Päivitetty
updated_by	Päivitetty
updated_date	Päivitetty {0}
updating	Päivittää
Updating	Päivittää
Upload DWG	Lataa DWG
Upload DWGs	Lataa DWGt
Upload image	Lataa kuva
Upload PDF	Lataa PDF
upload_company_logo	Lataa yrityksen logo
Uploaded by	Ladattu
url:support	http://www.daluxqa.com/support/
Use	Käytä
Use automatic publishing	Käytä automaattista julkaisua
Use automatic publishing text	Vaihda automaattiseen julkaisuun? \n\n Rakennukset ja piirrustukset julkaistaan automaattisesti kun ovat valmiit.
Use building	Käytä rakennusta
Use location	Käytä sijaintia
Use manual publishing	Käytä manuaalista julkaisua
Use manual publishing text	Vaihda manuaaliseen julkaisuun? \n\n Voit julkaista rakennukset ja piirrustukset manuaalisesti kun ovat valmiit.
Use search field below	Käytä allaolevaa hakukenttää
user	Käyttäjä
User	Käyttäjä
User active	Käyttäjä validoitu
User company	Käyttäjän yritys
User email settings	Sähköpostiasetukset
User exists already	Käyttäjä on jo olemassa
User found	Käyttäjä löytyi
User has signed up	Käyttäjä on rekisteröitynyt
User name	Sähköposti
User not found	Käyttäjää ei löytynyt
User not signed up	Käyttäjä ei ole rekisteröitynyt
User not validated	Käyttäjää ei validoitu
User removed	Käyttäjä poistettu
User rights	Käyttöoikeudet
user_defined_flow	Käyttäjän määrittelemä flow
Users	Käyttäjät
Users removed	Käyttäjät poistettu
users_that_can_be_managed	Käyttäjät joita voidaan ylläpitää
users_with access	Käyttäjät jolla pääsy sivustolle
Value	Arvo
Values	Arvot
VATIN	ALV nro
View	Katso
View	Näkymä
View buildings on map	Näytä rakennukset kartalla
View case	Näytä
View for	Näytä
View user	Näkymä
View/Edit	Katso/Muokkaa
View/Edit (responsible)	Katso/Muokkaa (vastaava)
Views	Näyttöjä
wait	Odota…
Wait	Odota
Warning	Varoitus
warning remove user	Oletko varma että haluat poistaa tämän käyttäjän?
Warning!	Varoitus
Web service rejected your request	Verkkopalvelu hylkäsi pyynnön
Week	Viikko
Weekly safety report	Viikkoraportti
whatis: construction	Urakka on sopimus joka luodaan. Urakka voi ulottua useaan valvonta-alueeseen.
whatis: discipline	Valvonta-aluetta kontrolloidaan. Esimerkkejä alueista 'putkityöt', sähkötyöt' 'asennukset'
whois: building owner	Käyttäjä voi nähdä kaikki tehtävät mutta ei muokata niitä
whois: contractor	Henkilö joka on vastuussa rakennusjohdolle että tehtävät toimitetaan ajoissa ja täyttää ammattilaisten kanssa sovitut laatuvaatimukset 
whois: fictive	Käyttäjä, joka ei ole vielä tunnettu, tai joka myöhemmin kutsutaan osallistumaan projektiin
whois: site manager	Työmaajohtajalla on päivittäinen vastuu työkohteesta ja on vastuussa että urakat toimitetaan sovitussa aikataulussa ja täyttää sovitut laatuvaatimukset.
whois: site manager assistant	Käyttäjä voi nähdä kaikki tehtävät ja muokata niitä
whois: subcontractor	Henkilö joka on tehnyt sopimuksen tietystä tehtävästä urakkajohtajan kanssa
whois: supervisor	Henkilö joka eri toimialojen sisällä tarkastaa että rakennustyöt ovat suoritettu oikein
With date	Päivämäärällä
Without date	Ilman päivämäärää
Work description	Työnkuvaus
Work descriptions	Työnkuvaukset
Work.Desc	Työnkuv.
Work.Num	Työn nro.
Worker report	Työntekijäraportti
workflow_definition	Työflown määritys
Yellow	Keltainen
Yes	Kyllä
You can not delete this control plan because there are tasks associated with it	Et voi poistaa tätä valvontasuunnitelmaa koska siihen liittyy tehtäviä
You cannot delete this checklist template because there exists checklists of this type.	Et voi poistaa tätä tarkistulistamallia sillä on olemassa tämän tyypin tarkistuslistoja
You have not been assigned to any projects yet.	Sinulle ei ole vielä määritetty projekteja.
You must accept this	Käyttääksesi Dalux Field:ta on sinun:
You must be administrator to add buildings	Drawings are linked from another project. You do not have permission to alter the drawings.
You must be administrator to change publishing settings	Drawings are linked from another project. You do not have permission to change publishing settings.
You must be administrator to delete buildings	Drawings are linked from another project. You do not have permission to delete buildings.
You must be administrator to edit buildings	Drawings are linked from another project. You do not have permission to edit buildings.
You must be administrator to rename buildings	Drawings are linked from another project. You do not have permission to rename buildings.
You must be online to log in	Sinun täytyy olla online kirjautuaksesi sisään.
you_are_logged_in	Olet nyt kirjautunut sisään
Your colleagues drafts	Kollegojen luonnokset
Your column setup is being reset	Sarakeasetuksesi uudelleenasetetaan
Your drafts	Luonnokset
Your sites	Sivustosi
your_current_role_alter_error	Nykyinen roolisi ei anna lupaa muuttaa tehtäviä jolla on tilapäivitys
your_current_role_create_error	Nykyinen roolisi ei anna lupaa luoda uusia tehtäviä
your_sites	Sivustosi
Zip code	Postinr
zip_code	Postinr
Zone	Vyöhyke
Zone name	Vyöhykenimi
Zones	Vyöhykkeet
Project does not have any checklists	Project does not have any checklists
Search in e-mail addresses	Search in e-mail addresses
Enterprise agreement	Enterprise agreement
Open properties	Open properties
Enterprise invoicing info	Invoicing information is used for all projects in the company agreement
Add '{0}' to the list	Add '{0}' to the list
Sort by last change	Sort by last change
Sort by deadline	Sort by deadline
required	required
Required	Required
Safety observations	Safety observations
Safety observation	Safety observation
Safety inspections	Safety inspections
Safety inspection	Safety inspection
Advanced modules	Advanced modules
Invoicing information	Invoicing information
Modules	Modules
Module	Module
Safety	Safety
Activate	Activate
Deactivate	Deactivate
Active	Active
Deactivated	Deactivated
Recovered task	Recovered task
A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?	A task has been recovered after an unexpected shutdown. Do you want to open it and continue editing?
Edit task	Edit task
Delete task	Delete task
Description of control plan area	Description of control plan area
Task type has been deleted	Task type has been deleted<br/><br/>Choose another task type.
No responsible, draft not shared	No responsible (draft not shared)
Deadline today	Määräaika tänään
Continue editing	Continue editing
Inspection plans unavailable. No task types.	Inspection plans are unavailable because no task types have been added.
Tasks with inspection plans	Tasks with inspection plans
Name of duplicate	Name of copy
Details	Details
Are you sure you want to delete the image?	Are you sure you want to delete the image?
Remove location	Remove location
Cannot delete contract. Attached checklists or inspection plans	Cannot delete contract.\nAttached checklists or inspection plans
Add attachment	Add attachment
Send again	Send again
Max 300 tasks in worker report	Max 300 tasks in worker reports
Add company	lisätä yritys
Edit company	Muokkaa yritys
Remove company	Poista Yritys
Are you sure you want to remove the user {0}?	Are you sure you want to remove the user {0}?
Prepare for offline	Prepare for offline
Disciplines (drawing)	Disciplines
All disciplines	All disciplines
All buildings	All buildings
Downloading drawings	Downloading drawings
Delete all offline drawings	Delete all offline drawings
Could not get report	Could not get report
Could not retrieve list	Could not retrieve list
Create organisation	Create organisation
Create building	Create building
Create organisation info	You need to create an organisation.
Create building info	You must create a building and publish it.
Save and rotate	Gem og roter
RGY	Red/Yellow/Green
WorkDescription	Work description
info invited project	You have been invited to the project {0}.
Change password	Change password
Remove user	Remove user
Changes	Changes
Changed by {0}	Changed by {0}
History for {0}	History for {0}
Photo added	Photo added
Value changed	Value changed
Comment changed	Comment changed
Comment deleted	Comment deleted
Value and comment changed	Value and comment changed
Reply	Reply
Coordinates	Coordinates
Activity (report)	Activity
Not activated	Not activated
not activated	not activated
Payment	Payment
Project data	Project data
Licenses	Licenses
Next payment due	Paid for until
Payer	Payer
Quick fields	Quick fields
Quick field	Quick field
Remove quick field	Poista
Edit quick field	Muokkaa
Export quick fields	Vie
Import quick fields	Tuo
Person	Person
Activated	Activated
Rooms	Huoneet
Draw on map	Draw on map
3D preview	3D preview
Log	Log
Upload	Lataa
File info	File info
Displayed name	Displayed name
Subdiscipline	Subdiscipline
Upload date	Upload date
Article ID field	Article ID field
Room report ID	Room report ID
Article report ID	Article report ID
Report Server	Report server
Project ID	Project ID
Construction site address	Construction site address
Select checklist	Select checklist
Change password	Change password
Change password message	You will need to log in again after the password has been changed.
Change password ok	You will receive an e-mail with further instructions shortly.
confirm remove building	Are you sure you want to delete this building?
Are you sure you want to delete {0}?	Are you sure you want to delete {0}?
choose file destination alert	You must choose a destination for all files
uploading file	Uploading file...
upload error	An error occured while uploading the file
drawing processing	Drawings are currently being processed. Please wait.
delete view text	Are you sure you want to delete this view?
delete view title	Delete view
no attribute selected text	There is no attribute chosen.
link copy error	Could not copy link
link copy text	A link to this comment has been copied to the clipboard.\n\nTo use it, press Ctrl + V.
download error	Download error.
From file	From file
Original elevation	Original elevation
Visible	Visible
Level setup	Level setup
is3DLevel text	Level is drawn to scale
drawingsAreLevelCuts text	This drawing is a horizontal cut in 3D model
Place drawing	Place drawing
modelMustBePlaced text	As this level is drawn to scale, the drawing must be placed in relation to another drawing.
btnRevit text	This file must be uploaded from within Revit by using a plugin
cannot update file type	The file type cannot be updated
Test	Test
Server OK	Server OK!
Total area	Total area
Room name	Room name
Area	Alue
Add level	Add level
Edit level	Edit level
drawings drawn to scale	Drawings on level drawn to scale
Display 3D on this level	Display 3D on this level
Generate 2D from 3D	Generate 2D drawing as a cut in the 3D model on this level
GPS active	GPS active
Message	Message
Project person	Project person
Another email	Another email
Send link invitation	Send link invitation
Other project name	Other project name
Sharing	Sharing
Upload to	Upload to
Finish	Finish
Publish following buildings	Publish following buildings
Publish	Publish
Rooms in	Rooms in
Compare drawings	Compare drawings
Version	Version
Drawing information	Drawing information
File information	File information
Loading rooms	Loading rooms
Isometric cut	Isometric cut
Parallel to the axis	Parallel to the axis
Legend	Legend
North east	North east
South east	South east
South west	South west
North west	North west
Top	Top
East	East
North	North
West	West
South	South
Drawing settings	Drawing settings
DWG settings	DWG settings
New files	New files
Updated files	Updated files
Apply new settings to updated files	Apply new settings to updated files
DWG scale	DWG scale
meter	meter
Use colors	Use colors
IFC settings	IFC settings
Retrieving level information	Retrieving level information
IFC level	IFC level
Dalux level	Dalux level
New level name	New level name
Navigation from 2D to 3D	Navigation from 2D to 3D
Use 2D drawings as specified in the IFC model	Use 2D drawings as specified in the IFC model (not all IFC models contain these)
Create cutplanes from the 3D model	Create cutplanes from the 3D model (2D cut through all 3D geometry at the specified levels)
Only create levels	Only create levels (2D DWG or PDF files must be mapped to enable navigation)
Placed drawing	Placed drawing
One or more of the updated drawings from PDFs or images are placed on a level	One or more of the updated drawings from PDFs or images are placed on a level. The updated drawings must have the same positions, or new registrations may not be placed correctly.
Drawings with placement on levels	Drawings with placement on levels
I will update the drawings if PDF/Image files have changed scale or position	I will update the drawings if PDF/Image files have changed scale or position
Choose DWG file and referenced files	Choose DWG file and referenced files
File Upload	File upload
The unit scale is not a number	The unit scale is not a number
ETA	ETA
Click to set position manually	Click to set position manually
Current drawing	Current drawing
Match points for current drawing	Match points for current drawing
Match drawing	Match drawing
Match points for place drawing	Match points for place drawing
Place relative to	Place relative to
Combined display	Combined display
Reference points not chosen	Reference points not chosen
For validation purposes	For validation purposes
Place this level	Place this level
Start match point	Start match point
End match point	End match point
Rotation	Rotation
Length	Length
Match points	Match points
Click on the drawing to select reference point A	Click on the drawing to select reference point A
Click on the drawing to select reference point B	Click on the drawing to select reference point B
This building has been deleted.	This building has been deleted.
Dalux Field Account Manager	Dalux Field Account Manager
Start date	Start date
Expiration date	Expiration date
Last activity	Last activity
Price	Price
Note	Note
Invoices	Invoices
Invoice	Invoice
Are you sure you want to delete this role?	Are you sure you want to delete this role?
From	Alkaen
Add filter	Add filter
To	Jotta
Drawing setup	Drawing setup
Show on list	Show on list
Show on drawing	Show on drawing
The work description number is used to enumerate tasks. It must therefore be unique.	The work description number is used to enumerate tasks. It must therefore be unique.
You must enter a prefix.	You must enter a prefix.
Prefix is used for another template. The prefix must be unique.	Prefix is used for another template. The prefix must be unique.
You must enter a work description number.	You must enter a work description number.
Get started	Get started
Action	Action
Get started	Get started
Help videos	Help videos
History	History
Checklist item	Checklist item
